,State,817,822,829,836,843
0,Washington,NaN,53,53,53,51
1,Illinois,NaN,48,50,48,50
2,California,NaN,267,269,288,283
3,Arizona,NaN,145,138,114,112
4,Massachusetts,NaN,36,38,43,42
5,Wisconsin,NaN,46,50,52,46
6,Texas,NaN,118,100,94,98
7,Nebraska,NaN,11,8,12,8
8,Utah,NaN,7,8,13,13
9,Oregon,NaN,103,89,76,76
10,Florida,NaN,134,131,134,125
11,New York,NaN,78,80,86,79
12,Rhode Island,NaN,3,3,3,3
13,Georgia,NaN,184,168,146,138
14,New Hampshire,NaN,6,6,6,5
15,North Carolina,NaN,49,48,58,49
16,New Jersey,NaN,42,49,47,49
17,Colorado,NaN,39,38,38,36
18,Maryland,NaN,27,26,25,27
19,Nevada,NaN,46,58,75,53
20,Tennessee,NaN,87,83,76,60
21,Hawaii,NaN,6,5,5,5
22,Indiana,NaN,27,25,23,20
23,Kentucky,NaN,112,101,89,82
24,Minnesota,NaN,34,29,31,32
25,Oklahoma,NaN,66,60,42,52
26,Pennsylvania,NaN,71,71,71,71
27,South Carolina,NaN,41,36,32,31
28,District of Columbia,NaN,1,1,1,1
29,Kansas,NaN,29,21,18,21
30,Missouri,NaN,27,18,18,18
31,Vermont,NaN,3,3,2,3
32,Virginia,NaN,106,92,93,92
33,Connecticut,NaN,16,13,13,13
34,Iowa,NaN,18,16,18,19
35,Louisiana,NaN,20,18,22,21
36,Ohio,NaN,61,56,57,65
37,Michigan,NaN,83,75,75,70
38,South Dakota,NaN,5,4,3,4
39,Arkansas,NaN,34,32,29,24
40,Delaware,NaN,9,9,9,8
41,Mississippi,NaN,9,9,8,6
42,New Mexico,NaN,40,35,29,27
43,North Dakota,NaN,5,4,3,4
44,Wyoming,NaN,3,4,3,3
45,Alaska,NaN,6,5,5,4
46,Maine,NaN,21,21,19,18
47,Alabama,NaN,59,50,33,34
48,Idaho,NaN,14,10,10,8
49,Montana,NaN,5,4,5,4
50,Puerto Rico,NaN,8,10,12,14
51,Virgin Islands,NaN,0,0,0,0
52,Guam,NaN,2,2,2,1
53,West Virginia,NaN,26,27,22,19
54,Northern Mariana Islands,NaN,0,0,0,0
55,American Samoa,NaN,3,3,3,2
