,State,789,794,801,808,815,822,829,836,843
0,Washington,NaN,150,150,150,150,150,150,150,150
1,Illinois,NaN,123,123,123,123,123,123,123,123
2,California,NaN,760,760,760,760,760,760,760,760
3,Arizona,NaN,457,457,457,457,457,457,457,457
4,Massachusetts,NaN,0,0,0,0,0,0,0,0
5,Wisconsin,NaN,247,247,247,247,247,247,247,247
6,Texas,NaN,261,261,261,261,261,261,261,261
7,Nebraska,NaN,21,21,21,21,21,21,21,21
8,Utah,NaN,22,22,22,22,22,22,22,22
9,Oregon,NaN,102,102,102,102,102,102,102,102
10,Florida,NaN,844,844,844,844,844,844,844,844
11,New York,NaN,156,156,156,156,156,156,156,156
12,Rhode Island,NaN,8,8,8,8,8,8,8,8
13,Georgia,NaN,314,314,314,314,314,314,314,314
14,New Hampshire,NaN,20,20,20,20,20,20,20,20
15,North Carolina,NaN,136,136,136,136,136,136,136,136
16,New Jersey,NaN,65,65,65,65,65,65,65,65
17,Colorado,NaN,48,48,48,48,48,48,48,48
18,Maryland,NaN,44,44,44,44,44,44,44,44
19,Nevada,NaN,28,28,28,28,28,28,28,28
20,Tennessee,NaN,403,403,403,403,403,403,403,403
21,Hawaii,NaN,14,14,14,14,14,14,14,14
22,Indiana,NaN,126,126,126,126,126,126,126,126
23,Kentucky,NaN,283,283,283,283,283,283,283,283
24,Minnesota,NaN,67,67,67,67,67,67,67,67
25,Oklahoma,NaN,120,120,120,120,120,120,120,120
26,Pennsylvania,NaN,177,177,177,177,177,177,177,177
27,South Carolina,NaN,8,8,8,8,8,8,8,8
28,District of Columbia,NaN,0,0,0,0,0,0,0,0
29,Kansas,NaN,139,139,139,139,139,139,139,139
30,Missouri,NaN,309,309,309,309,309,309,309,309
31,Vermont,NaN,3,3,3,3,3,3,3,3
32,Virginia,NaN,254,254,254,254,254,254,254,254
33,Connecticut,NaN,69,69,69,69,69,69,69,69
34,Iowa,NaN,87,87,87,87,87,87,87,87
35,Louisiana,NaN,109,109,109,109,109,109,109,109
36,Ohio,NaN,198,198,198,198,198,198,198,198
37,Michigan,NaN,230,230,230,230,230,230,230,230
38,South Dakota,NaN,22,22,22,22,22,22,22,22
39,Arkansas,NaN,186,186,186,186,186,186,186,186
40,Delaware,NaN,80,80,80,80,80,80,80,80
41,Mississippi,NaN,75,75,75,75,75,75,75,75
42,New Mexico,NaN,95,95,95,95,95,95,95,95
43,North Dakota,NaN,6,6,6,6,6,6,6,6
44,Wyoming,NaN,20,20,20,20,20,20,20,20
45,Alaska,NaN,1,1,1,1,1,1,1,1
46,Maine,NaN,37,37,37,37,37,37,37,37
47,Alabama,NaN,206,206,206,206,206,206,206,206
48,Idaho,NaN,15,15,15,15,15,15,15,15
49,Montana,NaN,11,11,11,11,11,11,11,11
50,Puerto Rico,NaN,4,4,4,4,4,4,4,4
51,Virgin Islands,NaN,1,1,1,1,1,1,1,1
52,Guam,NaN,4,4,4,4,4,4,4,4
53,West Virginia,NaN,96,96,96,96,96,96,96,96
54,Northern Mariana Islands,NaN,1,1,1,1,1,1,1,1
55,American Samoa,NaN,0,0,0,0,0,0,0,0
