,State,271,276,283,290,297
0,Washington,2258,49,51,50,53
1,Illinois,9496,231,242,231,253
2,California,16982,398,379,368,346
3,Arizona,5830,70,70,67,68
4,Massachusetts,9753,120,120,122,127
5,Wisconsin,1600,114,127,125,120
6,Texas,17481,507,510,497,493
7,Nebraska,554,29,33,36,36
8,Utah,546,31,34,34,34
9,Oregon,627,23,25,27,26
10,Florida,16021,620,598,564,562
11,New York,33366,77,79,75,82
12,Rhode Island,1159,16,17,18,19
13,Georgia,7657,214,202,194,190
14,New Hampshire,468,11,11,11,13
15,North Carolina,3939,162,164,161,163
16,New Jersey,16214,40,40,46,50
17,Colorado,2180,51,60,61,65
18,Maryland,4041,39,41,41,42
19,Nevada,1712,48,50,51,53
20,Tennessee,2922,159,166,159,160
21,Hawaii,187,16,16,15,15
22,Indiana,3960,140,145,148,160
23,Kentucky,1326,63,65,69,71
24,Minnesota,2292,83,83,86,86
25,Oklahoma,1173,63,62,62,60
26,Pennsylvania,8475,130,143,157,160
27,South Carolina,3661,92,90,91,89
28,District of Columbia,641,5,5,5,5
29,Kansas,870,79,79,81,82
30,Missouri,2600,198,202,192,193
31,Vermont,58,0,0,0,0
32,Virginia,3457,84,89,88,88
33,Connecticut,4554,14,14,14,13
34,Iowa,1548,71,74,74,70
35,Louisiana,5766,85,80,76,72
36,Ohio,5075,95,117,131,133
37,Michigan,7363,109,120,121,140
38,South Dakota,323,37,38,42,42
39,Arkansas,1714,132,128,121,122
40,Delaware,666,11,12,12,12
41,Mississippi,3171,77,75,75,74
42,New Mexico,935,25,30,31,34
43,North Dakota,408,66,70,74,73
44,Wyoming,57,3,4,4,4
45,Alaska,67,7,7,7,8
46,Maine,146,2,2,2,2
47,Alabama,2789,96,99,98,86
48,Idaho,531,25,29,30,30
49,Montana,241,30,32,31,32
50,Puerto Rico,768,32,30,28,26
51,Virgin Islands,21,0,0,0,0
52,Guam,66,5,5,5,5
53,West Virginia,402,19,22,23,23
54,Northern Mariana Islands,2,0,0,0,0
55,American Samoa,0,0,0,0,0
