,State,635,640,647,654,661
0,Washington,NaN,212,200,176,162
1,Illinois,NaN,181,173,136,140
2,California,NaN,512,454,396,352
3,Arizona,NaN,215,197,162,182
4,Massachusetts,NaN,90,86,81,76
5,Wisconsin,NaN,115,140,102,120
6,Texas,NaN,1207,1055,874,715
7,Nebraska,NaN,19,22,20,19
8,Utah,NaN,64,66,61,60
9,Oregon,NaN,135,115,103,91
10,Florida,NaN,862,735,498,407
11,New York,NaN,257,251,245,236
12,Rhode Island,NaN,11,10,10,10
13,Georgia,NaN,512,406,324,259
14,New Hampshire,NaN,20,23,19,21
15,North Carolina,NaN,353,300,265,233
16,New Jersey,NaN,110,109,99,83
17,Colorado,NaN,145,157,162,167
18,Maryland,NaN,103,101,91,86
19,Nevada,NaN,112,98,82,71
20,Tennessee,NaN,234,207,148,120
21,Hawaii,NaN,25,19,15,11
22,Indiana,NaN,238,203,184,160
23,Kentucky,NaN,214,179,152,131
24,Minnesota,NaN,146,155,157,158
25,Oklahoma,NaN,170,143,113,97
26,Pennsylvania,NaN,468,502,462,454
27,South Carolina,NaN,266,212,164,138
28,District of Columbia,NaN,3,2,2,2
29,Kansas,NaN,52,46,43,38
30,Missouri,NaN,137,120,99,85
31,Vermont,NaN,12,14,13,12
32,Virginia,NaN,250,233,199,189
33,Connecticut,NaN,34,33,23,24
34,Iowa,NaN,87,87,75,63
35,Louisiana,NaN,122,96,77,58
36,Ohio,NaN,292,375,312,349
37,Michigan,NaN,297,318,326,352
38,South Dakota,NaN,19,17,16,14
39,Arkansas,NaN,91,77,72,64
40,Delaware,NaN,27,24,23,22
41,Mississippi,NaN,97,75,59,42
42,New Mexico,NaN,60,60,56,54
43,North Dakota,NaN,30,34,34,30
44,Wyoming,NaN,35,34,30,26
45,Alaska,NaN,27,29,24,24
46,Maine,NaN,26,30,29,29
47,Alabama,NaN,268,198,144,102
48,Idaho,NaN,156,142,135,127
49,Montana,NaN,57,68,67,64
50,Puerto Rico,NaN,16,13,10,7
51,Virgin Islands,NaN,2,2,2,2
52,Guam,NaN,11,10,9,7
53,West Virginia,NaN,167,153,142,126
54,Northern Mariana Islands,NaN,0,0,0,0
55,American Samoa,NaN,0,0,0,0
