,State,536,542,549,556,563
0,Washington,NaN,27,21,20,14
1,Illinois,NaN,35,37,47,64
2,California,NaN,191,220,269,336
3,Arizona,NaN,60,68,78,86
4,Massachusetts,NaN,7,7,7,7
5,Wisconsin,NaN,15,14,14,21
6,Texas,NaN,113,127,161,221
7,Nebraska,NaN,0,0,0,0
8,Utah,NaN,14,14,19,21
9,Oregon,NaN,7,7,7,7
10,Florida,NaN,209,245,294,353
11,New York,NaN,35,35,36,42
12,Rhode Island,NaN,0,0,0,0
13,Georgia,NaN,63,67,82,103
14,New Hampshire,NaN,0,0,0,0
15,North Carolina,NaN,28,28,33,39
16,New Jersey,NaN,35,35,35,35
17,Colorado,NaN,28,28,28,22
18,Maryland,NaN,12,10,14,14
19,Nevada,NaN,29,35,35,40
20,Tennessee,NaN,14,14,18,32
21,Hawaii,NaN,1,7,7,7
22,Indiana,NaN,21,21,26,31
23,Kentucky,NaN,14,8,7,7
24,Minnesota,NaN,14,14,8,7
25,Oklahoma,NaN,14,16,21,22
26,Pennsylvania,NaN,28,21,14,14
27,South Carolina,NaN,7,7,7,7
28,District of Columbia,NaN,0,0,0,0
29,Kansas,NaN,14,20,24,30
30,Missouri,NaN,61,80,110,148
31,Vermont,NaN,0,0,0,0
32,Virginia,NaN,21,26,31,40
33,Connecticut,NaN,0,0,0,0
34,Iowa,NaN,7,7,7,7
35,Louisiana,NaN,36,48,70,106
36,Ohio,NaN,7,7,7,7
37,Michigan,NaN,29,23,21,21
38,South Dakota,NaN,0,0,0,0
39,Arkansas,NaN,31,47,66,92
40,Delaware,NaN,0,0,0,0
41,Mississippi,NaN,14,16,22,30
42,New Mexico,NaN,7,7,7,7
43,North Dakota,NaN,0,0,0,0
44,Wyoming,NaN,7,7,7,7
45,Alaska,NaN,0,0,0,3
46,Maine,NaN,0,0,0,0
47,Alabama,NaN,21,29,47,78
48,Idaho,NaN,7,7,7,7
49,Montana,NaN,7,7,2,0
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,4,0,0,0
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
