,State,323,332,339,346,353
0,Washington,2850,169,189,209,215
1,Illinois,14844,754,726,713,700
2,California,20603,1564,2073,2533,2707
3,Arizona,7154,325,379,408,420
4,Massachusetts,11209,365,472,558,590
5,Wisconsin,4209,268,223,197,169
6,Texas,23897,829,883,929,957
7,Nebraska,1329,99,83,71,56
8,Utah,1016,73,77,78,78
9,Oregon,1123,100,101,102,99
10,Florida,19591,788,845,893,919
11,New York,35266,510,585,655,665
12,Rhode Island,1498,68,69,68,65
13,Georgia,9975,311,386,443,479
14,New Hampshire,584,51,62,72,77
15,North Carolina,5714,382,473,553,588
16,New Jersey,17608,349,380,410,415
17,Colorado,3759,273,277,291,287
18,Maryland,5012,244,276,303,323
19,Nevada,2434,179,186,192,188
20,Tennessee,5240,348,377,391,376
21,Hawaii,268,7,7,7,7
22,Indiana,6603,463,440,425,392
23,Kentucky,2146,191,185,174,159
24,Minnesota,4257,375,322,271,229
25,Oklahoma,1980,158,145,132,120
26,Pennsylvania,11961,936,1110,1252,1308
27,South Carolina,4627,192,247,308,339
28,District of Columbia,708,20,26,33,33
29,Kansas,1941,155,152,159,160
30,Missouri,4544,248,232,224,212
31,Vermont,89,0,1,7,6
32,Virginia,4335,202,271,339,380
33,Connecticut,5327,200,268,325,344
34,Iowa,2724,141,104,83,71
35,Louisiana,6724,156,171,176,174
36,Ohio,7298,664,654,637,605
37,Michigan,10900,523,479,439,397
38,South Dakota,1177,50,38,32,22
39,Arkansas,2820,124,122,120,120
40,Delaware,806,58,73,82,85
41,Mississippi,4083,81,99,108,114
42,New Mexico,1846,154,140,131,122
43,North Dakota,1109,43,31,24,14
44,Wyoming,299,24,18,14,8
45,Alaska,155,21,24,28,28
46,Maine,246,13,21,27,30
47,Alabama,4034,201,224,248,254
48,Idaho,1136,74,79,85,84
49,Montana,781,69,59,49,40
50,Puerto Rico,1238,NaN,NaN,NaN,NaN
51,Virgin Islands,23,NaN,NaN,NaN,NaN
52,Guam,115,NaN,NaN,NaN,NaN
53,West Virginia,921,86,96,97,98
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
