,State,641,647,654,661,668
0,Washington,NaN,209,194,178,165
1,Illinois,NaN,177,160,151,148
2,California,NaN,828,787,757,749
3,Arizona,NaN,209,204,200,197
4,Massachusetts,NaN,83,83,83,83
5,Wisconsin,NaN,92,75,56,43
6,Texas,NaN,1190,1029,901,812
7,Nebraska,NaN,17,17,16,10
8,Utah,NaN,61,61,61,59
9,Oregon,NaN,121,112,105,100
10,Florida,NaN,903,684,528,439
11,New York,NaN,258,240,217,199
12,Rhode Island,NaN,12,12,12,12
13,Georgia,NaN,686,555,453,382
14,New Hampshire,NaN,29,30,30,30
15,North Carolina,NaN,288,238,193,164
16,New Jersey,NaN,123,107,94,83
17,Colorado,NaN,171,179,172,163
18,Maryland,NaN,89,77,62,54
19,Nevada,NaN,93,83,77,73
20,Tennessee,NaN,303,252,208,181
21,Hawaii,NaN,14,12,6,5
22,Indiana,NaN,211,178,150,129
23,Kentucky,NaN,246,207,177,154
24,Minnesota,NaN,153,139,118,102
25,Oklahoma,NaN,782,715,656,602
26,Pennsylvania,NaN,535,495,441,391
27,South Carolina,NaN,219,170,132,107
28,District of Columbia,NaN,3,3,3,3
29,Kansas,NaN,46,40,39,39
30,Missouri,NaN,109,90,75,66
31,Vermont,NaN,6,6,6,6
32,Virginia,NaN,259,217,179,154
33,Connecticut,NaN,21,21,27,28
34,Iowa,NaN,96,83,70,64
35,Louisiana,NaN,126,102,85,73
36,Ohio,NaN,161,149,142,137
37,Michigan,NaN,342,335,315,294
38,South Dakota,NaN,29,29,29,29
39,Arkansas,NaN,64,54,45,37
40,Delaware,NaN,32,32,28,25
41,Mississippi,NaN,65,51,41,35
42,New Mexico,NaN,57,57,57,57
43,North Dakota,NaN,39,38,32,30
44,Wyoming,NaN,69,67,62,57
45,Alaska,NaN,80,74,69,66
46,Maine,NaN,27,27,27,23
47,Alabama,NaN,203,160,138,128
48,Idaho,NaN,152,147,139,129
49,Montana,NaN,76,76,70,65
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,144,124,106,93
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
