,State,382,388,395,402,409
0,Washington,4449,147,110,92,79
1,Illinois,21738,415,322,266,232
2,California,44155,2799,2227,1834,1665
3,Arizona,14048,886,720,679,811
4,Massachusetts,14999,390,320,300,305
5,Wisconsin,6613,179,116,92,95
6,Texas,39322,1904,1796,1790,1947
7,Nebraska,1968,28,26,20,14
8,Utah,1736,38,30,28,28
9,Oregon,2023,63,51,49,52
10,Florida,27696,953,875,907,1116
11,New York,44839,1176,968,845,833
12,Rhode Island,2212,88,76,70,85
13,Georgia,15092,542,435,338,270
14,New Hampshire,1104,49,40,25,14
15,North Carolina,9983,490,438,458,532
16,New Jersey,21989,544,476,419,367
17,Colorado,5731,101,91,98,118
18,Maryland,7349,203,161,131,95
19,Nevada,4520,189,146,127,121
20,Tennessee,10469,299,238,230,255
21,Hawaii,417,9,7,7,7
22,Indiana,11817,180,103,79,49
23,Kentucky,4051,135,104,92,99
24,Minnesota,6367,97,80,73,79
25,Oklahoma,3813,137,103,94,97
26,Pennsylvania,22416,921,752,666,632
27,South Carolina,7651,371,317,284,261
28,District of Columbia,952,25,21,21,21
29,Kansas,4075,139,98,96,123
30,Missouri,7449,136,100,96,111
31,Vermont,183,0,0,0,5
32,Virginia,6778,241,188,142,117
33,Connecticut,7214,199,166,156,155
34,Iowa,5108,110,103,87,84
35,Louisiana,9119,207,176,175,175
36,Ohio,11659,300,242,205,178
37,Michigan,15854,362,291,246,235
38,South Dakota,1809,14,10,7,7
39,Arkansas,5076,150,128,124,135
40,Delaware,1208,30,27,18,8
41,Mississippi,6269,156,107,58,46
42,New Mexico,3399,117,84,75,51
43,North Dakota,1453,5,0,0,0
44,Wyoming,624,18,14,8,5
45,Alaska,279,0,0,0,0
46,Maine,635,40,27,21,17
47,Alabama,8515,478,422,412,445
48,Idaho,1767,28,22,21,21
49,Montana,1314,35,31,22,14
50,Puerto Rico,1883,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,129,NaN,NaN,NaN,NaN
53,West Virginia,2129,62,40,28,9
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
