,State,705,710,717,724,731
0,Washington,NaN,79,94,74,118
1,Illinois,NaN,453,511,571,754
2,California,NaN,283,543,266,681
3,Arizona,NaN,431,495,533,507
4,Massachusetts,NaN,240,270,321,399
5,Wisconsin,NaN,303,328,302,363
6,Texas,NaN,393,750,471,797
7,Nebraska,NaN,22,24,5,10
8,Utah,NaN,29,39,52,28
9,Oregon,NaN,34,57,90,63
10,Florida,NaN,615,1023,1597,2175
11,New York,NaN,NaN,NaN,NaN,NaN
12,Rhode Island,NaN,42,65,96,78
13,Georgia,NaN,218,304,318,554
14,New Hampshire,NaN,38,37,50,30
15,North Carolina,NaN,137,163,230,179
16,New Jersey,NaN,NaN,NaN,NaN,NaN
17,Colorado,NaN,160,173,96,175
18,Maryland,NaN,87,54,93,132
19,Nevada,NaN,72,74,91,67
20,Tennessee,NaN,159,270,825,138
21,Hawaii,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,160,237,241,211
23,Kentucky,NaN,106,170,126,100
24,Minnesota,NaN,116,225,117,94
25,Oklahoma,NaN,60,152,125,103
26,Pennsylvania,NaN,854,973,1198,1352
27,South Carolina,NaN,30,132,66,113
28,District of Columbia,NaN,13,4,29,67
29,Kansas,NaN,117,87,33,55
30,Missouri,NaN,148,215,155,141
31,Vermont,NaN,4,9,2,8
32,Virginia,NaN,262,313,392,436
33,Connecticut,NaN,54,127,37,134
34,Iowa,NaN,64,100,25,69
35,Louisiana,NaN,63,129,72,151
36,Ohio,NaN,558,621,524,526
37,Michigan,NaN,483,506,622,286
38,South Dakota,NaN,17,15,25,13
39,Arkansas,NaN,48,87,79,69
40,Delaware,NaN,34,51,33,60
41,Mississippi,NaN,20,71,38,52
42,New Mexico,NaN,80,96,83,64
43,North Dakota,NaN,8,16,24,15
44,Wyoming,NaN,8,12,16,7
45,Alaska,NaN,4,6,11,4
46,Maine,NaN,25,30,41,22
47,Alabama,NaN,27,143,18,110
48,Idaho,NaN,18,20,17,22
49,Montana,NaN,16,19,24,15
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,41,78,73,50
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
