,State,789,794,801,808,815
0,Washington,NaN,110,98,89,81
1,Illinois,NaN,79,63,51,41
2,California,NaN,548,453,377,312
3,Arizona,NaN,224,177,149,123
4,Massachusetts,NaN,78,62,50,42
5,Wisconsin,NaN,216,211,212,205
6,Texas,NaN,412,356,301,260
7,Nebraska,NaN,10,8,6,4
8,Utah,NaN,37,34,29,27
9,Oregon,NaN,97,91,85,81
10,Florida,NaN,614,553,506,445
11,New York,NaN,98,85,73,65
12,Rhode Island,NaN,4,4,4,4
13,Georgia,NaN,263,229,205,176
14,New Hampshire,NaN,12,11,10,9
15,North Carolina,NaN,94,77,64,54
16,New Jersey,NaN,55,47,40,35
17,Colorado,NaN,28,25,22,20
18,Maryland,NaN,44,39,34,31
19,Nevada,NaN,41,31,24,19
20,Tennessee,NaN,391,406,438,454
21,Hawaii,NaN,3,2,1,1
22,Indiana,NaN,107,99,91,83
23,Kentucky,NaN,145,133,124,116
24,Minnesota,NaN,52,44,37,33
25,Oklahoma,NaN,67,45,30,21
26,Pennsylvania,NaN,165,141,123,104
27,South Carolina,NaN,82,60,47,37
28,District of Columbia,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,131,178,234,304
30,Missouri,NaN,260,268,259,256
31,Vermont,NaN,1,1,0,0
32,Virginia,NaN,143,113,90,72
33,Connecticut,NaN,69,63,60,52
34,Iowa,NaN,47,39,34,29
35,Louisiana,NaN,89,80,73,65
36,Ohio,NaN,98,99,102,105
37,Michigan,NaN,213,185,172,153
38,South Dakota,NaN,17,16,14,13
39,Arkansas,NaN,171,160,150,141
40,Delaware,NaN,45,50,54,59
41,Mississippi,NaN,54,42,34,29
42,New Mexico,NaN,75,72,73,71
43,North Dakota,NaN,6,4,3,3
44,Wyoming,NaN,7,6,5,4
45,Alaska,NaN,1,0,0,0
46,Maine,NaN,24,20,17,15
47,Alabama,NaN,191,169,150,136
48,Idaho,NaN,10,6,4,3
49,Montana,NaN,9,7,6,5
50,Puerto Rico,NaN,5,3,2,2
51,Virgin Islands,NaN,0,0,0,0
52,Guam,NaN,2,2,1,1
53,West Virginia,NaN,81,73,68,59
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
