,State,557,563,570,577,584
0,Washington,NaN,61,60,66,68
1,Illinois,NaN,54,66,72,77
2,California,NaN,190,240,327,485
3,Arizona,NaN,77,115,111,147
4,Massachusetts,NaN,51,51,67,71
5,Wisconsin,NaN,69,82,89,94
6,Texas,NaN,339,486,593,759
7,Nebraska,NaN,11,10,13,15
8,Utah,NaN,31,35,41,42
9,Oregon,NaN,24,36,43,52
10,Florida,NaN,462,762,740,984
11,New York,NaN,51,71,75,87
12,Rhode Island,NaN,4,5,7,9
13,Georgia,NaN,76,78,93,105
14,New Hampshire,NaN,4,5,6,6
15,North Carolina,NaN,73,87,95,106
16,New Jersey,NaN,40,49,67,71
17,Colorado,NaN,40,43,49,54
18,Maryland,NaN,40,50,55,65
19,Nevada,NaN,91,110,124,137
20,Tennessee,NaN,102,93,121,138
21,Hawaii,NaN,12,16,20,27
22,Indiana,NaN,40,54,67,71
23,Kentucky,NaN,35,47,63,72
24,Minnesota,NaN,23,32,41,47
25,Oklahoma,NaN,43,45,61,67
26,Pennsylvania,NaN,38,45,55,69
27,South Carolina,NaN,35,47,67,77
28,District of Columbia,NaN,3,4,4,4
29,Kansas,NaN,57,50,69,72
30,Missouri,NaN,131,154,186,201
31,Vermont,NaN,1,2,3,5
32,Virginia,NaN,39,46,64,69
33,Connecticut,NaN,11,19,25,34
34,Iowa,NaN,16,20,27,33
35,Louisiana,NaN,94,152,170,238
36,Ohio,NaN,14,31,40,51
37,Michigan,NaN,40,52,60,73
38,South Dakota,NaN,2,3,4,5
39,Arkansas,NaN,100,135,149,174
40,Delaware,NaN,4,8,7,8
41,Mississippi,NaN,64,74,87,94
42,New Mexico,NaN,19,21,24,30
43,North Dakota,NaN,3,4,5,5
44,Wyoming,NaN,9,8,8,7
45,Alaska,NaN,8,10,12,12
46,Maine,NaN,10,8,9,8
47,Alabama,NaN,54,83,80,95
48,Idaho,NaN,14,18,23,28
49,Montana,NaN,8,10,12,14
50,Puerto Rico,NaN,29,35,55,59
51,Virgin Islands,NaN,2,2,2,2
52,Guam,NaN,1,1,1,1
53,West Virginia,NaN,15,18,21,28
54,Northern Mariana Islands,NaN,0,0,0,0
55,American Samoa,NaN,0,0,0,0
