,State,522,528,535,542,549,556,563
0,Washington,5902,14,11,9,7,5,4
1,Illinois,25632,13,8,5,4,3,2
2,California,63589,18,12,7,4,2,2
3,Arizona,17914,28,24,21,18,13,10
4,Massachusetts,17988,4,2,1,1,0,0
5,Wisconsin,8099,7,6,5,4,3,2
6,Texas,52273,45,37,32,29,22,18
7,Nebraska,2259,2,1,1,0,0,0
8,Utah,2363,6,5,5,5,4,4
9,Oregon,2763,12,8,6,5,4,4
10,Florida,37772,47,37,30,24,17,13
11,New York,53664,25,19,16,13,11,10
12,Rhode Island,2728,1,1,0,0,0,0
13,Georgia,21393,15,13,12,12,11,12
14,New Hampshire,1371,1,1,0,0,0,0
15,North Carolina,13412,34,29,27,26,24,25
16,New Jersey,26437,1,0,0,0,0,0
17,Colorado,6777,8,6,5,4,4,4
18,Maryland,9737,6,5,4,3,2,2
19,Nevada,5667,12,9,8,8,8,9
20,Tennessee,12550,16,14,13,12,11,10
21,Hawaii,516,2,1,1,0,0,0
22,Indiana,13822,29,25,22,21,19,18
23,Kentucky,7204,10,7,6,7,7,7
24,Minnesota,7675,6,4,3,2,2,1
25,Oklahoma,7384,9,8,6,6,5,4
26,Pennsylvania,27651,14,9,7,5,4,4
27,South Carolina,9819,8,7,6,5,5,5
28,District of Columbia,1141,0,0,0,0,0,0
29,Kansas,5147,13,12,11,10,9,8
30,Missouri,9676,30,31,34,39,42,47
31,Vermont,256,0,0,0,0,0,0
32,Virginia,11396,11,8,7,6,6,7
33,Connecticut,8275,2,2,1,1,1,0
34,Iowa,6133,6,5,3,2,2,1
35,Louisiana,10723,27,26,28,31,32,34
36,Ohio,20281,19,13,11,11,9,9
37,Michigan,20959,14,10,8,7,7,7
38,South Dakota,2030,0,0,0,0,0,0
39,Arkansas,5893,18,16,15,14,13,13
40,Delaware,1694,1,0,0,0,0,0
41,Mississippi,7395,12,11,11,11,11,12
42,New Mexico,4335,4,3,3,2,2,1
43,North Dakota,1559,1,1,0,0,0,0
44,Wyoming,740,10,9,9,8,6,6
45,Alaska,374,1,1,1,0,0,0
46,Maine,858,3,2,1,1,1,0
47,Alabama,11336,23,16,13,12,11,12
48,Idaho,2145,4,4,4,4,3,3
49,Montana,1662,3,2,2,1,1,1
50,Puerto Rico,2547,17,16,16,17,18,22
51,Virgin Islands,30,1,1,1,1,1,1
52,Guam,139,0,0,0,0,0,0
53,West Virginia,2876,9,7,7,7,7,7
54,Northern Mariana Islands,2,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
