,State,655,661,668,675,682,689
0,Washington,NaN,164,154,143,132,120
1,Illinois,NaN,156,154,153,152,150
2,California,NaN,686,690,693,689,670
3,Arizona,NaN,311,340,372,402,424
4,Massachusetts,NaN,79,75,69,63,55
5,Wisconsin,NaN,114,116,126,141,156
6,Texas,NaN,667,541,436,348,276
7,Nebraska,NaN,35,35,33,30,26
8,Utah,NaN,74,76,77,77,75
9,Oregon,NaN,103,97,90,83,75
10,Florida,NaN,448,337,252,186,136
11,New York,NaN,220,202,183,163,143
12,Rhode Island,NaN,5,5,4,3,2
13,Georgia,NaN,340,276,222,174,133
14,New Hampshire,NaN,23,22,20,17,14
15,North Carolina,NaN,183,152,126,103,82
16,New Jersey,NaN,98,86,74,62,52
17,Colorado,NaN,214,226,232,232,225
18,Maryland,NaN,73,64,55,46,39
19,Nevada,NaN,84,83,84,85,85
20,Tennessee,NaN,132,102,77,58,44
21,Hawaii,NaN,10,9,8,7,6
22,Indiana,NaN,170,153,137,123,109
23,Kentucky,NaN,156,136,120,105,92
24,Minnesota,NaN,150,169,205,255,313
25,Oklahoma,NaN,110,89,71,55,41
26,Pennsylvania,NaN,444,406,356,298,238
27,South Carolina,NaN,120,97,79,66,55
28,District of Columbia,NaN,2,1,1,1,0
29,Kansas,NaN,94,87,79,70,62
30,Missouri,NaN,97,88,80,73,66
31,Vermont,NaN,14,15,15,14,12
32,Virginia,NaN,179,150,122,98,78
33,Connecticut,NaN,20,18,16,14,12
34,Iowa,NaN,90,87,86,85,84
35,Louisiana,NaN,56,43,33,25,18
36,Ohio,NaN,505,490,494,510,529
37,Michigan,NaN,358,355,344,325,300
38,South Dakota,NaN,24,24,24,24,23
39,Arkansas,NaN,63,54,46,39,33
40,Delaware,NaN,24,20,17,13,11
41,Mississippi,NaN,47,39,32,27,23
42,New Mexico,NaN,71,78,83,87,86
43,North Dakota,NaN,38,35,32,28,24
44,Wyoming,NaN,48,44,39,34,28
45,Alaska,NaN,20,17,13,10,8
46,Maine,NaN,38,37,35,32,28
47,Alabama,NaN,129,105,86,71,59
48,Idaho,NaN,115,101,86,71,57
49,Montana,NaN,90,84,76,67,58
50,Puerto Rico,NaN,7,5,4,3,3
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,108,93,80,67,56
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
