,State,498,507,514,521,528,535,542
0,Washington,5821,54,48,44,41,39,39
1,Illinois,25265,103,74,53,40,36,38
2,California,63345,95,75,65,61,60,61
3,Arizona,17653,62,61,61,61,61,61
4,Massachusetts,17893,19,13,7,7,7,7
5,Wisconsin,7923,35,24,16,12,11,14
6,Texas,51633,155,123,100,87,85,89
7,Nebraska,2249,13,14,13,14,14,14
8,Utah,2308,21,21,21,21,21,21
9,Oregon,2683,41,41,41,41,41,41
10,Florida,36973,184,139,113,100,105,116
11,New York,53357,76,52,33,22,19,22
12,Rhode Island,2715,7,7,7,7,7,7
13,Georgia,20900,75,58,47,40,39,41
14,New Hampshire,1354,11,11,11,11,11,11
15,North Carolina,13130,47,36,28,23,21,20
16,New Jersey,26253,52,41,38,37,41,50
17,Colorado,6603,36,28,23,20,20,21
18,Maryland,9626,42,34,28,23,24,28
19,Nevada,5599,27,26,27,26,27,26
20,Tennessee,12472,45,39,34,32,31,31
21,Hawaii,501,3,4,4,4,4,3
22,Indiana,13657,33,24,18,15,14,16
23,Kentucky,7077,32,26,21,19,14,14
24,Minnesota,7530,21,13,7,5,4,5
25,Oklahoma,7316,43,43,43,43,42,43
26,Pennsylvania,27295,87,61,43,32,29,29
27,South Carolina,9739,14,7,7,7,7,7
28,District of Columbia,1136,6,6,6,6,6,6
29,Kansas,5081,20,20,20,20,20,20
30,Missouri,9544,39,36,34,33,34,36
31,Vermont,255,1,1,1,2,2,2
32,Virginia,11216,39,30,24,21,21,24
33,Connecticut,8245,31,31,31,31,31,31
34,Iowa,6065,24,24,24,23,24,24
35,Louisiana,10605,44,44,44,44,44,44
36,Ohio,19923,32,32,32,33,32,32
37,Michigan,20485,97,62,40,28,24,21
38,South Dakota,2020,10,10,10,10,10,10
39,Arkansas,5842,20,20,20,20,20,20
40,Delaware,1668,9,9,9,9,9,9
41,Mississippi,7324,25,25,24,24,25,24
42,New Mexico,4273,21,21,21,21,21,21
43,North Dakota,1546,4,4,4,4,4,4
44,Wyoming,720,2,2,2,2,2,2
45,Alaska,369,3,3,3,3,3,3
46,Maine,837,8,8,8,8,8,8
47,Alabama,11188,39,36,34,32,31,29
48,Idaho,2101,11,11,11,11,11,11
49,Montana,1627,9,10,9,9,10,10
50,Puerto Rico,2515,39,39,39,39,39,39
51,Virgin Islands,28,0,0,0,0,0,0
52,Guam,139,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,2807,23,23,23,22,23,22
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
