,State,817,822,829,836,843,850
0,Washington,NaN,14,42,43,43,43
1,Illinois,NaN,13,17,17,17,17
2,California,NaN,199,354,363,367,369
3,Arizona,NaN,134,140,157,173,180
4,Massachusetts,NaN,10,19,18,18,18
5,Wisconsin,NaN,34,55,55,55,56
6,Texas,NaN,48,67,67,67,68
7,Nebraska,NaN,4,6,21,20,23
8,Utah,NaN,5,7,5,5,8
9,Oregon,NaN,123,173,181,182,183
10,Florida,NaN,137,213,214,215,217
11,New York,NaN,10,24,24,24,25
12,Rhode Island,NaN,2,1,2,2,3
13,Georgia,NaN,78,143,144,146,149
14,New Hampshire,NaN,2,2,3,3,3
15,North Carolina,NaN,6,27,28,28,28
16,New Jersey,NaN,3,15,15,15,15
17,Colorado,NaN,21,41,48,45,48
18,Maryland,NaN,12,20,21,20,22
19,Nevada,NaN,14,143,144,149,149
20,Tennessee,NaN,138,171,158,244,241
21,Hawaii,NaN,NaN,NaN,NaN,NaN,NaN
22,Indiana,NaN,5,9,9,9,9
23,Kentucky,NaN,76,106,130,120,116
24,Minnesota,NaN,8,19,19,19,19
25,Oklahoma,NaN,29,80,81,81,82
26,Pennsylvania,NaN,16,42,42,42,42
27,South Carolina,NaN,69,89,93,95,97
28,District of Columbia,NaN,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,43,38,40,41,41
30,Missouri,NaN,7,15,15,15,15
31,Vermont,NaN,1,1,1,1,1
32,Virginia,NaN,98,176,178,179,181
33,Connecticut,NaN,6,10,9,10,10
34,Iowa,NaN,6,13,14,13,13
35,Louisiana,NaN,13,16,16,16,14
36,Ohio,NaN,0,8,5,4,4
37,Michigan,NaN,24,51,50,51,51
38,South Dakota,NaN,3,4,3,4,4
39,Arkansas,NaN,34,49,49,51,51
40,Delaware,NaN,10,18,19,19,19
41,Mississippi,NaN,2,5,5,5,5
42,New Mexico,NaN,31,46,48,50,52
43,North Dakota,NaN,1,0,0,0,0
44,Wyoming,NaN,2,3,3,3,3
45,Alaska,NaN,NaN,NaN,NaN,NaN,NaN
46,Maine,NaN,22,35,38,39,40
47,Alabama,NaN,57,132,152,156,146
48,Idaho,NaN,3,7,8,7,8
49,Montana,NaN,1,1,2,2,1
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,22,65,75,76,77
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN
