,State,431,437,444,451,458
0,Washington,5218,83,84,91,81
1,Illinois,23521,169,180,197,176
2,California,58949,1044,1102,781,1128
3,Arizona,16918,141,117,107,113
4,Massachusetts,17115,0,0,0,0
5,Wisconsin,7274,73,74,80,85
6,Texas,48093,833,745,766,763
7,Nebraska,2175,63,63,69,66
8,Utah,2114,61,59,58,61
9,Oregon,2375,52,50,54,61
10,Florida,33178,434,392,420,368
11,New York,50017,533,522,544,434
12,Rhode Island,2608,5,6,5,0
13,Georgia,18926,275,279,266,248
14,New Hampshire,1237,16,18,21,15
15,North Carolina,12028,197,217,213,199
16,New Jersey,24389,236,239,231,158
17,Colorado,6092,87,88,95,81
18,Maryland,8251,88,91,92,75
19,Nevada,5236,74,58,66,69
20,Tennessee,11816,134,142,142,135
21,Hawaii,462,10,10,11,12
22,Indiana,13023,101,101,105,106
23,Kentucky,6031,197,182,132,138
24,Minnesota,6908,109,105,114,88
25,Oklahoma,4850,95,81,86,94
26,Pennsylvania,24971,218,225,257,169
27,South Carolina,9122,114,116,114,101
28,District of Columbia,1056,12,10,12,12
29,Kansas,4848,75,75,77,87
30,Missouri,8796,904,642,660,764
31,Vermont,225,11,11,12,10
32,Virginia,10198,203,195,211,193
33,Connecticut,7865,60,58,76,36
34,Iowa,5725,70,70,76,70
35,Louisiana,10087,108,106,108,116
36,Ohio,18609,150,149,160,161
37,Michigan,17047,165,192,247,115
38,South Dakota,1933,40,40,41,40
39,Arkansas,5595,84,80,80,87
40,Delaware,1544,24,22,22,20
41,Mississippi,7001,93,87,89,96
42,New Mexico,3925,42,43,41,45
43,North Dakota,1498,32,32,34,33
44,Wyoming,695,15,15,16,15
45,Alaska,313,21,20,22,20
46,Maine,736,17,18,18,19
47,Alabama,10526,110,125,104,122
48,Idaho,1954,38,37,37,35
49,Montana,1436,36,37,38,36
50,Puerto Rico,2112,NaN,NaN,NaN,NaN
51,Virgin Islands,26,NaN,NaN,NaN,NaN
52,Guam,134,NaN,NaN,NaN,NaN
53,West Virginia,2634,62,57,58,51
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
