,State,600,605,612,619,626
0,Washington,NaN,227,217,197,181
1,Illinois,NaN,206,217,225,231
2,California,NaN,725,783,853,858
3,Arizona,NaN,217,237,253,243
4,Massachusetts,NaN,72,79,85,91
5,Wisconsin,NaN,95,91,90,90
6,Texas,NaN,1982,2080,2197,2290
7,Nebraska,NaN,7,11,10,16
8,Utah,NaN,57,58,58,58
9,Oregon,NaN,149,153,151,139
10,Florida,NaN,2482,2402,2130,1805
11,New York,NaN,295,288,308,331
12,Rhode Island,NaN,20,20,20,20
13,Georgia,NaN,609,608,604,604
14,New Hampshire,NaN,14,14,15,14
15,North Carolina,NaN,445,473,490,504
16,New Jersey,NaN,136,150,156,159
17,Colorado,NaN,90,121,116,111
18,Maryland,NaN,109,130,145,157
19,Nevada,NaN,126,112,100,89
20,Tennessee,NaN,341,338,394,379
21,Hawaii,NaN,22,21,14,11
22,Indiana,NaN,243,252,254,254
23,Kentucky,NaN,154,158,162,162
24,Minnesota,NaN,53,54,60,61
25,Oklahoma,NaN,203,209,211,209
26,Pennsylvania,NaN,214,226,241,250
27,South Carolina,NaN,409,424,413,411
28,District of Columbia,NaN,3,3,3,3
29,Kansas,NaN,160,127,128,149
30,Missouri,NaN,247,227,243,242
31,Vermont,NaN,5,5,5,4
32,Virginia,NaN,112,91,89,95
33,Connecticut,NaN,44,45,46,47
34,Iowa,NaN,29,27,29,27
35,Louisiana,NaN,267,239,181,157
36,Ohio,NaN,0,0,0,0
37,Michigan,NaN,165,162,169,167
38,South Dakota,NaN,13,13,14,14
39,Arkansas,NaN,195,195,194,194
40,Delaware,NaN,12,13,12,11
41,Mississippi,NaN,369,366,367,366
42,New Mexico,NaN,59,66,70,73
43,North Dakota,NaN,12,13,14,15
44,Wyoming,NaN,28,30,28,28
45,Alaska,NaN,10,8,8,7
46,Maine,NaN,12,14,15,16
47,Alabama,NaN,284,296,299,304
48,Idaho,NaN,100,108,126,137
49,Montana,NaN,25,26,26,25
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,89,98,106,105
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
