,State,397,402,409,416,423
0,Washington,4857,140,146,146,136
1,Illinois,22506,280,274,193,234
2,California,49541,1797,1683,1306,1231
3,Arizona,15502,474,455,369,342
4,Massachusetts,15853,329,322,290,289
5,Wisconsin,6871,87,88,51,114
6,Texas,42301,1112,1084,839,692
7,Nebraska,2047,30,26,29,42
8,Utah,1853,35,51,46,65
9,Oregon,2156,41,48,33,43
10,Florida,30065,940,951,874,768
11,New York,46924,793,749,575,663
12,Rhode Island,2466,66,59,57,78
13,Georgia,16835,641,594,588,527
14,New Hampshire,1154,18,30,16,25
15,North Carolina,10934,384,429,381,294
16,New Jersey,22874,373,363,316,302
17,Colorado,5893,59,69,40,91
18,Maryland,7732,136,128,95,101
19,Nevada,4882,128,110,98,80
20,Tennessee,11153,209,291,278,169
21,Hawaii,430,4,10,7,8
22,Indiana,12407,210,205,158,168
23,Kentucky,4460,143,166,140,112
24,Minnesota,6501,51,58,45,92
25,Oklahoma,4203,133,152,131,96
26,Pennsylvania,23580,458,439,278,310
27,South Carolina,8332,286,319,254,189
28,District of Columbia,995,18,19,8,16
29,Kansas,4602,183,161,184,180
30,Missouri,8062,238,196,238,218
31,Vermont,198,6,6,7,10
32,Virginia,7486,250,234,221,205
33,Connecticut,7562,122,109,100,102
34,Iowa,5374,97,146,108,169
35,Louisiana,9477,148,144,122,99
36,Ohio,16874,108,156,126,211
37,Michigan,16343,191,176,143,200
38,South Dakota,1863,17,21,12,18
39,Arkansas,5363,103,125,130,87
40,Delaware,1368,10,19,13,17
41,Mississippi,6553,99,110,74,87
42,New Mexico,3635,84,80,66,67
43,North Dakota,1468,5,7,7,14
44,Wyoming,662,14,13,11,14
45,Alaska,290,4,7,7,12
46,Maine,658,8,15,10,15
47,Alabama,9592,367,324,295,189
48,Idaho,1826,19,20,14,25
49,Montana,1341,17,27,21,28
50,Puerto Rico,1983,NaN,NaN,NaN,NaN
51,Virgin Islands,25,NaN,NaN,NaN,NaN
52,Guam,130,NaN,NaN,NaN,NaN
53,West Virginia,2263,45,56,34,42
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
