,State,404,409,416,423,430,437,444
0,Washington,4969,126,114,103,92,83,74
1,Illinois,22759,123,94,70,54,40,31
2,California,52491,2441,2277,2096,1908,1729,1555
3,Arizona,15979,326,242,179,132,96,70
4,Massachusetts,16144,191,144,109,82,62,47
5,Wisconsin,7014,128,113,100,88,77,68
6,Texas,43909,928,736,580,454,358,281
7,Nebraska,2082,19,16,13,11,9,8
8,Utah,1940,40,33,28,23,20,16
9,Oregon,2212,54,49,44,40,36,32
10,Florida,30999,895,807,730,655,584,518
11,New York,47719,513,394,303,234,181,140
12,Rhode Island,2517,26,21,17,14,11,9
13,Georgia,17376,392,287,211,154,112,82
14,New Hampshire,1170,22,18,15,12,10,8
15,North Carolina,11254,427,388,352,316,282,251
16,New Jersey,23273,122,81,54,36,24,16
17,Colorado,5952,40,32,26,20,16,13
18,Maryland,7879,147,130,116,102,90,80
19,Nevada,4957,70,51,37,27,19,14
20,Tennessee,11421,215,159,118,86,64,48
21,Hawaii,438,8,6,4,4,3,2
22,Indiana,12595,148,107,78,56,40,30
23,Kentucky,4652,164,142,122,105,90,76
24,Minnesota,6554,50,41,33,27,22,18
25,Oklahoma,4478,241,234,225,214,202,187
26,Pennsylvania,23984,474,397,334,278,232,192
27,South Carolina,8562,260,215,180,148,122,99
28,District of Columbia,1019,12,8,6,4,3,2
29,Kansas,4700,214,202,189,174,158,143
30,Missouri,8283,232,212,194,175,158,142
31,Vermont,205,4,4,4,4,4,4
32,Virginia,8783,422,398,370,340,311,284
33,Connecticut,7651,70,56,46,37,30,24
34,Iowa,5472,113,99,86,74,64,55
35,Louisiana,9628,96,65,45,30,20,14
36,Ohio,17346,53,38,28,20,14,10
37,Michigan,16519,142,114,92,74,59,48
38,South Dakota,1888,14,10,7,5,3,2
39,Arkansas,5250,100,83,68,56,46,38
40,Delaware,1422,19,15,11,8,6,4
41,Mississippi,6681,95,76,60,48,37,29
42,New Mexico,3729,86,74,64,55,47,40
43,North Dakota,1475,2,1,0,0,0,0
44,Wyoming,671,8,6,4,3,2,2
45,Alaska,300,6,5,4,4,4,3
46,Maine,703,12,9,7,5,4,3
47,Alabama,9931,245,164,111,74,50,34
48,Idaho,1867,26,23,20,17,14,13
49,Montana,1357,11,7,5,3,2,1
50,Puerto Rico,2037,71,70,68,66,64,63
51,Virgin Islands,25,0,0,0,0,0,0
52,Guam,131,0,0,0,0,0,0
53,West Virginia,2300,46,38,31,25,20,16
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
