,State,712,717,724,731,738,745,752
0,Washington,NaN,128,145,174,224,276,307
1,Illinois,NaN,409,457,482,507,552,571
2,California,NaN,280,226,178,140,108,84
3,Arizona,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,Massachusetts,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,Wisconsin,NaN,405,557,700,841,988,1087
6,Texas,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,Nebraska,NaN,39,44,55,65,66,63
8,Utah,NaN,52,49,48,48,44,45
9,Oregon,NaN,98,106,110,101,98,101
10,Florida,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,New York,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,Rhode Island,NaN,29,21,14,9,6,4
13,Georgia,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,New Hampshire,NaN,86,126,187,256,332,353
15,North Carolina,NaN,158,179,219,246,271,298
16,New Jersey,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,Colorado,NaN,214,231,264,283,303,313
18,Maryland,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,Nevada,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,Tennessee,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,Hawaii,NaN,16,23,38,59,86,122
22,Indiana,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,Kentucky,NaN,127,114,117,119,117,105
24,Minnesota,NaN,275,364,470,571,666,749
25,Oklahoma,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,Pennsylvania,NaN,737,787,832,863,887,862
27,South Carolina,NaN,74,70,68,64,62,59
28,District of Columbia,NaN,4,3,2,2,2,1
29,Kansas,NaN,61,72,89,106,125,153
30,Missouri,NaN,102,105,112,92,75,61
31,Vermont,NaN,20,27,36,46,60,76
32,Virginia,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,Connecticut,NaN,64,53,41,29,21,15
34,Iowa,NaN,93,93,92,84,77,74
35,Louisiana,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,Ohio,NaN,570,702,830,953,1073,1157
37,Michigan,NaN,619,614,553,545,502,435
38,South Dakota,NaN,24,17,12,8,6,4
39,Arkansas,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,Delaware,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,Mississippi,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,New Mexico,NaN,124,111,78,62,51,41
43,North Dakota,NaN,20,18,17,14,13,12
44,Wyoming,NaN,12,10,8,6,6,4
45,Alaska,NaN,41,45,53,53,57,59
46,Maine,NaN,79,103,132,172,202,234
47,Alabama,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,Idaho,NaN,50,61,72,79,90,92
49,Montana,NaN,30,30,27,26,24,21
50,Puerto Rico,NaN,18,31,50,83,137,268
51,Virgin Islands,NaN,1,1,2,3,4,6
52,Guam,NaN,2,2,2,2,2,2
53,West Virginia,NaN,88,73,71,69,61,54
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
