,State,453,458,465,472,479
0,Washington,5394,61,72,79,79
1,Illinois,23976,187,253,220,220
2,California,61045,600,655,594,594
3,Arizona,17153,71,83,78,78
4,Massachusetts,17481,116,145,115,115
5,Wisconsin,7421,50,51,55,55
6,Texas,49618,360,332,335,335
7,Nebraska,2215,35,24,26,26
8,Utah,2166,14,14,25,25
9,Oregon,2460,34,37,48,48
10,Florida,34471,423,457,454,454
11,New York,51627,482,548,469,469
12,Rhode Island,2651,17,15,18,18
13,Georgia,19784,210,187,188,188
14,New Hampshire,1270,18,24,20,20
15,North Carolina,12418,131,148,142,142
16,New Jersey,25161,287,349,311,311
17,Colorado,6201,37,38,41,41
18,Maryland,8574,110,112,127,127
19,Nevada,5368,37,35,33,33
20,Tennessee,12081,68,64,69,69
21,Hawaii,474,8,10,9,9
22,Indiana,13226,82,92,114,114
23,Kentucky,6347,86,80,83,78
24,Minnesota,7104,74,98,108,108
25,Oklahoma,6697,33,16,24,24
26,Pennsylvania,25673,334,360,401,401
27,South Carolina,9352,69,67,68,68
28,District of Columbia,1096,10,11,12,12
29,Kansas,4911,15,15,19,19
30,Missouri,9010,68,62,69,69
31,Vermont,242,8,10,8,8
32,Virginia,10595,30,33,28,28
33,Connecticut,8014,62,63,65,65
34,Iowa,5886,47,49,48,48
35,Louisiana,10293,62,66,61,61
36,Ohio,19033,3,1,3,3
37,Michigan,17996,324,417,534,534
38,South Dakota,1953,11,10,20,20
39,Arkansas,5699,23,18,21,21
40,Delaware,1602,23,26,27,27
41,Mississippi,7153,39,28,30,30
42,New Mexico,4007,24,24,23,23
43,North Dakota,1510,8,9,8,8
44,Wyoming,703,3,2,3,3
45,Alaska,334,2,2,2,2
46,Maine,767,25,21,30,30
47,Alabama,10790,58,41,47,47
48,Idaho,2022,19,18,17,17
49,Montana,1546,16,8,12,12
50,Puerto Rico,2213,NaN,NaN,NaN,NaN
51,Virgin Islands,27,NaN,NaN,NaN,NaN
52,Guam,136,NaN,NaN,NaN,NaN
53,West Virginia,2785,47,49,52,52
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
