,State,529,535,542,549,556
0,Washington,NaN,61,58,56,53
1,Illinois,NaN,194,183,173,162
2,California,NaN,59,50,42,36
3,Arizona,NaN,20,17,14,12
4,Massachusetts,NaN,11,8,5,4
5,Wisconsin,NaN,40,37,35,32
6,Texas,NaN,235,222,208,194
7,Nebraska,NaN,7,6,6,5
8,Utah,NaN,5,5,4,4
9,Oregon,NaN,40,39,37,35
10,Florida,NaN,180,153,130,111
11,New York,NaN,78,66,56,47
12,Rhode Island,NaN,5,4,3,3
13,Georgia,NaN,70,63,57,51
14,New Hampshire,NaN,1,1,0,0
15,North Carolina,NaN,58,52,47,42
16,New Jersey,NaN,2,1,0,0
17,Colorado,NaN,42,37,32,28
18,Maryland,NaN,45,41,37,34
19,Nevada,NaN,14,12,11,10
20,Tennessee,NaN,37,31,26,21
21,Hawaii,NaN,7,7,6,6
22,Indiana,NaN,64,58,52,47
23,Kentucky,NaN,115,110,105,100
24,Minnesota,NaN,53,47,41,36
25,Oklahoma,NaN,177,173,169,164
26,Pennsylvania,NaN,275,255,236,219
27,South Carolina,NaN,13,9,7,5
28,District of Columbia,NaN,0,0,0,0
29,Kansas,NaN,17,16,15,13
30,Missouri,NaN,34,32,29,27
31,Vermont,NaN,0,0,0,0
32,Virginia,NaN,95,87,80,73
33,Connecticut,NaN,2,1,1,0
34,Iowa,NaN,31,28,25,22
35,Louisiana,NaN,39,37,35,33
36,Ohio,NaN,86,76,66,56
37,Michigan,NaN,50,35,24,17
38,South Dakota,NaN,11,10,10,9
39,Arkansas,NaN,15,14,12,11
40,Delaware,NaN,2,1,1,1
41,Mississippi,NaN,8,7,6,6
42,New Mexico,NaN,19,18,17,16
43,North Dakota,NaN,7,7,6,6
44,Wyoming,NaN,6,6,5,5
45,Alaska,NaN,2,2,1,1
46,Maine,NaN,12,10,9,8
47,Alabama,NaN,67,64,61,59
48,Idaho,NaN,6,5,5,4
49,Montana,NaN,6,5,4,4
50,Puerto Rico,NaN,45,44,43,41
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,18,16,14,12
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
