,State,368,374,381,388,395
0,Washington,4114,222,273,297,233
1,Illinois,20680,520,451,387,334
2,California,37121,3839,3392,2380,1702
3,Arizona,12238,913,817,726,629
4,Massachusetts,14133,575,665,578,489
5,Wisconsin,6190,243,300,295,219
6,Texas,34911,2048,1673,1343,1067
7,Nebraska,1879,50,56,51,45
8,Utah,1595,91,66,54,44
9,Oregon,1880,97,76,59,46
10,Florida,25293,1234,1616,1649,1374
11,New York,42325,1074,973,852,737
12,Rhode Island,2083,28,19,12,7
13,Georgia,13250,709,635,539,452
14,New Hampshire,987,60,59,55,49
15,North Carolina,8695,774,712,622,565
16,New Jersey,20951,431,407,363,318
17,Colorado,5505,163,145,112,93
18,Maryland,6865,300,351,359,294
19,Nevada,4026,272,299,234,181
20,Tennessee,8859,367,301,242,194
21,Hawaii,341,22,20,16,14
22,Indiana,9716,257,209,170,136
23,Kentucky,3421,251,209,179,149
24,Minnesota,6163,178,147,127,109
25,Oklahoma,3279,325,258,227,206
26,Pennsylvania,20532,1163,1248,1172,906
27,South Carolina,6547,447,573,619,619
28,District of Columbia,872,19,17,14,11
29,Kansas,3587,90,73,49,33
30,Missouri,6781,171,162,141,125
31,Vermont,170,20,25,22,20
32,Virginia,6078,246,182,127,86
33,Connecticut,6819,98,67,39,22
34,Iowa,4487,124,163,164,134
35,Louisiana,8565,332,265,234,204
36,Ohio,10711,389,320,258,206
37,Michigan,15181,392,246,162,110
38,South Dakota,1705,68,61,47,37
39,Arkansas,4606,239,185,141,107
40,Delaware,1041,30,32,33,30
41,Mississippi,5772,234,203,165,135
42,New Mexico,3145,211,160,124,95
43,North Dakota,1436,26,30,24,19
44,Wyoming,571,42,48,37,29
45,Alaska,259,10,7,5,4
46,Maine,544,29,22,14,9
47,Alabama,6660,483,401,343,292
48,Idaho,1669,52,52,52,43
49,Montana,1151,60,37,30,24
50,Puerto Rico,1773,NaN,NaN,NaN,NaN
51,Virgin Islands,24,NaN,NaN,NaN,NaN
52,Guam,128,NaN,NaN,NaN,NaN
53,West Virginia,1895,108,83,62,46
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
