,State,795,801,808,815,822,829,836,843,850,857,864,871,878,885,892
0,Washington,NaN,431,432,433,433,434,434,433,433,432,431,430,428,426,424
1,Illinois,NaN,15,0,0,0,0,0,0,0,0,0,0,0,5,24
2,California,NaN,986,1626,1971,2162,2242,2245,2195,2111,2007,1891,1771,1651,1534,1423
3,Arizona,NaN,492,473,456,438,420,403,386,369,352,336,320,305,291,277
4,Massachusetts,NaN,46,44,39,38,38,39,39,39,39,39,39,39,38,37
5,Wisconsin,NaN,313,390,405,403,390,370,348,326,306,287,268,251,235,222
6,Texas,NaN,2118,1928,1764,1620,1493,1380,1279,1188,1104,1028,958,893,834,778
7,Nebraska,NaN,57,53,50,46,43,41,38,36,33,31,29,28,26,24
8,Utah,NaN,173,198,196,194,192,191,190,189,188,187,187,186,185,184
9,Oregon,NaN,321,322,324,326,327,328,328,329,329,329,328,327,326,325
10,Florida,NaN,368,498,608,681,726,752,764,767,763,754,742,727,711,694
11,New York,NaN,264,576,796,947,1048,1114,1155,1178,1189,1191,1188,1180,1169,1156
12,Rhode Island,NaN,1,0,0,0,0,0,0,0,0,3,8,11,14,16
13,Georgia,NaN,293,363,420,459,485,502,512,518,521,521,520,517,514,510
14,New Hampshire,NaN,40,38,36,34,32,30,29,27,26,25,23,22,21,20
15,North Carolina,NaN,180,307,400,464,509,540,560,574,582,587,589,589,588,586
16,New Jersey,NaN,110,242,335,397,439,465,481,490,494,494,491,487,482,476
17,Colorado,NaN,335,332,328,324,320,316,313,309,305,301,297,293,290,286
18,Maryland,NaN,66,136,184,217,238,251,259,262,263,262,260,257,253,249
19,Nevada,NaN,256,254,253,251,249,247,245,243,241,239,237,236,234,232
20,Tennessee,NaN,573,569,565,561,557,553,550,546,542,538,535,531,528,524
21,Hawaii,NaN,125,123,122,119,117,114,111,108,105,102,98,95,91,88
22,Indiana,NaN,9,0,0,0,0,0,0,25,68,98,119,133,143,149
23,Kentucky,NaN,508,505,501,497,494,490,486,482,478,474,470,466,462,458
24,Minnesota,NaN,101,187,249,293,323,345,360,370,377,382,385,387,389,390
25,Oklahoma,NaN,372,363,355,347,339,331,323,315,308,300,293,285,278,271
26,Pennsylvania,NaN,401,742,948,1075,1148,1182,1190,1180,1159,1129,1095,1058,1020,981
27,South Carolina,NaN,430,427,423,419,415,411,406,402,397,393,388,383,378,374
28,District of Columbia,NaN,0,0,0,0,0,0,0,0,0,2,4,6,7,7
29,Kansas,NaN,316,313,310,306,303,300,296,293,290,287,284,281,277,274
30,Missouri,NaN,120,115,111,107,102,98,94,91,87,84,80,77,74,71
31,Vermont,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,Virginia,NaN,20,0,0,0,0,0,0,14,37,52,63,70,75,78
33,Connecticut,NaN,392,245,155,99,64,43,29,21,15,12,10,8,7,6
34,Iowa,NaN,240,239,237,236,234,233,231,229,228,226,225,223,222,220
35,Louisiana,NaN,115,193,253,295,325,345,359,369,375,380,382,383,384,383
36,Ohio,NaN,1336,1292,1251,1212,1175,1137,1101,1065,1030,995,962,929,897,867
37,Michigan,NaN,42,87,101,104,103,100,97,94,91,88,85,82,80,77
38,South Dakota,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Arkansas,NaN,141,179,214,237,253,264,270,274,275,276,275,274,272,270
40,Delaware,NaN,9,15,15,15,15,15,15,15,15,14,14,14,14,14
41,Mississippi,NaN,478,461,445,429,414,399,385,371,358,345,332,320,308,297
42,New Mexico,NaN,38,2,0,0,0,0,2,8,14,18,21,23,24,26
43,North Dakota,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Wyoming,NaN,54,7,1,0,0,0,0,0,0,0,0,0,0,0
45,Alaska,NaN,45,45,44,44,44,43,43,43,42,42,42,41,41,41
46,Maine,NaN,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Alabama,NaN,211,248,250,243,231,217,203,189,175,162,151,141,132,125
48,Idaho,NaN,110,109,108,106,105,104,102,101,100,98,97,96,95,93
49,Montana,NaN,20,43,59,69,76,79,82,82,82,82,81,79,78,76
50,Puerto Rico,NaN,117,110,103,97,90,84,77,72,66,61,56,51,47,43
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,0,0,0,0,0,0,0,2,3,5,5,6,6,7
53,West Virginia,NaN,295,291,287,283,279,275,271,268,264,260,256,252,248,245
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
