,State,733,738,745,752,759
0,Washington,NaN,249,255,217,141
1,Illinois,NaN,619,427,258,150
2,California,NaN,1161,1330,1232,921
3,Arizona,NaN,410,278,167,97
4,Massachusetts,NaN,367,241,144,85
5,Wisconsin,NaN,199,194,165,112
6,Texas,NaN,1028,976,758,482
7,Nebraska,NaN,66,66,62,51
8,Utah,NaN,90,84,65,42
9,Oregon,NaN,110,132,128,107
10,Florida,NaN,1215,1434,1110,705
11,New York,NaN,1041,691,412,238
12,Rhode Island,NaN,61,42,27,18
13,Georgia,NaN,447,381,257,156
14,New Hampshire,NaN,74,69,52,34
15,North Carolina,NaN,377,371,304,195
16,New Jersey,NaN,378,264,159,94
17,Colorado,NaN,199,190,152,97
18,Maryland,NaN,304,193,114,67
19,Nevada,NaN,115,114,96,65
20,Tennessee,NaN,264,239,175,107
21,Hawaii,NaN,40,58,58,47
22,Indiana,NaN,354,227,133,78
23,Kentucky,NaN,199,194,156,102
24,Minnesota,NaN,223,191,130,80
25,Oklahoma,NaN,188,132,82,50
26,Pennsylvania,NaN,773,533,321,186
27,South Carolina,NaN,232,181,115,70
28,District of Columbia,NaN,NaN,NaN,NaN,NaN
29,Kansas,NaN,153,117,78,49
30,Missouri,NaN,338,230,139,82
31,Vermont,NaN,24,30,30,26
32,Virginia,NaN,274,297,266,189
33,Connecticut,NaN,152,123,81,50
34,Iowa,NaN,102,106,98,78
35,Louisiana,NaN,188,141,90,55
36,Ohio,NaN,381,405,354,240
37,Michigan,NaN,593,398,239,139
38,South Dakota,NaN,47,38,27,18
39,Arkansas,NaN,126,121,99,66
40,Delaware,NaN,47,31,20,14
41,Mississippi,NaN,90,97,90,74
42,New Mexico,NaN,113,81,52,33
43,North Dakota,NaN,34,31,24,17
44,Wyoming,NaN,21,24,24,21
45,Alaska,NaN,14,19,20,18
46,Maine,NaN,56,75,84,80
47,Alabama,NaN,116,170,171,147
48,Idaho,NaN,67,69,61,45
49,Montana,NaN,51,49,41,30
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,93,69,45,29
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN
