,State,599,605,612
0,Washington,NaN,199,181
1,Illinois,NaN,195,199
2,California,NaN,645,629
3,Arizona,NaN,160,145
4,Massachusetts,NaN,66,67
5,Wisconsin,NaN,95,95
6,Texas,NaN,1595,1512
7,Nebraska,NaN,1,3
8,Utah,NaN,37,41
9,Oregon,NaN,136,125
10,Florida,NaN,31,65
11,New York,NaN,246,240
12,Rhode Island,NaN,18,15
13,Georgia,NaN,558,534
14,New Hampshire,NaN,17,16
15,North Carolina,NaN,362,357
16,New Jersey,NaN,121,113
17,Colorado,NaN,87,88
18,Maryland,NaN,81,78
19,Nevada,NaN,96,81
20,Tennessee,NaN,301,312
21,Hawaii,NaN,38,36
22,Indiana,NaN,213,210
23,Kentucky,NaN,173,181
24,Minnesota,NaN,67,64
25,Oklahoma,NaN,197,183
26,Pennsylvania,NaN,201,198
27,South Carolina,NaN,341,325
28,District of Columbia,NaN,3,4
29,Kansas,NaN,119,111
30,Missouri,NaN,171,171
31,Vermont,NaN,6,6
32,Virginia,NaN,160,168
33,Connecticut,NaN,31,32
34,Iowa,NaN,45,48
35,Louisiana,NaN,287,256
36,Ohio,NaN,60,95
37,Michigan,NaN,164,166
38,South Dakota,NaN,21,24
39,Arkansas,NaN,159,146
40,Delaware,NaN,14,15
41,Mississippi,NaN,300,275
42,New Mexico,NaN,54,55
43,North Dakota,NaN,13,15
44,Wyoming,NaN,23,21
45,Alaska,NaN,14,15
46,Maine,NaN,22,21
47,Alabama,NaN,253,244
48,Idaho,NaN,73,71
49,Montana,NaN,32,34
50,Puerto Rico,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN
53,West Virginia,NaN,90,86
54,Northern Mariana Islands,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN
