,State,613,619,626,633,640
0,Washington,NaN,313,324,314,327
1,Illinois,NaN,259,251,234,221
2,California,NaN,600,520,433,358
3,Arizona,NaN,250,242,226,216
4,Massachusetts,NaN,118,127,122,112
5,Wisconsin,NaN,128,153,172,195
6,Texas,NaN,1741,1524,1280,1074
7,Nebraska,NaN,15,14,12,11
8,Utah,NaN,82,87,89,90
9,Oregon,NaN,127,118,105,94
10,Florida,NaN,1970,1750,1489,1243
11,New York,NaN,266,267,249,248
12,Rhode Island,NaN,15,13,12,10
13,Georgia,NaN,760,740,670,606
14,New Hampshire,NaN,21,23,25,27
15,North Carolina,NaN,530,535,480,450
16,New Jersey,NaN,119,111,98,86
17,Colorado,NaN,104,103,98,97
18,Maryland,NaN,109,111,110,106
19,Nevada,NaN,156,159,151,152
20,Tennessee,NaN,454,444,390,334
21,Hawaii,NaN,37,32,27,23
22,Indiana,NaN,313,301,280,260
23,Kentucky,NaN,260,266,256,245
24,Minnesota,NaN,143,186,225,264
25,Oklahoma,NaN,249,233,201,176
26,Pennsylvania,NaN,314,331,337,354
27,South Carolina,NaN,422,394,351,316
28,District of Columbia,NaN,6,6,7,7
29,Kansas,NaN,117,114,111,104
30,Missouri,NaN,188,180,162,147
31,Vermont,NaN,9,10,10,10
32,Virginia,NaN,292,337,358,388
33,Connecticut,NaN,34,32,28,27
34,Iowa,NaN,83,91,94,99
35,Louisiana,NaN,266,227,189,160
36,Ohio,NaN,330,336,315,306
37,Michigan,NaN,263,304,340,384
38,South Dakota,NaN,18,20,20,20
39,Arkansas,NaN,125,95,69,50
40,Delaware,NaN,20,20,20,20
41,Mississippi,NaN,199,166,131,108
42,New Mexico,NaN,83,88,90,91
43,North Dakota,NaN,18,20,21,22
44,Wyoming,NaN,34,34,35,32
45,Alaska,NaN,98,178,215,191
46,Maine,NaN,31,34,35,37
47,Alabama,NaN,520,496,446,395
48,Idaho,NaN,164,186,182,181
49,Montana,NaN,86,118,146,196
50,Puerto Rico,NaN,44,33,24,18
51,Virgin Islands,NaN,3,2,2,2
52,Guam,NaN,11,10,8,7
53,West Virginia,NaN,183,175,151,128
54,Northern Mariana Islands,NaN,0,0,0,0
55,American Samoa,NaN,0,0,0,0
