,State,446,451,458,465,472
0,Washington,5329,77,83,93,99
1,Illinois,23809,227,296,374,457
2,California,60495,741,596,564,518
3,Arizona,17086,83,70,69,74
4,Massachusetts,17406,212,224,213,201
5,Wisconsin,7383,56,65,75,91
6,Texas,49231,556,655,739,847
7,Nebraska,2221,27,35,41,48
8,Utah,2159,30,30,29,29
9,Oregon,2441,45,45,46,60
10,Florida,34056,490,549,606,653
11,New York,51204,661,675,688,685
12,Rhode Island,2638,26,36,45,52
13,Georgia,19523,240,240,245,275
14,New Hampshire,1257,25,29,30,30
15,North Carolina,12290,170,175,169,194
16,New Jersey,24896,331,374,396,399
17,Colorado,6157,76,93,107,118
18,Maryland,8470,127,135,137,132
19,Nevada,5332,38,39,43,52
20,Tennessee,12015,148,167,176,214
21,Hawaii,471,12,12,12,12
22,Indiana,13151,121,160,209,255
23,Kentucky,6257,219,222,166,152
24,Minnesota,7037,126,132,131,127
25,Oklahoma,6669,196,196,196,196
26,Pennsylvania,25397,452,573,695,764
27,South Carolina,9276,114,103,96,84
28,District of Columbia,1084,NaN,NaN,NaN,NaN
29,Kansas,4887,32,46,56,68
30,Missouri,8887,116,126,141,160
31,Vermont,233,6,8,8,8
32,Virginia,10486,191,203,201,196
33,Connecticut,7957,NaN,NaN,NaN,NaN
34,Iowa,5857,93,99,108,120
35,Louisiana,10241,79,98,117,137
36,Ohio,18917,NaN,NaN,NaN,NaN
37,Michigan,17576,386,500,621,735
38,South Dakota,1947,15,21,27,35
39,Arkansas,5665,47,71,94,121
40,Delaware,1581,27,27,23,21
41,Mississippi,7096,42,54,68,83
42,New Mexico,3979,35,37,43,49
43,North Dakota,1502,17,23,27,32
44,Wyoming,701,5,5,7,8
45,Alaska,314,6,6,7,8
46,Maine,751,23,26,27,28
47,Alabama,10712,58,52,0,4
48,Idaho,1996,24,29,35,41
49,Montana,1524,33,32,37,41
50,Puerto Rico,2162,NaN,NaN,NaN,NaN
51,Virgin Islands,26,NaN,NaN,NaN,NaN
52,Guam,136,NaN,NaN,NaN,NaN
53,West Virginia,2745,65,63,63,62
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
