,State,249,255,262,269,276,283,290,297,304,311,318,325,332,339,346
0,Washington,2100,65,64,83,78,80,80,80,80,80,80,80,80,80,80
1,Illinois,8832,154,164,191,242,304,380,474,587,721,879,1059,1259,1474,1693
2,California,15583,650,661,659,651,640,629,618,606,594,581,568,555,542,528
3,Arizona,5622,205,295,231,243,229,224,217,210,203,197,190,184,178,172
4,Massachusetts,9391,117,135,162,210,270,346,443,567,722,915,1154,1447,1798,2211
5,Wisconsin,1281,63,91,112,131,150,172,195,220,245,270,294,315,334,349
6,Texas,15707,829,966,906,928,1006,928,1020,1008,998,1071,1025,1075,1091,1073
7,Nebraska,469,25,28,30,31,32,32,33,34,35,35,36,36,37,37
8,Utah,448,12,18,24,35,48,66,92,126,172,232,307,397,498,602
9,Oregon,542,18,22,29,38,49,64,83,107,138,177,226,286,360,448
10,Florida,14022,956,997,949,932,905,880,855,830,805,781,757,733,709,686
11,New York,33125,52,56,61,68,74,81,89,98,107,118,129,141,154,169
12,Rhode Island,1107,24,32,29,29,27,27,26,25,24,23,22,21,21,20
13,Georgia,6914,261,245,205,185,162,142,125,110,97,85,74,65,57,50
14,New Hampshire,439,2,2,1,1,1,1,1,1,1,1,1,1,1,1
15,North Carolina,3440,155,172,322,689,1457,3018,5997,10985,17410,22073,21114,15239,8817,4437
16,New Jersey,16103,48,55,67,86,109,138,175,222,280,352,441,549,679,832
17,Colorado,2040,40,63,73,75,77,79,80,82,83,85,86,87,88,89
18,Maryland,3925,54,51,45,45,45,45,44,44,44,44,43,43,42,42
19,Nevada,1582,40,46,65,99,152,231,349,520,759,1078,1470,1900,2289,2535
20,Tennessee,2374,148,161,149,155,151,150,150,148,147,146,144,143,141,140
21,Hawaii,131,12,10,10,11,11,10,10,10,10,10,10,10,10,10
22,Indiana,3577,70,67,73,92,115,144,178,220,271,331,400,480,568,663
23,Kentucky,1154,59,65,75,88,104,121,142,165,192,222,255,293,334,379
24,Minnesota,2056,43,60,73,89,109,131,158,190,226,268,314,366,420,477
25,Oklahoma,1004,65,79,84,88,92,96,100,103,106,109,111,113,114,114
26,Pennsylvania,8083,145,147,152,156,162,168,174,179,185,191,197,203,210,216
27,South Carolina,3323,169,158,167,158,163,160,159,159,157,156,155,153,151,150
28,District of Columbia,624,5,5,5,5,5,5,5,5,5,5,5,5,5,4
29,Kansas,635,33,40,46,53,62,71,82,94,108,123,140,158,177,198
30,Missouri,2054,316,331,354,383,413,444,476,510,544,579,614,650,685,719
31,Vermont,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Virginia,3142,154,144,129,122,114,107,99,91,84,77,71,64,58,53
33,Connecticut,4501,18,15,12,11,11,11,10,10,9,9,9,8,8,8
34,Iowa,1314,44,49,65,92,129,178,243,327,428,545,666,776,855,885
35,Louisiana,5444,85,73,65,61,58,55,52,49,47,44,42,40,37,35
36,Ohio,4740,143,134,133,132,132,131,130,129,128,127,126,125,124,123
37,Michigan,7044,77,74,84,80,81,80,79,79,78,77,76,75,74,73
38,South Dakota,218,17,22,33,52,80,122,180,255,339,415,459,453,400,319
39,Arkansas,1285,121,136,147,172,200,231,266,304,344,386,429,470,509,544
40,Delaware,633,8,7,7,7,6,6,6,6,6,5,5,5,5,5
41,Mississippi,2911,81,88,105,123,148,175,208,247,291,342,401,468,543,627
42,New Mexico,870,28,35,56,98,169,290,493,827,1354,2133,3163,4287,5153,5358
43,North Dakota,227,53,64,77,93,112,134,160,189,222,258,296,336,375,413
44,Wyoming,50,0,0,1,1,1,2,3,4,5,7,10,14,18,22
45,Alaska,52,4,4,5,6,8,10,13,16,20,26,32,39,47,55
46,Maine,140,2,3,3,2,2,2,2,2,1,1,1,1,1,1
47,Alabama,2501,102,104,130,159,197,241,295,360,436,525,627,743,869,1004
48,Idaho,460,21,28,39,54,75,103,141,191,256,338,437,549,666,775
49,Montana,171,16,26,39,59,89,134,200,293,422,590,793,1008,1195,1306
50,Puerto Rico,642,43,68,75,79,83,87,91,95,99,103,106,109,112,114
51,"Virgin Islands, U.S.",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Guam,39,6,5,5,5,4,4,4,4,4,4,4,3,3,3
53,West Virginia,337,32,36,36,39,42,44,47,50,53,57,60,63,67,71
54,Northern Mariana Islands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
