,State,262,269,276,283,290
0,Washington,2168,46,52,46,47
1,Illinois,9221,208,229,213,195
2,California,16567,579,567,522,471
3,Arizona,5759,93,78,65,65
4,Massachusetts,9587,152,192,177,165
5,Wisconsin,1568,115,135,125,115
6,Texas,17208,671,663,587,542
7,Nebraska,519,28,40,37,35
8,Utah,510,28,36,38,32
9,Oregon,599,26,29,25,26
10,Florida,15186,684,652,615,528
11,New York,33466,67,89,82,76
12,Rhode Island,1148,12,13,11,12
13,Georgia,7393,193,164,146,129
14,New Hampshire,455,2,5,4,7
15,North Carolina,3765,225,230,209,190
16,New Jersey,16171,50,66,58,57
17,Colorado,2112,31,36,34,32
18,Maryland,3995,34,34,30,29
19,Nevada,1659,53,64,54,56
20,Tennessee,2758,199,194,181,161
21,Hawaii,168,15,21,19,19
22,Indiana,3831,108,117,104,99
23,Kentucky,1249,66,77,68,67
24,Minnesota,2184,80,80,70,70
25,Oklahoma,1095,64,69,64,59
26,Pennsylvania,8324,114,114,109,94
27,South Carolina,3551,128,116,108,99
28,District of Columbia,636,4,5,4,5
29,Kansas,773,57,58,53,51
30,Missouri,2436,156,145,131,122
31,Vermont,58,-2,0,-1,2
32,Virginia,3354,113,100,91,84
33,Connecticut,4530,12,13,12,12
34,Iowa,1459,69,76,67,67
35,Louisiana,5635,86,80,73,67
36,Ohio,4623,145,162,149,136
37,Michigan,7219,87,91,80,79
38,South Dakota,286,40,53,52,47
39,Arkansas,1552,147,141,125,119
40,Delaware,671,8,10,8,10
41,Mississippi,3096,115,120,107,103
42,New Mexico,907,30,41,35,38
43,North Dakota,336,54,61,56,54
44,Wyoming,54,0,2,3,4
45,Alaska,60,4,6,5,8
46,Maine,143,0,2,1,3
47,Alabama,2664,63,66,60,56
48,Idaho,507,26,35,30,32
49,Montana,209,28,37,32,35
50,Puerto Rico,728,64,73,74,66
51,Virgin Islands,20,NaN,NaN,NaN,NaN
52,Guam,58,1,2,2,4
53,West Virginia,387,27,28,25,26
54,Northern Mariana Islands,2,-2,0,-1,2
55,American Samoa,0,-2,0,-1,2
