,State,613,619,626,633,640,647,654,661
0,Washington,7494,289,278,265,240,219,200,183
1,Illinois,27216,231,214,190,168,148,130,115
2,California,68608,585,464,408,345,297,262,239
3,Arizona,19812,270,240,232,221,207,197,184
4,Massachusetts,18541,103,106,99,97,99,105,115
5,Wisconsin,8794,113,150,173,193,211,222,223
6,Texas,64074,1943,1812,1544,1271,1069,936,870
7,Nebraska,2405,25,22,20,19,17,16,15
8,Utah,2869,71,73,66,58,53,48,43
9,Oregon,3682,119,114,103,93,83,74,66
10,Florida,53580,1924,1473,1101,841,615,455,334
11,New York,55188,262,269,272,272,273,274,276
12,Rhode Island,2823,14,17,17,16,16,16,16
13,Georgia,25478,812,655,528,436,337,253,186
14,New Hampshire,1472,19,23,23,24,23,23,23
15,North Carolina,16108,497,477,401,332,264,203,151
16,New Jersey,27328,141,145,146,142,137,133,130
17,Colorado,7472,105,106,100,94,91,89,88
18,Maryland,10384,106,113,118,120,124,130,137
19,Nevada,7015,150,145,138,118,102,86,72
20,Tennessee,14817,509,484,379,267,186,126,82
21,Hawaii,757,34,27,21,17,13,11,9
22,Indiana,15377,274,248,211,177,148,122,98
23,Kentucky,8492,229,213,189,163,136,112,90
24,Minnesota,8169,93,106,124,129,133,135,136
25,Oklahoma,8715,251,223,195,169,142,119,98
26,Pennsylvania,29131,323,354,353,362,399,446,484
27,South Carolina,12080,457,413,325,241,174,123,84
28,District of Columbia,1172,3,3,4,3,3,4,5
29,Kansas,5985,109,98,81,65,52,40,30
30,Missouri,11820,220,203,191,170,152,133,115
31,Vermont,310,10,12,12,13,16,21,29
32,Virginia,12511,268,272,269,252,234,219,207
33,Connecticut,8501,35,37,35,26,20,16,14
34,Iowa,6483,81,92,101,95,90,85,79
35,Louisiana,13741,197,157,123,93,69,50,35
36,Ohio,21820,275,260,255,232,204,178,151
37,Michigan,22214,234,269,308,324,338,356,369
38,South Dakota,2126,25,26,26,23,21,20,19
39,Arkansas,7590,136,118,98,81,66,53,42
40,Delaware,1942,22,23,24,24,24,24,24
41,Mississippi,9425,191,164,131,101,77,58,43
42,New Mexico,4749,64,57,54,48,43,40,38
43,North Dakota,1638,22,24,26,28,28,28,27
44,Wyoming,955,36,37,41,42,41,38,32
45,Alaska,532,13,16,20,25,29,32,35
46,Maine,1013,27,33,34,36,40,47,58
47,Alabama,14022,591,451,385,333,271,216,168
48,Idaho,2753,175,199,205,205,194,178,158
49,Montana,1945,64,75,90,95,98,98,95
50,Puerto Rico,3132,39,29,23,17,13,11,9
51,Virgin Islands,69,2,2,2,2,1,1,1
52,Guam,184,9,9,7,6,4,3,2
53,West Virginia,3523,180,188,175,159,139,118,97
54,Northern Mariana Islands,2,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0
