,County,299,304,311,318,325
0,01001,2481,172,174,168,175
1,01003,7696,398,400,409,391
2,01005,1130,32,31,29,30
3,01007,993,54,55,54,56
4,01009,2574,229,232,232,232
5,01011,677,12,12,11,8
6,01013,1095,29,27,26,21
7,01015,5666,327,317,323,317
8,01017,1572,68,64,55,73
9,01019,912,63,62,68,62
10,01021,2084,67,65,63,61
11,01023,411,4,3,4,3
12,01025,1503,56,55,49,42
13,01027,850,31,33,33,33
14,01029,678,36,32,26,29
15,01031,2180,173,172,185,174
16,01033,2757,257,257,257,257
17,01035,647,36,35,35,35
18,01037,270,27,31,25,32
19,01039,2043,75,67,70,61
20,01041,677,30,30,30,28
21,01043,3744,509,511,525,511
22,01045,2185,131,131,130,130
23,01047,2066,69,68,71,73
24,01049,4226,256,272,270,282
25,01051,3686,169,187,186,186
26,01053,1882,46,46,46,40
27,01055,5382,439,438,437,448
28,01057,749,69,69,69,69
29,01059,2344,75,63,69,70
30,01061,1114,67,64,63,55
31,01063,377,13,14,15,13
32,01065,876,28,30,35,36
33,01067,816,34,34,30,23
34,01069,4791,235,241,241,241
35,01071,2728,212,212,221,223
36,01073,28140,1952,1952,1983,2158
37,01075,584,28,28,28,23
38,01077,3360,320,347,262,313
39,01079,1080,72,76,76,75
40,01081,7240,297,287,311,297
41,01083,3689,297,299,304,295
42,01085,763,12,11,12,10
43,01087,655,44,48,50,51
44,01089,11438,874,950,1024,1117
45,01091,1134,36,33,30,27
46,01093,1284,73,76,73,64
47,01095,5355,431,434,431,454
48,01097,18565,695,674,650,703
49,01099,732,31,31,31,31
50,01101,11644,446,420,448,448
51,01103,5466,491,515,513,514
52,01105,641,16,15,13,14
53,01107,1077,52,76,76,36
54,01109,1502,60,60,62,62
55,01111,954,44,42,41,45
56,01113,2084,35,36,28,26
57,01115,3750,256,262,262,207
58,01117,9086,720,761,907,815
59,01119,536,21,21,21,21
60,01121,3180,166,153,160,146
61,01123,1611,111,112,122,123
62,01125,11886,556,602,620,562
63,01127,3307,149,149,141,135
64,01129,877,57,43,59,42
65,01131,607,15,14,10,10
66,01133,1143,80,83,81,71
67,02013,22,1,1,1,1
68,02016,105,2,2,2,2
69,02020,12772,2235,2449,2648,2943
70,02050,957,240,245,231,246
71,02060,0,0,0,0,0
72,02068,38,2,3,3,3
73,02070,81,10,13,13,14
74,02090,2909,316,316,307,310
75,02100,16,1,1,1,1
76,02105,0,0,0,0,0
77,02110,755,85,79,113,79
78,02122,1789,381,470,483,435
79,02130,181,47,48,48,49
80,02150,172,20,21,18,21
81,02158,357,23,20,18,16
82,02164,133,7,7,7,8
83,02170,2359,370,331,364,352
84,02180,168,11,10,10,10
85,02185,380,56,63,62,53
86,02188,310,18,18,18,15
87,02195,23,1,1,1,2
88,02198,46,6,6,6,6
89,02220,133,29,30,23,22
90,02230,7,0,0,0,0
91,02240,164,51,49,51,51
92,02261,217,23,26,28,29
93,02275,20,0,0,0,0
94,02282,41,2,2,2,2
95,02290,138,7,6,3,2
96,04001,4393,237,237,229,237
97,04003,2704,298,298,298,298
98,04005,6383,476,476,478,491
99,04007,2366,172,174,178,177
100,04009,1704,229,246,252,240
101,04011,129,11,13,18,16
102,04012,684,37,36,37,30
103,04013,176993,9869,11446,9645,10427
104,04015,5105,330,343,369,416
105,04017,7159,306,320,320,318
106,04019,33087,2554,2716,2591,2862
107,04021,13730,769,801,810,811
108,04023,3316,150,142,152,145
109,04025,3637,322,354,383,410
110,04027,15522,859,859,957,898
111,05001,845,57,61,62,61
112,05003,691,53,56,58,55
113,05005,1107,167,172,171,161
114,05007,10442,901,899,834,910
115,05009,1389,156,165,159,159
116,05011,398,10,11,11,10
117,05013,110,29,29,29,29
118,05015,1179,69,73,72,69
119,05017,1101,22,24,27,20
120,05019,687,83,87,83,83
121,05021,691,68,76,84,71
122,05023,599,49,53,53,49
123,05025,306,14,17,16,16
124,05027,878,61,66,67,67
125,05029,512,96,106,112,112
126,05031,6060,478,480,480,493
127,05033,2677,264,256,258,279
128,05035,2907,183,186,187,180
129,05037,685,33,32,33,25
130,05039,236,31,31,31,31
131,05041,483,20,20,20,20
132,05043,523,36,36,39,39
133,05045,4122,358,369,386,382
134,05047,668,35,33,35,33
135,05049,444,45,47,44,43
136,05051,3220,357,356,379,382
137,05053,468,47,49,47,46
138,05055,2228,275,279,275,282
139,05057,726,54,54,54,54
140,05059,2611,168,176,185,179
141,05061,721,39,39,39,38
142,05063,1860,210,209,223,229
143,05065,913,66,72,61,53
144,05067,1268,139,166,191,209
145,05069,4791,222,235,229,223
146,05071,1151,46,45,44,44
147,05073,231,7,8,9,8
148,05075,1025,65,63,64,49
149,05077,1136,16,18,18,14
150,05079,2367,8,9,10,10
151,05081,563,33,40,40,40
152,05083,757,94,89,101,90
153,05085,2291,216,228,221,220
154,05087,529,52,55,57,56
155,05089,314,60,60,56,57
156,05091,1907,111,114,114,112
157,05093,2841,205,204,205,205
158,05095,269,15,14,14,12
159,05097,219,17,23,17,17
160,05099,390,26,28,27,24
161,05101,376,27,28,28,29
162,05103,507,56,63,66,56
163,05105,201,21,22,23,22
164,05107,840,26,27,27,22
165,05109,320,28,28,30,28
166,05111,1475,123,124,124,120
167,05113,584,124,139,145,151
168,05115,3247,189,208,181,179
169,05117,319,40,41,42,43
170,05119,14527,1130,1214,1368,1452
171,05121,845,76,77,76,76
172,05123,1920,64,67,69,65
173,05125,3890,470,469,567,608
174,05127,301,36,34,36,37
175,05129,257,26,23,28,28
176,05131,6179,604,663,695,688
177,05133,1586,67,66,64,63
178,05135,544,81,89,87,89
179,05137,430,13,11,13,13
180,05139,1347,76,81,81,81
181,05141,273,21,29,22,28
182,05143,13639,928,980,980,1134
183,05145,2349,379,393,470,506
184,05147,170,14,14,13,8
185,05149,1507,89,93,92,94
186,06001,26047,1137,1243,1322,1327
187,06003,30,5,5,5,4
188,06005,409,31,28,28,30
189,06007,3452,149,156,192,182
190,06009,390,15,17,19,21
191,06011,601,18,18,18,14
192,06013,21250,1083,1141,1216,1304
193,06015,224,14,14,11,8
194,06017,1683,157,152,151,153
195,06019,34297,1373,1415,1415,1415
196,06021,783,39,46,54,48
197,06023,687,42,48,53,53
198,06025,14135,448,438,438,391
199,06027,263,12,8,10,13
200,06029,36618,1437,1546,1813,1893
201,06031,9533,540,515,565,563
202,06033,777,28,28,30,29
203,06035,1135,204,259,238,183
204,06037,342343,16572,17339,19932,22046
205,06039,5514,169,172,165,155
206,06041,7378,122,111,118,122
207,06043,91,3,4,4,5
208,06045,1307,53,53,53,53
209,06047,10374,379,364,345,333
210,06049,93,18,14,19,19
211,06051,484,87,87,94,101
212,06053,13034,590,587,590,665
213,06055,2509,252,281,309,333
214,06057,859,126,127,115,123
215,06059,65605,2855,2986,3118,3202
216,06061,5397,459,488,507,521
217,06063,143,37,38,37,37
218,06065,75848,3523,3484,3501,3702
219,06067,30601,2307,2844,3120,2728
220,06069,1620,89,86,89,102
221,06071,74929,5651,5506,5843,6114
222,06073,65601,4025,4051,4086,4238
223,06075,13757,723,669,864,725
224,06077,23517,863,879,882,881
225,06079,5120,432,471,466,474
226,06081,12565,655,655,689,655
227,06083,10516,287,287,279,286
228,06085,28686,1840,1840,1843,1905
229,06087,3439,282,282,317,320
230,06089,3298,490,526,592,649
231,06091,11,3,4,3,3
232,06093,372,67,79,78,80
233,06095,8959,543,579,584,582
234,06097,11055,478,457,443,429
235,06099,19397,875,776,780,805
236,06101,2230,145,147,160,166
237,06103,1222,130,143,126,136
238,06105,68,20,25,25,21
239,06107,18896,562,567,584,580
240,06109,562,126,137,153,152
241,06111,16564,965,956,1281,1364
242,06113,3863,325,370,405,318
243,06115,1549,95,95,94,95
244,08001,22905,4143,4710,3895,4325
245,08003,460,63,69,66,65
246,08005,20549,3793,4151,4203,3465
247,08007,101,21,21,22,21
248,08009,43,1,1,2,1
249,08011,34,9,10,9,11
250,08013,8583,1674,1863,2014,2302
251,08014,1553,250,269,273,274
252,08015,506,34,28,36,28
253,08017,27,10,10,10,11
254,08019,144,33,34,38,37
255,08021,130,20,19,18,14
256,08023,60,12,12,12,12
257,08025,688,304,292,287,69
258,08027,50,12,15,17,18
259,08029,361,83,82,92,100
260,08031,28201,4447,4662,4504,4351
261,08033,3,0,0,0,0
262,08035,7382,1597,1676,1926,2134
263,08037,1894,196,194,194,228
264,08039,406,95,112,89,84
265,08041,18693,4395,4999,5458,5991
266,08043,1554,416,422,429,447
267,08045,1632,172,165,168,167
268,08047,63,19,20,21,23
269,08049,220,40,38,40,38
270,08051,422,60,59,60,49
271,08053,5,1,1,1,1
272,08055,89,33,32,32,35
273,08057,13,2,2,2,2
274,08059,14876,2979,3275,3225,3226
275,08061,16,8,8,7,6
276,08063,237,40,37,33,36
277,08065,199,22,23,22,22
278,08067,644,167,184,180,248
279,08069,7115,1592,1857,2235,2340
280,08071,116,18,18,18,12
281,08073,88,32,27,28,32
282,08075,1747,202,205,204,197
283,08077,3750,1285,1460,1531,1540
284,08079,21,0,0,0,0
285,08081,137,29,28,28,28
