,County,410,416,423,430,437
0,01001,6347,75,94,93,96
1,01003,19935,221,291,299,312
2,01005,2139,24,29,27,26
3,01007,2465,23,29,29,30
4,01009,6256,67,86,88,91
5,01011,1177,11,15,15,15
6,01013,2016,23,29,29,29
7,01015,13963,193,224,216,218
8,01017,3434,41,54,53,53
9,01019,1782,17,23,24,25
10,01021,3922,46,56,54,53
11,01023,561,6,8,7,7
12,01025,3445,33,42,42,41
13,01027,1462,16,19,18,18
14,01029,1403,15,20,20,20
15,01031,5261,47,60,58,58
16,01033,6010,52,72,78,84
17,01035,1072,9,12,11,11
18,01037,903,14,17,15,15
19,01039,3999,42,52,51,52
20,01041,1469,15,19,18,18
21,01043,9000,82,111,117,125
22,01045,4685,46,55,51,50
23,01047,3428,36,46,46,46
24,01049,8509,80,111,116,121
25,01051,9515,111,138,136,138
26,01053,3795,36,44,40,39
27,01055,13419,137,181,188,198
28,01057,2028,19,25,25,25
29,01059,4008,37,53,58,61
30,01061,2406,22,27,26,26
31,01063,889,10,13,12,12
32,01065,2129,22,28,28,28
33,01067,1837,17,21,21,21
34,01069,10130,96,126,131,138
35,01071,6552,61,85,90,95
36,01073,72033,777,998,1012,1057
37,01075,1339,12,15,15,16
38,01077,8630,74,105,115,124
39,01079,2862,29,40,42,44
40,01081,15083,177,235,232,231
41,01083,9440,101,134,138,144
42,01085,1331,16,21,21,21
43,01087,1478,17,21,20,20
44,01089,32708,363,485,496,514
45,01091,2453,29,37,35,34
46,01093,2889,33,44,44,46
47,01095,11460,125,167,171,177
48,01097,36423,448,581,564,566
49,01099,1667,13,17,17,17
50,01101,22805,266,351,350,355
51,01103,13801,128,173,183,196
52,01105,1064,10,12,11,11
53,01107,2263,20,25,25,25
54,01109,2931,28,36,36,37
55,01111,1654,18,23,22,22
56,01113,4081,45,55,50,48
57,01115,9057,102,128,127,131
58,01117,22276,261,325,318,323
59,01119,1010,11,14,14,14
60,01121,7647,89,110,107,108
61,01123,3637,52,67,65,64
62,01125,24457,276,352,347,352
63,01127,6601,66,88,90,93
64,01129,1571,14,17,16,16
65,01131,1231,13,17,16,16
66,01133,2586,23,31,33,36
67,02013,363,6,9,8,8
68,02016,628,19,17,14,13
69,02020,26933,217,287,307,337
70,02050,3590,36,50,51,53
71,02060,0,,,,NaN
72,02068,75,0,0,0,0
73,02070,208,2,3,3,3
74,02090,6323,64,84,85,88
75,02100,28,0,0,0,0
76,02105,0,,,,NaN
77,02110,1262,13,16,16,16
78,02122,4043,28,38,41,45
79,02130,376,5,6,5,5
80,02150,1058,10,13,13,14
81,02158,1213,,,,NaN
82,02164,177,,,,NaN
83,02170,8869,119,136,127,130
84,02180,329,2,3,3,4
85,02185,1017,8,11,12,13
86,02188,588,5,7,7,8
87,02195,139,8,5,2,2
88,02198,81,0,0,0,0
89,02220,322,3,4,4,4
90,02230,20,0,0,0,0
91,02240,493,3,4,4,5
92,02261,458,4,5,5,4
93,02275,31,0,0,0,0
94,02282,69,,,,NaN
95,02290,335,5,6,5,5
96,04001,10666,137,181,185,192
97,04003,11330,114,148,153,163
98,04005,16768,198,263,273,286
99,04007,6418,60,81,85,89
100,04009,5319,39,54,59,66
101,04011,561,4,6,6,6
102,04012,2420,22,31,33,37
103,04013,516216,4390,6281,7138,8251
104,04015,21406,220,297,316,341
105,04017,15748,191,266,277,287
106,04019,110487,1101,1556,1654,1759
107,04021,46879,551,715,726,757
108,04023,7656,59,89,99,109
109,04025,18016,173,228,240,261
110,04027,36564,222,364,433,494
111,05001,2005,24,29,28,28
112,05003,1849,20,26,25,25
113,05005,2911,30,37,38,41
114,05007,27508,268,350,368,393
115,05009,3672,37,48,49,52
116,05011,1325,11,15,16,17
117,05013,401,5,6,6,6
118,05015,2728,19,27,29,33
119,05017,1592,13,18,18,17
120,05019,2057,25,33,32,33
121,05021,1701,14,18,18,19
122,05023,1895,18,25,26,27
123,05025,928,11,14,14,14
124,05027,2282,30,38,37,37
