,County,417,423,430,437,444
0,01001,6426,30,16,9,6
1,01003,20103,133,103,80,62
2,01005,2184,35,27,22,18
3,01007,2481,17,9,4,2
4,01009,6291,34,19,11,7
5,01011,1185,9,4,2,1
6,01013,2041,10,7,5,3
7,01015,14064,109,56,30,16
8,01017,3442,10,7,5,4
9,01019,1788,11,14,15,15
10,01021,3957,47,34,26,21
11,01023,575,14,15,16,18
12,01025,3464,17,8,4,2
13,01027,1469,8,4,2,1
14,01029,1412,8,7,5,4
15,01031,5290,9,8,7,5
16,01033,6035,26,14,8,4
17,01035,1076,5,5,4,4
18,01037,912,11,11,10,9
19,01039,4015,27,15,8,5
20,01041,1484,3,2,2,1
21,01043,9068,39,22,13,8
22,01045,4702,10,13,13,11
23,01047,3442,12,16,16,15
24,01049,8580,96,46,22,11
25,01051,9644,54,29,16,9
26,01053,3807,3,4,4,4
27,01055,13496,61,31,16,8
28,01057,2033,4,2,1,1
29,01059,4048,11,5,2,1
30,01061,2418,12,11,10,8
31,01063,887,0,0,0,0
32,01065,2136,14,6,3,1
33,01067,1844,9,5,3,2
34,01069,10200,56,43,34,26
35,01071,6578,15,8,4,2
36,01073,72740,559,334,210,138
37,01075,1352,9,6,4,3
38,01077,8692,69,51,40,32
39,01079,2872,8,13,14,13
40,01081,15147,83,67,54,43
41,01083,9486,41,30,22,16
42,01085,1342,3,1,0,0
43,01087,1489,17,18,17,16
44,01089,32922,260,231,198,167
45,01091,2470,16,8,4,2
46,01093,2948,23,15,10,7
47,01095,11514,75,37,18,10
48,01097,36717,380,335,291,251
49,01099,1676,6,9,10,9
50,01101,23013,137,89,60,42
51,01103,13877,53,28,16,10
52,01105,1071,0,0,0,0
53,01107,2272,8,4,2,1
54,01109,2949,11,13,13,12
55,01111,1677,25,23,21,20
56,01113,4135,79,70,64,59
57,01115,9133,37,26,19,13
58,01117,22519,193,109,65,40
59,01119,1016,3,6,6,6
60,01121,7715,68,51,40,31
61,01123,3670,14,18,18,16
62,01125,24560,73,41,24,15
63,01127,6689,49,27,15,9
64,01129,1583,11,8,6,4
65,01131,1246,8,4,2,1
66,01133,2604,8,4,2,1
67,02013,363,1,2,2,1
68,02016,643,4,4,4,3
69,02020,27292,97,107,99,87
70,02050,3642,8,4,2,1
71,02060,0,9,0,0,0
72,02068,76,1,2,2,3
73,02070,208,2,5,6,7
74,02090,6415,47,78,87,90
75,02100,28,0,0,1,1
76,02105,0,0,0,0,0
77,02110,1270,10,22,27,32
78,02122,4065,15,23,25,26
79,02130,376,8,18,23,28
80,02150,1059,3,4,5,5
81,02158,1217,1,0,0,0
82,02164,177,0,0,0,0
83,02170,9182,110,109,98,84
84,02180,330,2,5,6,8
85,02185,1022,1,1,1,0
86,02188,593,1,3,3,3
87,02195,147,6,11,12,13
88,02198,83,1,3,4,6
89,02220,325,3,6,8,9
90,02230,20,0,0,1,1
91,02240,515,11,10,9,9
92,02261,458,2,4,5,6
93,02275,32,1,1,2,3
94,02282,69,0,0,0,0
95,02290,342,7,8,8,8
96,04001,10721,42,20,10,5
97,04003,11412,70,74,68,59
98,04005,16875,107,56,31,18
99,04007,6454,31,16,9,5
100,04009,5329,5,4,3,2
101,04011,562,3,6,7,8
102,04012,2418,1,1,1,1
103,04013,520487,1498,1054,718,480
104,04015,21637,171,101,62,39
105,04017,15564,62,29,14,7
106,04019,111207,505,372,270,195
107,04021,47678,710,353,180,95
108,04023,7687,33,15,7,3
109,04025,18122,189,199,188,171
110,04027,36590,51,25,12,6
111,05001,2007,4,3,2,1
112,05003,1863,16,14,12,10
113,05005,2980,75,63,56,51
114,05007,27755,246,133,76,45
115,05009,3698,52,31,19,13
116,05011,1330,3,2,1,0
117,05013,404,2,3,4,4
118,05015,2736,17,11,8,5
119,05017,1601,8,3,1,0
120,05019,2062,9,10,9,8
121,05021,1706,7,4,2,1
122,05023,1912,16,18,18,17
123,05025,936,1,1,1,1
124,05027,2291,11,11,10,9
125,05029,2167,8,6,4,3
126,05031,12974,56,29,15,9
127,05033,6888,32,19,12,8
128,05035,5810,16,9,5,3
129,05037,1909,17,8,4,2
130,05039,749,4,3,2,1
131,05041,1349,9,5,3,1
132,05043,1965,11,6,4,2
133,05045,12013,130,91,66,49
134,05047,1660,13,10,8,7
135,05049,1093,10,7,5,4
136,05051,9933,72,54,40,30
137,05053,1615,14,13,12,10
138,05055,5955,23,11,6,3
139,05057,1946,17,17,15,13
