,County,368,374,381,388,395
0,01001,5376,163,141,130,124
1,01003,17256,786,668,618,578
2,01005,1827,83,61,55,52
3,01007,2223,54,54,49,48
4,01009,5473,128,115,104,100
5,01011,1035,29,26,24,22
6,01013,1744,48,33,29,25
7,01015,11521,329,301,279,259
8,01017,3042,136,128,122,117
9,01019,1657,47,41,39,37
10,01021,3454,79,64,63,58
11,01023,519,6,6,6,6
12,01025,3002,140,123,120,114
13,01027,1305,35,27,25,24
14,01029,1218,35,31,30,28
15,01031,4624,163,144,133,129
16,01033,5499,130,114,103,98
17,01035,979,24,24,23,22
18,01037,636,21,18,17,16
19,01039,3396,95,78,72,66
20,01041,1240,41,37,35,34
21,01043,8274,188,160,149,149
22,01045,4107,125,112,105,100
23,01047,3132,72,65,60,58
24,01049,7894,171,145,136,128
25,01051,8214,273,238,215,204
26,01053,3354,130,119,111,106
27,01055,12107,310,263,242,232
28,01057,1786,73,67,65,61
29,01059,3749,68,58,53,51
30,01061,2115,82,69,65,62
31,01063,779,13,13,13,11
32,01065,1852,59,53,49,46
33,01067,1599,48,43,39,36
34,01069,9009,292,257,231,226
35,01071,6015,153,129,121,110
36,01073,64681,1981,1679,1544,1513
37,01075,1202,21,17,16,15
38,01077,7871,217,192,175,175
39,01079,2541,77,69,65,62
40,01081,13205,593,535,513,488
41,01083,8349,257,227,211,207
42,01085,1155,41,34,32,30
43,01087,1223,53,52,49,47
44,01089,28310,1046,909,849,804
45,01091,2093,67,57,53,51
46,01093,2537,67,58,53,51
47,01095,10471,244,191,179,164
48,01097,31620,1100,919,834,800
49,01099,1524,46,41,38,35
50,01101,19954,747,663,617,575
51,01103,12639,305,262,234,232
52,01105,1000,19,18,16,16
53,01107,1996,28,25,27,27
54,01109,2625,94,91,85,81
55,01111,1464,52,46,44,42
56,01113,3575,210,189,183,182
57,01115,7854,251,202,186,174
58,01117,19335,649,564,521,490
59,01119,905,8,8,8,8
60,01121,6481,258,221,206,192
61,01123,3149,214,219,231,246
62,01125,21525,504,467,432,420
63,01127,6036,101,84,79,74
64,01129,1423,39,35,33,31
65,01131,1079,34,35,34,33
66,01133,2336,51,45,43,43
67,02013,71,9,11,11,13
68,02016,293,17,21,22,23
69,02020,25089,335,278,264,299
70,02050,3184,128,80,76,61
71,02060,0,0,0,0,0
72,02068,67,4,2,2,2
73,02070,164,7,6,6,5
74,02090,5792,141,126,122,118
75,02100,24,0,0,0,0
76,02105,0,0,0,0,0
77,02110,1133,21,22,22,23
78,02122,3888,42,38,36,35
79,02130,276,6,4,4,4
80,02150,1022,14,14,14,13
81,02158,1084,42,34,30,26
82,02164,170,,,,NaN
83,02170,7361,145,126,115,144
84,02180,305,6,6,6,7
85,02185,977,25,24,24,24
86,02188,561,29,28,29,28
87,02195,47,1,1,1,1
88,02198,74,0,0,0,0
89,02220,299,6,7,7,8
90,02230,16,0,0,0,0
91,02240,423,4,4,4,4
92,02261,412,12,8,8,7
93,02275,26,0,0,0,0
94,02282,64,0,0,0,0
95,02290,261,10,9,9,9
96,04001,9204,639,349,328,308
97,04003,10157,494,434,395,365
98,04005,14745,706,626,589,545
99,04007,5756,271,225,208,195
100,04009,4816,284,257,246,233
101,04011,508,16,16,15,15
102,04012,2170,112,82,74,65
103,04013,449162,29686,26977,25561,24322
104,04015,18277,1119,951,870,803
105,04017,13988,520,439,394,359
106,04019,96738,5923,5213,4965,4746
107,04021,39751,2426,2179,2049,1920
108,04023,7297,202,152,135,114
109,04025,15736,815,695,631,605
110,04027,34269,1041,922,839,816
111,05001,1686,77,69,67,64
112,05003,1587,74,60,58,55
113,05005,2550,63,55,53,49
114,05007,24129,818,707,648,618
115,05009,3162,113,108,101,97
116,05011,1203,34,27,24,21
117,05013,318,18,15,14,14
118,05015,2479,61,55,51,48
119,05017,1538,27,21,20,18
120,05019,1750,78,68,65,62
121,05021,1529,33,32,30,27
122,05023,1690,58,53,50,48
123,05025,741,38,36,35,34
124,05027,1857,52,46,43,40
125,05029,1894,78,66,62,57
126,05031,11900,285,234,213,194
127,05033,5937,271,241,227,214
128,05035,5229,146,133,124,117
129,05037,1780,52,48,45,42
130,05039,647,30,29,29,28
131,05041,1138,36,29,27,26
132,05043,1780,56,49,46,45
133,05045,10156,422,352,320,307
134,05047,1429,67,59,56,52
135,05049,1017,13,12,12,12
136,05051,7987,442,362,336,312
137,05053,1333,43,36,35,32
138,05055,5302,149,132,124,117
139,05057,1571,68,69,67,65
140,05059,4257,119,103,95,89
141,05061,1298,38,35,33,32
142,05063,3357,80,72,67,61
143,05065,1518,25,20,16,16
144,05067,3028,31,24,22,26
145,05069,7742,226,193,184,172
146,05071,2396,91,71,65,59
147,05073,430,22,20,20,19
148,05075,1868,44,39,37,34
149,05077,1587,24,21,19,18
150,05079,2996,36,27,25,23
151,05081,999,31,29,27,26
152,05083,1903,85,72,66,63
153,05085,5630,266,234,219,204
154,05087,1267,46,38,36,33
155,05089,826,27,27,24,23
156,05091,3258,91,84,81,77
157,05093,5053,116,104,97,92
158,05095,667,35,28,27,26
159,05097,638,19,14,13,12
160,05099,686,26,25,24,24
161,05101,633,16,17,16,16
162,05103,1850,78,76,72,67
163,05105,646,28,25,23,22
164,05107,1537,46,43,41,39
165,05109,861,22,21,19,18
166,05111,2855,81,74,69,65
167,05113,1612,57,45,41,38
168,05115,6976,253,203,189,175
169,05117,724,36,34,33,32
170,05119,32044,1317,1096,998,918
171,05121,1787,43,39,36,35
172,05123,3248,74,72,68,63
173,05125,9906,378,322,291,268
174,05127,829,29,27,25,23
175,05129,595,16,16,15,14
176,05131,12974,513,481,450,411
177,05133,2312,40,34,31,28
178,05135,1409,26,24,23,19
179,05137,892,21,19,19,18
180,05139,3176,129,111,102,98
181,05141,1039,50,49,48,46
182,05143,26790,794,705,639,588
183,05145,6241,209,184,169,166
184,05147,524,21,18,17,16
185,05149,2966,80,62,56,47
186,06001,70334,3468,3067,2864,2730
187,06003,73,0,0,0,0
188,06005,3049,63,64,65,68
189,06007,9757,381,343,324,314
190,06009,1695,106,93,90,88
191,06011,1854,88,85,82,79
192,06013,54951,2766,2370,2223,2078
193,06015,873,12,13,15,14
194,06017,8002,332,333,314,306
195,06019,85274,3462,3027,2823,2761
196,06021,2015,113,90,86,81
197,06023,2494,141,144,142,134
198,06025,25581,408,370,331,319
199,06027,1007,63,61,61,57
200,06029,90213,4677,3661,3390,3168
201,06031,19904,643,505,476,440
202,06033,2673,159,181,181,174
203,06035,5269,85,92,87,78
204,06037,1073156,48134,39221,35519,32862
205,06039,13858,546,495,460,426
206,06041,11954,353,349,333,317
207,06043,351,13,8,7,7
208,06045,3277,130,113,107,110
209,06047,25048,1073,1015,983,944
210,06049,390,9,6,7,6
211,06051,1135,37,37,38,38
212,06053,37285,1397,1315,1238,1166
213,06055,7893,434,386,368,346
214,06057,3332,175,150,146,143
215,06059,237666,11335,9401,8581,7959
216,06061,17675,575,585,548,528
217,06063,605,19,18,18,18
218,06065,258532,12906,13458,12784,12058
219,06067,83408,3770,3309,3109,2960
220,06069,5166,223,194,180,169
221,06071,264457,11350,9855,9059,8696
222,06073,227195,12421,10829,9820,9427
223,06075,30308,1371,1150,1069,1005
224,06077,59395,1966,1914,1750,1692
225,06079,16652,1121,948,880,828
226,06081,33731,1570,1659,1579,1505
227,06083,26820,2120,1963,1929,1856
228,06085,98057,5483,3770,3381,3270
229,06087,12771,654,595,554,520
230,06089,9951,302,248,242,236
231,06091,88,6,6,6,6
232,06093,1484,55,53,51,50
233,06095,26494,1319,1302,1274,1215
234,06097,24935,1231,1146,1103,1048
235,06099,48753,1658,1420,1305,1214
236,06101,7943,249,232,220,205
237,06103,4468,198,190,187,178
238,06105,305,2,2,2,2
239,06107,42759,1390,1430,1348,1282
240,06109,3443,71,67,83,77
241,06111,65581,5053,4050,3759,3451
242,06113,11087,544,493,469,439
243,06115,5049,177,164,158,153
244,08001,44877,771,609,510,630
245,08003,1118,41,35,34,33
246,08005,43906,1098,939,905,880
247,08007,592,16,17,17,16
248,08009,262,13,11,11,11
249,08011,1283,15,14,11,11
250,08013,16742,407,360,342,329
251,08014,3313,129,116,114,113
252,08015,1258,29,26,27,25
253,08017,113,2,2,3,3
254,08019,340,5,6,5,5
255,08021,394,22,18,18,19
256,08023,175,1,1,1,1
257,08025,1764,21,23,24,24
258,08027,159,1,1,1,1
259,08029,2240,105,88,80,75
260,08031,54528,1067,912,843,793
261,08033,61,1,2,2,2
262,08035,18374,510,447,427,416
263,08037,4192,168,156,151,148
264,08039,1120,27,23,22,21
265,08041,46818,926,745,707,672
266,08043,5075,63,65,66,63
267,08045,4640,108,94,83,97
268,08047,144,4,3,3,4
269,08049,898,57,55,55,53
270,08051,987,80,73,73,74
271,08053,15,0,0,0,1
272,08055,288,1,1,1,1
273,08057,44,0,0,0,0
274,08059,33760,775,686,640,612
275,08061,85,1,1,2,2
276,08063,496,12,13,13,14
277,08065,487,7,6,5,5
278,08067,2646,62,57,54,52
279,08069,17517,508,467,452,443
280,08071,899,22,16,12,10
281,08073,886,21,22,25,28
282,08075,3567,50,47,45,45
283,08077,11539,533,508,500,490
284,08079,57,1,1,1,1
285,08081,610,13,14,14,15
286,08083,1579,64,63,61,59
287,08085,2900,165,137,130,124
288,08087,2338,27,24,22,21
289,08089,1777,19,19,20,21
290,08091,186,6,5,5,6
291,08093,471,14,14,13,12
292,08095,319,4,4,3,2
293,08097,1761,76,71,67,66
294,08099,1104,14,13,12,14
295,08101,14177,108,135,137,125
296,08103,377,29,28,29,29
297,08105,587,27,26,25,25
298,08107,1503,132,114,116,118
299,08109,290,6,5,5,5
300,08111,40,1,2,2,2
301,08113,597,54,56,62,66
302,08115,183,5,4,4,3
303,08117,2532,118,98,97,95
304,08119,1146,32,30,30,30
305,08121,364,4,3,3,3
306,08123,23106,521,450,416,385
307,08125,644,20,18,18,18
308,09001,69065,2657,2539,2463,2328
309,09003,60027,2875,2751,2613,2558
310,09005,9391,399,382,371,352
311,09007,8712,430,393,373,351
312,09009,60085,2745,2609,2530,2423
313,09011,15684,1104,1082,1070,1035
314,09013,6422,339,325,318,305
315,09015,7642,503,480,460,450
316,10001,12157,764,676,647,615
317,10003,42499,2193,2045,1958,1890
318,10005,19745,1124,990,954,905
319,11001,NaN,1414,1294,1235,1200
320,12001,19723,862,771,739,705
321,12003,2937,103,81,75,70
322,12005,15255,797,739,729,677
323,12007,2591,75,65,61,59
324,12009,27737,1560,1455,1397,1340
325,12011,166058,6701,6248,6016,5708
326,12013,1487,31,27,28,28
327,12015,9367,340,282,255,241
328,12017,8300,359,308,284,263
329,12019,14749,631,560,516,480
330,12021,26832,901,787,727,691
331,12023,7053,179,150,140,132
332,12027,3299,88,70,66,63
333,12029,1364,44,39,38,36
334,12031,78492,2836,2479,2285,2170
335,12033,29228,1441,1292,1230,1177
336,12035,4992,278,239,227,219
337,12037,1187,60,47,48,47
338,12039,4955,156,134,122,115
339,12041,1173,44,32,30,28
340,12043,855,16,16,17,17
341,12045,1622,51,48,46,45
342,12047,1469,38,34,32,32
343,12049,2496,75,69,67,64
344,12051,3965,153,125,113,106
345,12053,9494,468,429,412,395
346,12055,6168,246,236,221,210
347,12057,96795,3891,3614,3395,3274
348,12059,2018,41,34,31,28
349,12061,9323,455,412,376,347
350,12063,5513,147,132,120,112
351,12065,1247,46,39,36,29
352,12067,1515,20,16,15,13
353,12069,20664,1185,1061,1003,952
354,12071,50625,2230,2001,1865,1775
355,12073,25160,1178,1062,1013,966
356,12075,2448,110,98,94,88
357,12077,966,30,24,23,21
358,12079,1784,64,53,52,50
359,12081,27381,1088,952,874,833
360,12083,23390,1109,955,873,818
361,12085,9306,254,224,200,189
362,12086,358801,13097,12008,11284,10770
363,12087,5158,180,168,161,154
364,12089,6659,341,302,283,263
365,12091,15932,655,571,537,502
366,12093,3139,142,121,116,110
367,12095,98491,4779,4437,4269,4014
368,12097,32273,1566,1408,1334,1277
369,12099,102367,4236,3938,3786,3675
370,12101,28299,1413,1271,1198,1142
371,12103,56935,2391,2077,1929,1816
372,12105,48119,2306,2075,1951,1863
373,12107,5249,198,177,167,156
374,12109,17492,790,696,644,602
375,12111,18625,867,794,749,711
376,12113,14711,707,619,579,539
377,12115,23806,936,867,801,746
378,12117,23088,1109,1010,960,925
379,12119,6750,306,268,253,245
380,12121,4733,114,95,92,96
381,12123,2390,96,77,75,70
382,12125,1635,25,19,18,19
383,12127,29245,1566,1454,1404,1347
384,12129,2830,140,118,111,104
385,12131,6065,187,156,145,138
386,12133,2363,83,66,60,56
387,13001,1944,46,39,37,39
388,13003,918,23,19,18,16
389,13005,1259,31,30,27,25
390,13007,204,7,7,7,7
391,13009,3809,112,97,91,84
392,13011,1516,56,48,45,43
393,13013,7554,507,447,424,404
394,13015,10567,485,450,422,395
395,13017,1899,66,61,57,53
396,13019,1454,59,49,47,43
397,13021,12847,557,500,477,453
398,13023,1277,43,40,38,36
399,13025,1299,65,63,64,63
400,13027,1146,35,31,30,28
401,13029,2572,154,139,137,134
402,13031,5460,276,255,247,242
403,13033,2067,109,102,101,96
404,13035,2246,88,86,80,76
405,13037,494,7,23,23,22
406,13039,3142,156,150,146,141
407,13043,860,33,33,32,31
408,13045,9195,408,348,336,323
409,13047,4566,237,215,202,190
410,13049,1198,28,25,23,22
411,13051,17292,940,913,889,859
412,13053,2481,129,115,130,139
413,13055,2292,87,78,73,69
414,13057,22860,1164,1060,989,944
415,13059,12515,489,461,445,426
416,13061,211,3,3,3,3
417,13063,18588,983,909,881,847
418,13065,810,29,23,22,20
419,13067,59345,3147,2929,2775,2629
420,13069,4778,91,72,67,69
421,13071,3849,137,139,136,131
422,13073,13506,729,637,602,570
423,13075,1535,46,35,34,31
424,13077,10714,487,435,403,378
425,13079,535,23,21,20,19
426,13081,1697,71,67,64,61
427,13083,1039,38,36,35,34
428,13085,2428,128,114,110,107
429,13087,2430,104,85,84,77
430,13089,48857,2452,2296,2224,2151
431,13091,1904,80,64,58,54
432,13093,859,47,39,37,36
433,13095,6247,323,301,286,272
434,13097,11036,612,535,507,483
435,13099,995,45,39,38,38
436,13101,426,14,11,11,10
437,13103,3367,178,170,168,164
438,13105,2010,67,59,56,52
439,13107,2248,60,48,45,40
440,13109,805,27,23,21,20
441,13111,1856,108,106,104,100
442,13113,6366,344,315,302,286
443,13115,9542,371,337,320,302
444,13117,15676,1124,1069,1049,1010
445,13119,2260,87,79,75,71
446,13121,73780,3924,3697,3618,3498
447,13123,2363,100,92,87,82
448,13125,215,6,5,5,4
449,13127,6452,326,303,291,281
450,13129,6033,244,203,189,177
451,13131,1788,71,66,63,59
452,13133,1452,48,42,39,37
453,13135,79103,5559,5264,5137,4938
454,13137,4402,115,97,86,80
455,13139,23141,1023,967,937,906
456,13141,808,22,17,13,10
457,13143,2208,68,65,63,62
458,13145,1968,84,81,78,74
459,13147,1988,75,67,64,61
460,13149,698,23,23,22,22
461,13151,18059,1013,938,904,859
462,13153,11407,598,514,471,444
463,13155,816,21,19,17,17
464,13157,7809,466,406,389,368
465,13159,1115,39,36,34,33
466,13161,1525,55,48,47,44
467,13163,1660,69,67,64,61
468,13165,731,36,32,31,28
469,13167,968,27,24,22,21
470,13169,1571,78,69,66,62
471,13171,1632,83,67,62,58
472,13173,649,24,22,21,21
473,13175,4828,178,158,148,137
474,13177,2235,146,133,129,125
475,13179,2534,177,176,182,185
476,13181,628,49,40,39,39
477,13183,650,37,39,40,40
478,13185,10345,336,318,299,282
479,13187,2527,112,103,98,92
480,13189,1939,125,108,103,98
481,13191,620,25,26,25,25
482,13193,648,35,31,30,29
483,13195,2589,132,124,119,113
484,13197,427,22,23,23,24
485,13199,1538,82,78,74,70
486,13201,688,21,20,19,18
487,13205,1730,57,50,46,43
488,13207,2043,88,82,76,71
489,13209,785,19,19,18,16
490,13211,1511,66,64,62,61
491,13213,3871,164,139,128,120
492,13215,12508,563,479,439,414
493,13217,7848,425,404,392,374
494,13219,3148,127,120,113,105
495,13221,1219,50,46,43,41
496,13223,11905,690,624,579,545
497,13225,2054,94,84,79,72
498,13227,2584,126,110,102,96
499,13229,2115,90,94,93,90
500,13231,1735,70,61,54,56
501,13233,4582,221,192,183,170
502,13235,767,30,27,26,25
503,13237,1704,64,58,55,51
504,13239,137,6,7,7,7
505,13241,1432,47,40,37,36
506,13243,523,25,24,23,22
507,13245,19570,1076,993,955,928
508,13247,5422,306,291,279,270
509,13249,269,6,7,6,6
510,13251,756,34,34,33,32
511,13253,838,32,32,31,31
512,13255,4772,230,197,179,168
513,13257,2666,84,73,68,65
514,13259,742,15,16,17,17
515,13261,2133,75,73,69,67
516,13263,392,15,14,13,12
517,13265,100,6,6,5,5
518,13267,1889,75,71,67,62
519,13269,667,25,22,21,21
520,13271,1055,34,32,30,29
521,13273,673,22,20,19,19
522,13275,3771,201,175,166,158
523,13277,4338,125,99,89,81
524,13279,2923,82,73,67,64
525,13281,963,26,26,24,23
526,13283,715,32,31,29,28
527,13285,6269,253,239,225,218
528,13287,879,40,32,29,28
529,13289,558,19,18,17,15
530,13291,1810,65,61,58,49
531,13293,2911,97,80,78,75
532,13295,5326,211,180,163,153
533,13297,7886,407,357,326,305
534,13299,4158,184,164,160,155
535,13301,432,35,30,30,29
536,13303,1746,73,61,58,55
537,13305,2813,123,115,111,108
538,13307,116,3,3,3,3
539,13309,556,9,10,10,10
540,13311,2699,86,72,68,62
541,13313,14547,433,412,376,363
542,13315,698,16,14,14,12
543,13317,881,65,54,53,53
544,13319,796,24,22,21,20
545,13321,1525,55,47,44,41
546,15001,2149,54,53,54,54
547,15003,20607,580,521,514,499
548,15005,0,0,0,0,0
549,15007,178,3,4,3,3
550,15009,2159,187,170,168,166
551,16001,43597,861,777,733,705
552,16003,310,6,3,3,3
553,16005,7222,118,109,102,97
554,16007,323,7,7,6,6
555,16009,525,11,10,9,8
556,16011,3991,43,42,43,43
557,16013,1866,90,86,89,99
558,16015,285,12,14,15,16
559,16017,2548,114,106,100,96
560,16019,11311,150,136,126,120
561,16021,710,24,22,21,21
562,16023,183,2,2,2,2
563,16025,64,2,2,3,3
564,16027,23326,420,392,373,368
565,16029,603,9,8,8,7
566,16031,2733,27,18,20,19
567,16033,53,0,0,0,0
568,16035,938,13,13,14,14
569,16037,226,2,2,2,2
570,16039,1485,26,25,25,24
571,16041,1000,10,9,8,9
572,16043,938,14,13,14,14
573,16045,1603,31,29,26,26
574,16047,1226,16,12,12,11
575,16049,1132,15,13,13,11
576,16051,2234,27,24,23,21
577,16053,2401,27,22,21,21
578,16055,15250,365,334,315,299
579,16057,2433,48,49,49,49
580,16059,474,1,0,1,1
581,16061,362,2,2,2,2
582,16063,465,4,4,4,4
583,16065,5760,88,80,78,80
584,16067,2206,25,19,18,16
585,16069,3246,37,34,33,31
586,16071,297,9,9,9,10
587,16073,965,12,9,8,8
588,16075,2292,45,42,39,38
589,16077,583,8,8,9,9
590,16079,944,17,16,15,15
591,16081,935,42,36,36,35
592,16083,8652,116,94,87,80
593,16085,674,38,36,37,36
594,16087,1135,32,31,30,30
595,17001,7537,153,131,137,140
596,17003,404,12,13,13,13
597,17005,1782,39,36,35,33
598,17007,5656,107,87,80,76
599,17009,622,15,15,14,13
600,17011,3056,46,34,38,40
601,17013,450,7,7,7,7
602,17015,1468,37,29,29,28
603,17017,1794,32,26,28,25
604,17019,15867,427,360,341,324
605,17021,3056,64,58,54,51
606,17023,1529,44,40,38,37
607,17025,1340,18,16,16,17
608,17027,5174,124,113,107,107
609,17029,4790,83,72,64,58
610,17031,444927,10169,9210,8737,8485
611,17033,1831,52,50,49,48
612,17035,1117,32,31,29,27
613,17037,7678,207,181,169,162
614,17039,1190,43,43,42,39
615,17041,2045,36,34,32,30
616,17043,70890,1738,1581,1466,1450
617,17045,1492,35,36,36,36
618,17047,478,11,9,8,7
619,17049,4373,56,50,52,52
620,17051,2967,48,41,37,36
621,17053,1406,23,19,18,18
622,17055,3937,100,85,77,74
623,17057,2625,56,46,44,41
624,17059,397,10,7,7,6
625,17061,1282,27,24,23,22
626,17063,4531,133,123,118,115
