,County,425,430,437,444,451
0,01001,6517,66,67,53,48
1,01003,20361,190,173,178,214
2,01005,2213,25,28,28,27
3,01007,2529,34,34,27,36
4,01009,6387,60,74,75,55
5,01011,1194,7,7,8,11
6,01013,2072,22,29,31,19
7,01015,14165,97,138,131,145
8,01017,3469,17,20,15,36
9,01019,1794,8,11,10,27
10,01021,4008,41,40,22,50
11,01023,582,7,9,11,12
12,01025,3476,14,19,22,30
13,01027,1480,8,11,12,14
14,01029,1446,22,23,20,20
15,01031,5349,31,41,39,46
16,01033,6122,39,55,75,68
17,01035,1084,5,10,9,7
18,01037,944,12,19,15,14
19,01039,4029,14,15,25,53
20,01041,1491,8,11,9,14
21,01043,9291,114,134,174,171
22,01045,4730,29,31,31,55
23,01047,3504,29,42,30,65
24,01049,8675,62,80,92,112
25,01051,9843,154,140,80,113
26,01053,3842,22,21,23,30
27,01055,13608,89,104,88,124
28,01057,2051,17,13,14,16
29,01059,4180,35,54,82,94
30,01061,2429,8,11,10,29
31,01063,897,8,7,8,8
32,01065,2148,11,11,14,20
33,01067,1859,17,13,14,26
34,01069,10259,50,60,50,109
35,01071,6705,61,82,82,84
36,01073,74132,881,1033,1079,895
37,01075,1373,13,17,16,22
38,01077,9034,79,111,214,199
39,01079,2910,24,29,21,38
40,01081,15290,116,106,122,141
41,01083,9674,74,104,107,106
42,01085,1356,11,15,8,11
43,01087,1520,26,24,18,21
44,01089,33292,299,270,182,307
45,01091,2484,17,22,28,50
46,01093,3042,64,70,52,85
47,01095,11805,102,169,214,220
48,01097,37312,408,352,377,455
49,01099,1693,11,15,11,15
50,01101,23439,266,286,228,259
51,01103,14066,102,134,117,113
52,01105,1077,6,7,8,10
53,01107,2319,21,28,22,37
54,01109,2994,22,25,21,35
55,01111,1733,32,37,44,48
56,01113,4191,55,52,39,43
57,01115,9285,104,114,97,94
58,01117,22824,248,235,233,200
59,01119,1024,7,9,11,11
60,01121,7880,108,110,103,97
61,01123,3832,56,86,96,109
62,01125,24867,267,197,182,321
63,01127,7017,95,136,193,219
64,01129,1632,11,22,31,40
65,01131,1247,6,9,8,6
66,01133,2702,48,69,51,88
67,02013,364,0,1,6,7
68,02016,648,6,10,16,17
69,02020,27796,310,383,337,381
70,02050,3712,35,31,26,24
71,02060,0,0,0,0,0
72,02068,79,1,2,2,5
73,02070,208,0,1,2,4
74,02090,6525,70,75,65,118
75,02100,28,0,0,0,0
76,02105,0,0,0,0,0
77,02110,1284,10,10,17,30
78,02122,4104,26,36,31,63
79,02130,384,4,6,6,12
80,02150,1066,2,6,9,10
81,02158,1221,2,5,8,13
82,02164,185,0,0,1,3
83,02170,9529,221,219,182,214
84,02180,335,2,2,2,4
85,02185,1034,7,9,11,14
86,02188,597,2,4,7,20
87,02195,152,4,7,11,10
88,02198,84,1,1,2,2
89,02220,326,2,3,4,6
90,02230,20,0,0,0,1
91,02240,583,39,32,35,42
92,02261,458,0,0,3,7
93,02275,32,0,0,0,0
94,02282,72,0,1,2,3
95,02290,347,2,3,3,5
96,04001,10772,60,61,48,72
97,04003,11543,141,77,59,102
98,04005,16956,85,97,119,132
99,04007,6497,47,40,42,64
100,04009,5348,18,22,24,35
101,04011,563,1,2,3,5
102,04012,2430,14,16,12,12
103,04013,521585,1843,2566,2263,3064
104,04015,21938,280,208,174,203
105,04017,15599,36,56,59,93
106,04019,111912,618,627,570,841
107,04021,48840,1044,939,706,571
108,04023,7761,81,58,60,69
109,04025,18299,176,187,280,217
110,04027,36694,108,85,125,150
111,05001,2024,10,15,14,23
112,05003,1878,12,18,18,24
113,05005,3027,44,50,43,70
114,05007,27947,177,175,204,282
115,05009,3713,17,18,30,40
116,05011,1342,10,11,6,8
117,05013,408,3,3,3,5
118,05015,2740,6,9,16,26
119,05017,1606,6,9,13,16
120,05019,2070,7,12,14,22
121,05021,1714,9,9,14,19
122,05023,1929,13,18,12,17
123,05025,938,3,6,8,7
124,05027,2303,12,23,35,39
125,05029,2175,7,8,14,16
126,05031,13022,47,64,93,165
127,05033,6930,35,42,44,49
128,05035,5837,27,36,47,72
129,05037,1914,6,9,11,31
130,05039,751,3,6,4,7
131,05041,1353,5,6,10,19
132,05043,1972,6,8,11,13
133,05045,12094,79,82,105,122
134,05047,1667,8,9,9,14
135,05049,1098,5,8,9,17
136,05051,9978,46,63,54,109
137,05053,1625,10,15,13,15
138,05055,5979,22,39,30,66
139,05057,1959,11,17,28,20
140,05059,4954,22,27,29,45
141,05061,1620,6,12,16,19
142,05063,3705,14,16,26,47
143,05065,1649,4,5,11,16
144,05067,3198,6,13,13,13
145,05069,8707,26,36,53,80
146,05071,2862,24,27,22,34
147,05073,541,1,7,5,6
148,05075,2064,4,9,14,26
149,05077,1652,3,9,5,18
150,05079,3172,5,12,13,23
151,05081,1205,6,11,12,15
152,05083,2204,9,10,15,26
153,05085,7001,36,44,47,76
154,05087,1423,5,6,9,16
155,05089,1006,14,14,19,19
156,05091,4157,37,54,58,52
157,05093,5722,20,28,41,78
158,05095,855,8,9,6,10
159,05097,746,3,5,5,7
160,05099,814,8,9,11,9
161,05101,703,4,4,6,15
162,05103,2272,13,21,17,27
163,05105,818,5,6,9,10
164,05107,1728,5,9,10,26
165,05109,992,4,5,5,8
166,05111,3105,9,14,21,39
167,05113,1953,17,24,16,18
168,05115,7829,22,29,38,74
169,05117,886,4,5,5,10
170,05119,38102,211,224,248,302
171,05121,2048,9,20,19,35
172,05123,3492,16,29,43,31
173,05125,11664,69,68,84,81
174,05127,925,1,3,7,7
175,05129,667,1,4,6,10
176,05131,14920,74,75,64,133
177,05133,2772,13,22,22,32
178,05135,1542,6,9,11,23
179,05137,982,6,9,10,19
180,05139,3877,27,48,34,36
181,05141,1228,7,11,11,19
182,05143,29986,149,154,188,252
183,05145,7739,52,75,99,115
184,05147,632,4,4,4,6
185,05149,3401,9,11,18,26
