,County,347,353,360
0,01001,4305,275,276
1,01003,14064,850,846
2,01005,1530,119,123
3,01007,1882,127,132
4,01009,4746,218,209
5,01011,900,75,84
6,01013,1546,111,114
7,01015,9731,459,444
8,01017,2402,157,139
9,01019,1438,84,93
10,01021,3032,161,134
11,01023,493,25,34
12,01025,2461,161,140
13,01027,1158,63,67
14,01029,1048,64,85
15,01031,3723,283,302
16,01033,4766,291,286
17,01035,866,57,62
18,01037,525,51,47
19,01039,2955,148,137
20,01041,968,73,79
21,01043,7258,441,436
22,01045,3423,214,223
23,01047,2837,161,165
24,01049,7022,214,214
25,01051,6671,643,695
26,01053,2719,170,161
27,01055,10324,640,587
28,01057,1460,74,80
29,01059,3336,174,175
30,01061,1732,125,130
31,01063,688,54,49
32,01065,1501,102,96
33,01067,1296,105,109
34,01069,7525,394,459
35,01071,5254,242,197
36,01073,54012,3537,3342
37,01075,1074,70,70
38,01077,6682,542,490
39,01079,2115,185,186
40,01081,10560,602,579
41,01083,7037,428,401
42,01085,962,42,48
43,01087,1021,62,66
44,01089,23364,1728,1675
45,01091,1830,109,121
46,01093,2152,156,127
47,01095,9314,391,372
48,01097,26677,1454,1393
49,01099,1233,115,111
50,01101,16446,909,933
51,01103,10974,709,664
52,01105,887,61,63
53,01107,1774,114,103
54,01109,2037,127,133
55,01111,1276,74,81
56,01113,2866,194,204
57,01115,6752,407,383
58,01117,16186,967,941
59,01119,865,51,48
60,01121,5274,263,254
61,01123,2411,116,109
62,01125,19043,1074,1018
63,01127,5374,279,280
64,01129,1224,63,71
65,01131,896,53,55
66,01133,2031,123,116
67,02013,39,,NaN
68,02016,209,27,30
69,02020,23281,911,925
70,02050,2676,222,148
71,02060,0,,NaN
72,02068,60,46,53
73,02070,126,23,26
74,02090,5048,223,219
75,02100,22,,NaN
76,02105,0,,NaN
77,02110,1059,,NaN
78,02122,3658,78,85
79,02130,245,,NaN
80,02150,931,53,57
81,02158,877,,NaN
82,02164,160,21,26
83,02170,6527,288,274
84,02180,280,25,31
85,02185,824,26,30
86,02188,405,45,56
87,02195,31,,NaN
88,02198,72,,NaN
89,02220,270,,NaN
90,02230,17,,NaN
91,02240,407,23,25
92,02261,360,46,62
93,02275,25,,NaN
94,02282,54,,NaN
95,02290,209,20,25
96,04001,7758,367,334
97,04003,7873,502,475
98,04005,11691,604,540
99,04007,4684,287,276
100,04009,3414,241,232
101,04011,415,56,67
102,04012,1609,142,139
103,04013,342994,22433,21214
104,04015,13590,1464,1308
105,04017,11865,526,483
106,04019,74108,4722,4203
107,04021,29093,2239,2043
108,04023,6262,342,321
109,04025,12107,789,658
110,04027,28921,1370,1386
111,05001,1338,102,119
112,05003,1311,107,120
113,05005,2182,133,146
114,05007,18801,1460,1403
115,05009,2647,169,184
116,05011,975,89,83
117,05013,244,38,41
118,05015,2123,106,105
119,05017,1432,43,44
120,05019,1419,121,134
121,05021,1343,77,93
122,05023,1326,127,136
123,05025,583,42,47
124,05027,1597,157,164
125,05029,1414,141,150
126,05031,10299,527,522
127,05033,4648,293,304
