,County,319,325,332,339,346,353,360
0,01001,3005,192,192,186,174,156,135
1,01003,9728,1086,1262,1303,1252,1097,927
2,01005,1223,26,26,23,22,22,22
3,01007,1293,75,66,60,57,53,47
4,01009,3299,316,317,297,269,223,177
5,01011,713,0,0,0,0,0,0
6,01013,1236,7,7,4,2,4,7
7,01015,7096,903,1112,1171,1056,859,636
8,01017,1906,130,136,140,135,125,111
9,01019,1093,54,53,51,49,48,41
10,01021,2391,60,52,47,43,47,41
11,01023,440,4,6,7,7,7,7
12,01025,1671,49,49,49,48,48,44
13,01027,963,24,26,28,27,28,31
14,01029,821,7,7,10,14,14,14
15,01031,2657,212,243,242,234,207,175
16,01033,3536,322,313,296,261,220,173
17,01035,738,22,30,39,38,37,37
18,01037,393,57,72,72,73,63,52
19,01039,2370,79,75,72,70,65,66
20,01041,745,14,14,14,14,14,14
21,01043,5032,385,377,364,343,307,264
22,01045,2528,109,109,107,104,98,89
23,01047,2384,59,54,50,49,47,46
24,01049,5334,431,457,459,438,392,330
25,01051,4482,388,431,436,406,336,269
26,01053,2099,7,8,17,22,21,15
27,01055,7220,826,954,973,899,770,602
28,01057,1061,78,71,67,64,58,52
29,01059,2694,55,46,42,37,36,35
30,01061,1316,56,55,49,51,44,43
31,01063,473,0,0,0,0,0,0
32,01065,1028,7,7,7,7,7,7
33,01067,925,3,1,7,7,7,5
34,01069,5674,428,479,496,477,428,359
35,01071,3896,262,250,234,214,195,170
36,01073,36475,4816,7751,9303,9002,7675,6007
37,01075,755,46,43,43,41,35,30
38,01077,4626,515,573,588,561,492,404
39,01079,1422,123,132,132,128,111,95
40,01081,8171,410,554,642,655,647,621
41,01083,4744,394,422,420,408,360,307
42,01085,837,0,0,0,0,0,0
43,01087,781,58,56,58,57,51,46
44,01089,15090,1929,2667,3083,3052,2756,2387
45,01091,1312,0,0,0,0,0,0
46,01093,1537,101,111,113,111,96,90
47,01095,7133,725,780,772,730,647,540
48,01097,20869,959,1059,1136,1141,1138,1102
49,01099,855,66,93,107,103,99,85
50,01101,13003,602,755,836,837,791,731
51,01103,7600,824,854,839,787,699,577
52,01105,707,0,0,0,0,0,0
53,01107,1313,57,57,54,52,47,43
54,01109,1663,54,54,53,55,50,47
55,01111,1086,35,33,35,35,35,31
56,01113,2359,149,206,235,240,226,208
