,County,260,269,276,283,290,297,304
0,01001,1863,44,36,35,33,32,16
1,01003,6141,220,229,230,232,233,130
2,01005,927,14,17,21,20,21,11
3,01007,708,15,15,17,18,19,9
4,01009,1681,26,18,15,15,15,9
5,01011,619,0,0,0,0,1,0
6,01013,932,0,0,0,0,0,0
7,01015,3752,139,147,150,147,145,80
8,01017,1222,37,56,64,67,66,40
9,01019,654,37,34,35,32,35,19
10,01021,1684,47,42,41,44,41,25
11,01023,369,7,7,7,7,7,4
12,01025,1184,36,35,37,35,36,21
13,01027,627,31,29,28,28,28,15
14,01029,449,34,30,28,29,30,20
15,01031,1497,114,132,136,143,142,84
16,01033,1771,93,110,113,117,121,66
17,01035,542,0,0,0,0,0,0
18,01037,183,0,0,7,7,7,4
19,01039,1514,80,91,95,99,101,56
20,01041,554,0,0,0,0,1,0
21,01043,2001,74,77,85,85,85,48
22,01045,1527,107,110,109,105,105,60
23,01047,1817,16,16,16,14,15,8
24,01049,2709,389,576,662,678,687,387
25,01051,2889,176,197,205,201,202,112
26,01053,1670,2,0,4,7,7,4
27,01055,3726,122,92,83,81,80,45
28,01057,490,20,14,14,14,14,8
29,01059,1871,49,43,43,43,42,24
30,01061,765,159,193,201,210,207,118
31,01063,313,0,0,0,0,0,0
32,01065,682,7,7,7,7,7,4
33,01067,579,31,35,40,47,55,37
34,01069,3428,727,871,928,938,932,525
35,01071,1745,145,184,195,199,199,113
36,01073,20965,653,644,650,647,649,365
37,01075,404,14,13,14,14,14,8
38,01077,1880,149,173,179,185,182,103
39,01079,689,41,47,49,48,49,27
40,01081,6243,407,589,665,680,686,396
41,01083,2396,216,255,268,277,275,160
42,01085,672,0,0,0,0,0,0
43,01087,503,7,6,6,7,7,4
44,01089,8375,307,328,342,343,336,196
45,01091,757,0,0,0,0,0,0
46,01093,1015,27,22,22,22,24,12
47,01095,4083,98,102,107,109,108,60
48,01097,13829,228,183,167,165,158,91
49,01099,601,0,0,0,0,0,0
50,01101,9107,166,162,164,158,161,90
51,01103,3551,278,369,398,410,424,241
52,01105,547,0,0,0,0,0,0
53,01107,697,14,13,11,11,11,7
54,01109,1254,35,32,32,31,29,18
55,01111,723,37,41,42,44,46,27
56,01113,1832,40,50,52,54,54,30
57,01115,2521,123,129,131,134,133,73
58,01117,6497,291,312,310,317,316,182
59,01119,443,0,0,0,0,0,0
60,01121,2306,68,69,73,83,92,56
61,01123,1211,7,12,20,31,41,30
62,01125,9364,212,156,136,133,131,75
63,01127,2493,123,136,140,146,145,84
64,01129,588,0,0,0,0,1,0
65,01131,548,0,0,0,0,0,0
66,01133,796,38,35,37,36,38,20
67,02013,14,0,0,0,0,0,0
68,02016,96,0,0,0,0,0,0
69,02020,5267,640,623,625,633,632,363
70,02050,159,0,0,0,0,0,0
71,02060,0,0,0,0,0,0,0
72,02068,15,0,0,0,0,0,0
73,02070,32,0,0,0,0,0,0
74,02090,1494,373,530,592,611,619,354
75,02100,9,0,0,0,0,0,0
76,02105,0,0,0,0,0,0,0
77,02110,396,11,7,7,7,7,4
78,02122,668,7,7,8,9,8,4
79,02130,70,0,0,0,0,0,0
80,02150,83,0,0,0,0,0,0
81,02158,15,0,0,0,0,0,0
82,02164,95,0,0,0,0,0,0
83,02170,715,0,0,0,0,0,0
84,02180,102,0,0,0,0,0,0
85,02185,165,0,0,0,0,0,0
86,02188,155,0,0,0,0,0,0
87,02195,13,0,0,0,0,0,0
88,02198,32,0,0,0,0,0,0
89,02220,70,0,0,0,0,0,0
90,02230,0,0,0,0,0,0,0
91,02240,48,,,,,,NaN
92,02261,132,0,0,0,0,0,0
93,02275,19,0,0,0,0,0,0
94,02282,31,0,0,0,0,0,0
95,02290,89,0,0,0,0,0,0
96,04001,3654,68,69,67,67,63,38
97,04003,1937,4,4,6,6,7,4
98,04005,4385,312,340,356,366,369,205
99,04007,1487,83,103,115,116,117,68
100,04009,907,16,20,20,20,21,12
101,04011,60,0,0,0,0,0,0
102,04012,557,3,4,4,5,7,4
103,04013,144867,3501,4583,4978,5075,5082,2897
104,04015,4079,64,67,67,70,68,39
105,04017,5871,14,14,15,20,25,17
106,04019,26217,97,41,25,20,20,12
107,04021,10919,304,379,431,468,501,294
108,04023,2895,0,0,0,0,0,0
109,04025,2672,120,148,154,163,163,94
110,04027,12894,122,111,105,104,105,58
111,05001,527,96,116,124,132,127,73
112,05003,457,0,0,0,0,0,0
113,05005,434,35,24,22,25,26,16
114,05007,7065,230,217,201,195,195,113
115,05009,843,55,40,35,34,33,20
116,05011,345,0,0,0,0,0,0
117,05013,38,0,0,0,0,0,0
118,05015,796,74,73,71,69,72,40
119,05017,1016,0,0,0,0,0,0
120,05019,409,47,49,53,54,51,31
121,05021,363,41,42,42,43,47,26
122,05023,377,36,42,46,47,47,26
123,05025,195,5,1,0,0,3,0
124,05027,595,137,159,165,167,165,92
125,05029,304,27,31,34,37,35,20
126,05031,3451,308,311,310,312,308,174
127,05033,1655,134,120,111,107,109,63
128,05035,2041,72,76,77,78,76,44
129,05037,498,33,30,31,33,31,20
130,05039,174,1,0,0,1,4,2
131,05041,334,7,8,7,7,7,4
132,05043,372,1,0,0,0,0,0
133,05045,2831,204,208,220,220,219,123
134,05047,362,56,63,65,66,67,36
135,05049,213,42,43,44,43,43,24
136,05051,2071,72,56,49,47,47,27
137,05053,292,12,9,7,7,7,4
138,05055,1024,99,92,91,94,94,54
139,05057,436,33,50,56,57,57,35
140,05059,2007,18,26,31,33,34,21
141,05061,511,5,0,0,1,0,0
142,05063,1269,109,113,117,121,120,69
143,05065,303,41,38,36,38,36,20
144,05067,473,120,146,154,153,151,88
145,05069,3672,194,135,113,108,108,59
146,05071,896,33,37,39,38,39,24
147,05073,132,7,7,7,13,15,8
148,05075,546,89,97,96,98,99,55
149,05077,1087,0,0,0,0,0,0
150,05079,2100,,,,,,NaN
151,05081,378,7,7,7,6,7,4
152,05083,480,0,0,0,0,0,0
153,05085,1370,96,83,77,75,73,40
154,05087,385,9,13,13,14,14,8
155,05089,112,14,17,16,15,16,11
156,05091,1005,105,121,129,131,132,77
157,05093,1808,96,101,105,108,112,66
158,05095,165,12,12,12,13,13,8
159,05097,170,7,7,7,7,7,4
160,05099,241,7,7,7,7,8,7
161,05101,264,0,0,0,0,0,0
162,05103,288,9,7,7,7,7,4
163,05105,112,10,11,14,14,14,8
164,05107,588,7,7,7,7,7,4
165,05109,243,3,1,0,0,0,3
166,05111,763,22,21,22,28,36,20
167,05113,302,7,7,7,7,7,4
168,05115,2332,166,214,234,240,239,136
169,05117,174,0,0,1,3,4,3
170,05119,10130,416,349,324,325,322,188
171,05121,502,26,20,22,23,29,18
172,05123,1576,37,41,42,42,42,25
173,05125,2354,221,255,267,263,268,148
174,05127,127,12,10,11,10,11,8
175,05129,161,0,0,0,0,1,3
176,05131,4107,147,108,93,90,89,51
177,05133,1221,0,0,0,0,1,1
178,05135,265,33,37,38,39,38,22
179,05137,373,15,9,7,8,7,4
180,05139,983,92,108,113,113,114,65
181,05141,180,0,0,0,0,0,0
182,05143,10171,369,370,372,367,369,212
183,05145,1047,114,102,97,93,94,56
184,05147,65,0,0,0,0,0,0
185,05149,1288,0,0,0,0,0,1
186,06001,21938,389,347,328,335,319,191
187,06003,3,0,0,0,0,0,0
188,06005,302,7,7,7,7,8,5
189,06007,2927,91,120,135,138,138,81
190,06009,329,0,0,0,0,0,0
191,06011,541,4,0,0,1,1,1
192,06013,17420,464,424,397,389,392,226
193,06015,160,12,15,16,16,17,10
194,06017,1229,84,96,105,101,101,58
195,06019,29069,351,218,168,158,154,88
196,06021,621,26,27,28,26,25,14
197,06023,528,7,7,6,5,6,4
198,06025,12145,205,193,190,189,188,106
199,06027,199,,,,,,NaN
200,06029,32674,679,861,952,971,977,555
