,County,200,206,213,220,227,234,241
0,01001,1169,84,96,99,104,104,109
1,01003,3544,298,248,230,234,233,229
2,01005,575,18,10,7,7,7,7
3,01007,438,69,78,85,91,88,91
4,01009,800,59,35,23,20,17,16
5,01011,464,7,7,7,7,6,6
6,01013,764,24,21,21,21,21,23
7,01015,1784,290,204,159,138,134,127
8,01017,841,28,22,22,21,21,20
9,01019,273,43,51,57,59,59,58
10,01021,792,88,79,73,74,74,73
11,01023,283,14,14,15,14,14,15
12,01025,662,99,127,147,151,150,150
13,01027,258,55,63,64,62,58,58
14,01029,127,14,14,14,14,14,14
15,01031,761,45,36,32,32,34,32
16,01033,1181,106,87,75,71,68,71
17,01035,393,28,23,21,19,20,18
18,01037,101,7,9,13,13,12,12
19,01039,735,43,27,21,21,21,20
20,01041,318,46,40,37,35,35,34
21,01043,1225,123,122,126,126,131,128
22,01045,834,39,21,15,12,11,12
23,01047,1323,49,36,32,28,29,28
24,01049,1819,136,143,153,154,152,156
25,01051,1723,110,95,85,85,82,83
26,01053,1082,103,79,72,71,73,85
27,01055,2121,185,155,141,135,137,140
28,01057,207,43,57,66,71,71,69
29,01059,1274,115,132,145,149,146,148
30,01061,261,40,43,45,42,42,44
31,01063,251,7,7,7,7,7,7
32,01065,476,26,22,24,22,24,23
33,01067,263,24,20,19,19,19,21
34,01069,1398,70,41,29,22,22,24
35,01071,989,247,372,456,481,497,489
36,01073,13109,1677,2097,2442,2573,2615,2624
37,01075,222,34,34,35,35,35,34
38,01077,1167,119,97,96,94,91,91
39,01079,349,51,45,42,42,42,44
40,01081,2678,199,221,252,261,250,256
41,01083,1333,148,162,174,178,173,175
42,01085,572,7,7,5,4,4,6
43,01087,335,21,21,24,22,22,21
44,01089,5378,418,359,330,309,311,321
45,01091,552,41,37,35,36,37,37
46,01093,574,31,22,21,19,18,20
47,01095,3167,230,227,233,231,232,236
48,01097,9947,1301,1112,1014,987,974,975
49,01099,421,27,22,21,21,21,22
50,01101,6835,488,575,639,666,654,661
51,01103,2393,198,201,211,206,216,213
52,01105,442,28,19,14,14,14,13
53,01107,400,28,26,27,28,28,28
54,01109,709,52,52,50,50,51,48
55,01111,401,8,1,0,0,0,0
56,01113,1368,160,191,218,225,226,228
57,01115,1338,144,141,139,135,139,132
58,01117,3283,285,299,306,314,323,323
59,01119,360,7,7,7,7,7,7
60,01121,1026,131,111,107,118,129,141
61,01123,855,43,41,44,51,61,67
62,01125,4213,326,364,383,390,402,397
