,County,371,381,388,395,402
0,01001,5499,297,159,101,60
1,01003,17629,975,472,275,148
2,01005,1898,98,54,35,21
3,01007,2261,106,54,33,19
4,01009,5568,254,133,83,48
5,01011,1074,52,27,17,9
6,01013,1766,82,45,30,18
7,01015,11730,548,290,184,108
8,01017,3137,169,93,61,37
9,01019,1673,78,42,27,16
10,01021,3513,165,90,59,35
11,01023,524,22,12,8,5
12,01025,3111,172,89,56,32
13,01027,1316,59,32,20,12
14,01029,1241,53,28,17,10
15,01031,4734,250,138,91,55
16,01033,5650,260,136,86,50
17,01035,991,47,26,16,10
18,01037,661,28,15,10,6
19,01039,3479,172,100,68,42
20,01041,1270,63,34,21,13
21,01043,8412,360,191,121,72
22,01045,4186,219,120,78,47
23,01047,3164,133,70,43,24
24,01049,7985,342,185,118,70
25,01051,8379,469,243,152,89
26,01053,3434,188,101,65,38
27,01055,12265,557,294,184,108
28,01057,1835,80,40,24,13
29,01059,3801,158,83,52,30
30,01061,2171,117,66,44,27
31,01063,786,36,18,11,6
32,01065,1897,91,46,28,15
33,01067,1622,82,45,30,18
34,01069,9221,488,283,191,120
35,01071,6115,264,141,89,53
36,01073,65606,3171,1677,1056,624
37,01075,1220,48,24,15,8
38,01077,8049,388,204,129,77
39,01079,2597,126,65,40,23
40,01081,13482,776,420,270,162
41,01083,8494,422,217,134,78
42,01085,1186,49,25,15,8
43,01087,1246,58,30,18,10
44,01089,28795,1472,741,447,252
45,01091,2133,97,50,31,17
46,01093,2566,126,65,40,23
47,01095,10543,429,228,143,84
48,01097,32260,1591,771,445,236
49,01099,1542,81,42,26,15
50,01101,20388,1028,537,337,198
51,01103,12795,576,298,185,108
52,01105,1008,46,23,13,7
53,01107,2030,80,42,26,15
54,01109,2694,152,84,54,33
55,01111,1495,62,32,20,12
56,01113,3642,198,102,63,36
57,01115,7985,377,197,123,72
58,01117,19707,986,538,350,214
59,01119,912,37,19,12,7
60,01121,6637,336,180,116,70
61,01123,3228,156,83,54,33
62,01125,21859,961,526,344,210
63,01127,6078,264,143,92,55
64,01129,1447,66,37,24,14
65,01131,1100,54,27,17,9
66,01133,2364,100,51,31,17
67,02013,73,2,1,0,0
68,02016,309,25,13,8,4
69,02020,25240,594,312,203,129
70,02050,3230,123,74,58,41
71,02060,0,1,0,0,0
72,02068,67,1,0,0,0
73,02070,165,5,2,2,1
74,02090,5813,200,107,70,44
75,02100,25,0,0,0,0
76,02105,0,,,,NaN
77,02110,1141,32,17,11,7
78,02122,3897,94,48,30,19
79,02130,278,10,5,3,2
80,02150,1024,49,25,16,10
81,02158,1095,,,,NaN
82,02164,170,0,0,0,0
83,02170,7422,221,116,77,49
84,02180,307,9,4,3,1
85,02185,981,46,23,14,9
86,02188,569,22,10,6,4
87,02195,47,1,0,0,0
88,02198,75,3,1,1,0
89,02220,299,10,5,3,2
90,02230,16,0,0,0,0
91,02240,426,10,5,3,2
92,02261,415,12,6,4,2
93,02275,26,0,0,0,0
94,02282,64,,,,NaN
95,02290,261,9,4,3,1
96,04001,9388,412,199,117,64
97,04003,10295,622,335,215,129
98,04005,14959,737,358,209,114
99,04007,5867,291,139,80,43
100,04009,4848,280,145,91,54
101,04011,514,27,13,7,4
102,04012,2195,124,59,33,17
103,04013,459501,22858,7662,3508,1610
104,04015,18632,1093,500,283,149
105,04017,14149,683,338,199,109
106,04019,98743,5929,3165,2103,1315
107,04021,41485,2504,1222,763,451
108,04023,7359,388,230,157,100
109,04025,15989,931,436,249,132
110,04027,34637,1613,759,413,209
111,05001,1726,86,42,25,13
112,05003,1606,78,38,23,12
113,05005,2575,125,69,45,28
114,05007,24582,1330,715,460,277
115,05009,3251,160,86,55,33
116,05011,1222,65,32,18,10
117,05013,331,19,9,5,3
118,05015,2511,113,59,37,21
119,05017,1544,71,37,23,13
120,05019,1783,97,48,29,16
121,05021,1545,63,34,22,14
122,05023,1723,103,54,34,20
123,05025,761,40,20,11,6
124,05027,1887,89,45,28,16
125,05029,1929,123,62,38,21
126,05031,12018,552,322,222,143
127,05033,6070,332,171,106,61
128,05035,5286,265,153,104,65
129,05037,1794,96,50,32,19
130,05039,651,34,16,9,5
131,05041,1171,55,27,16,8
132,05043,1816,91,45,27,15
133,05045,10355,620,325,204,119
134,05047,1474,74,37,23,13
135,05049,1022,45,23,15,9
136,05051,8167,484,243,146,83
137,05053,1344,72,35,20,11
138,05055,5391,229,126,84,53
139,05057,1589,77,37,21,11
140,05059,4313,202,101,58,31
141,05061,1322,57,27,15,8
142,05063,3406,174,97,63,39
143,05065,1535,62,33,21,12
144,05067,3038,99,53,34,21
145,05069,7888,370,194,120,68
146,05071,2419,126,64,38,21
147,05073,436,21,10,6,3
148,05075,1885,85,45,29,18
149,05077,1593,77,42,27,16
150,05079,3026,127,68,41,23
151,05081,1014,49,24,14,7
152,05083,1935,100,50,30,16
153,05085,5780,353,185,115,67
154,05087,1309,62,32,19,11
155,05089,843,38,19,11,7
156,05091,3305,156,80,48,27
157,05093,5148,228,131,89,56
158,05095,688,35,17,10,5
159,05097,643,35,17,10,5
160,05099,701,28,14,9,5
161,05101,637,26,14,8,5
162,05103,1907,108,53,30,16
163,05105,655,42,21,12,6
164,05107,1564,73,37,22,12
165,05109,870,46,22,13,7
166,05111,2893,151,87,59,37
167,05113,1626,75,36,21,11
168,05115,7066,386,202,126,73
169,05117,746,37,18,10,5
170,05119,32839,1850,952,586,338
171,05121,1802,85,45,29,17
172,05123,3278,157,85,55,33
173,05125,10112,579,300,187,109
174,05127,843,48,24,14,7
175,05129,601,28,15,9,5
176,05131,13289,758,400,252,148
177,05133,2327,98,49,29,15
178,05135,1426,68,35,22,13
179,05137,904,50,27,17,10
