,County,355,360,367,374,381
0,01001,4902,519,543,572,606
1,01003,15417,1332,1566,1744,1926
2,01005,1663,119,133,143,154
3,01007,2060,176,191,203,215
4,01009,5080,349,430,482,531
5,01011,957,51,63,66,70
6,01013,1637,100,108,116,125
7,01015,10537,766,895,978,1060
8,01017,2651,223,243,258,275
9,01019,1545,96,120,134,147
10,01021,3277,225,269,294,319
11,01023,501,15,20,24,28
12,01025,2643,225,221,233,245
13,01027,1233,79,85,92,99
14,01029,1128,82,92,100,107
15,01031,4181,444,471,498,529
16,01033,5109,455,452,491,529
17,01035,908,66,60,65,70
18,01037,581,53,57,60,64
19,01039,3177,230,250,273,296
20,01041,1127,117,125,126,128
21,01043,7719,531,659,745,825
22,01045,3748,329,353,383,414
23,01047,2929,113,151,176,198
24,01049,7413,475,519,576,628
25,01051,7433,718,794,861,929
26,01053,2997,280,264,277,292
27,01055,11151,1019,996,1058,1120
28,01057,1585,136,135,145,154
29,01059,3552,262,257,274,290
30,01061,1920,175,187,200,213
31,01063,734,42,51,56,60
32,01065,1667,184,171,172,175
33,01067,1442,138,146,151,157
34,01069,8203,729,815,899,984
35,01071,5631,433,475,524,568
36,01073,59248,5341,5810,6356,6942
37,01075,1146,73,86,94,103
38,01077,7214,677,763,848,931
39,01079,2340,268,264,280,298
40,01081,11626,1032,1106,1180,1261
41,01083,7638,712,758,830,902
42,01085,1058,75,78,79,82
43,01087,1100,74,84,93,101
44,01089,25643,2510,2603,2789,2988
45,01091,1947,142,148,159,170
46,01093,2335,182,203,219,236
47,01095,9863,670,715,775,833
48,01097,28793,1923,2167,2356,2553
49,01099,1387,145,147,152,160
50,01101,18176,1455,1573,1678,1794
51,01103,11781,942,1012,1103,1192
52,01105,934,60,58,62,67
53,01107,1895,139,147,160,172
54,01109,2341,292,282,283,290
55,01111,1353,72,89,101,111
56,01113,3075,239,252,272,293
57,01115,7250,637,667,730,800
58,01117,17690,1488,1670,1823,1977
59,01119,890,34,47,55,62
60,01121,5825,547,592,643,701
61,01123,2554,142,182,206,229
62,01125,20211,1360,1520,1672,1822
63,01127,5758,461,495,536,579
64,01129,1323,93,109,116,124
65,01131,977,98,83,85,88
66,01133,2191,201,199,212,225
67,02013,39,1,3,4,4
68,02016,229,28,38,31,32
69,02020,24177,934,1009,1069,1120
70,02050,2811,161,221,229,235
71,02060,0,0,0,0,0
72,02068,62,2,4,5,6
73,02070,147,24,26,26,27
74,02090,5399,386,391,419,445
75,02100,23,1,2,2,2
76,02105,0,0,1,0,0
77,02110,1076,32,54,67,79
78,02122,3772,160,187,217,243
79,02130,260,18,22,26,30
80,02150,978,50,68,78,86
81,02158,924,66,86,89,93
82,02164,162,8,13,11,12
83,02170,6936,415,469,505,538
84,02180,285,15,26,25,29
85,02185,883,48,59,67,74
86,02188,493,109,119,84,79
87,02195,38,4,5,5,5
88,02198,74,3,5,6,7
89,02220,281,18,29,27,30
90,02230,16,0,1,1,2
91,02240,414,15,23,28,32
92,02261,381,26,32,35,39
93,02275,25,1,2,2,2
94,02282,60,6,6,6,6
95,02290,238,21,25,26,27
96,04001,8309,605,675,736,795
97,04003,8969,1143,1164,1252,1351
98,04005,12996,1437,1561,1749,1939
99,04007,5098,445,537,599,660
100,04009,4071,608,658,659,670
101,04011,465,51,53,55,58
102,04012,1880,246,241,235,235
103,04013,388518,48061,55282,64197,73941
104,04015,15595,2084,2224,2425,2645
105,04017,12675,853,933,1020,1105
106,04019,83386,8670,8622,8934,9364
107,04021,33638,4641,4757,5086,5465
108,04023,6716,552,521,539,558
109,04025,13724,1874,2125,2420,2734
110,04027,31501,2650,2471,2439,2433
111,05001,1461,125,133,141,149
112,05003,1409,106,118,127,136
113,05005,2358,184,232,261,289
114,05007,21649,2237,2793,3257,3735
115,05009,2856,234,256,285,312
116,05011,1091,100,105,107,111
117,05013,268,30,32,35,37
118,05015,2287,148,175,193,210
119,05017,1477,50,57,62,66
120,05019,1531,119,139,152,165
121,05021,1425,83,99,111,122
122,05023,1509,177,187,193,201
123,05025,631,45,52,56,60
124,05027,1707,114,135,149,163
125,05029,1653,207,212,217,225
126,05031,11060,823,1007,1140,1264
127,05033,5201,448,538,603,665
128,05035,4766,402,392,418,445
129,05037,1605,132,148,156,165
130,05039,551,52,55,56,59
131,05041,1041,63,79,86,92
132,05043,1612,138,145,156,167
133,05045,8978,1086,1301,1492,1688
134,05047,1259,99,110,119,128
135,05049,974,62,78,86,93
