,County,165,171,178,185,192,199
0,01001,607,108,111,110,104,97
1,01003,864,107,122,134,143,147
2,01005,349,50,52,52,51,47
3,01007,190,20,22,23,23,23
4,01009,235,38,43,48,52,55
5,01011,369,20,18,17,14,13
6,01013,633,42,39,37,32,28
7,01015,354,62,73,83,92,99
8,01017,629,27,26,26,25,23
9,01019,97,20,21,22,23,23
10,01021,246,38,42,44,46,47
11,01023,195,11,11,11,10,9
12,01025,274,39,40,40,38,36
13,01027,65,6,6,6,6,6
14,01029,36,4,5,5,6,6
15,01031,377,44,51,56,58,58
16,01033,395,69,75,79,80,79
17,01035,209,40,39,37,32,29
18,01037,58,7,7,7,7,7
19,01039,358,65,70,72,71,67
20,01041,125,13,13,13,13,12
21,01043,452,101,116,126,133,132
22,01045,288,52,59,64,68,71
23,01047,880,97,101,100,94,87
24,01049,719,64,71,76,80,79
25,01051,925,121,123,122,119,113
26,01053,350,46,52,55,55,53
27,01055,739,109,121,129,132,132
28,01057,70,12,14,15,16,17
29,01059,895,71,69,65,60,54
30,01061,80,17,20,21,23,22
31,01063,186,11,11,10,9,8
32,01065,311,38,34,29,26,21
33,01067,134,15,16,16,16,16
34,01069,496,76,86,95,102,103
35,01071,273,43,48,51,54,56
36,01073,5221,1023,1030,997,944,871
37,01075,77,13,14,15,15,14
38,01077,490,104,120,132,138,138
39,01079,108,22,26,28,29,31
40,01081,1384,140,146,146,142,134
41,01083,495,39,45,50,54,56
42,01085,472,26,22,18,14,11
43,01087,194,32,33,34,33,33
44,01089,1430,229,278,317,335,341
45,01091,302,32,30,28,26,24
46,01093,224,22,24,24,24,22
47,01095,1711,133,143,148,148,142
48,01097,4080,415,429,436,436,418
49,01099,235,35,37,39,39,37
50,01101,4127,564,521,466,410,354
51,01103,1102,128,146,158,161,157
52,01105,177,23,23,22,20,18
53,01107,235,22,23,22,21,20
54,01109,429,50,51,50,49,45
55,01111,206,17,17,19,19,20
56,01113,552,71,79,87,89,87
57,01115,382,38,43,49,56,60
58,01117,1284,162,176,185,189,191
59,01119,285,12,11,10,10,9
60,01121,309,88,99,105,111,113
61,01123,591,34,33,32,31,30
62,01125,2288,394,402,394,374,344
63,01127,939,155,157,150,140,122
64,01129,109,11,11,11,11,10
65,01131,291,16,15,13,12,10
66,01133,258,38,39,39,38,36
67,02013,0,0,0,0,0,0
68,02016,0,0,0,0,0,0
69,02020,547,81,100,115,126,133
70,02050,11,5,5,5,6,6
71,02060,0,0,0,0,0,0
72,02068,0,0,0,0,0,0
73,02070,0,0,0,0,0,0
74,02090,166,27,32,36,40,41
