,County,263,269,276,283,290
0,01001,1905,66,69,61,55
1,01003,6203,147,143,138,149
2,01005,942,18,16,10,10
3,01007,736,43,40,40,40
4,01009,1713,62,56,34,35
5,01011,624,8,10,9,10
6,01013,958,29,27,27,29
7,01015,3841,139,131,121,97
8,01017,1242,30,27,19,17
9,01019,670,30,27,21,18
10,01021,1722,65,66,61,54
11,01023,376,9,10,10,12
12,01025,1219,49,50,49,52
13,01027,646,30,29,26,25
14,01029,468,29,31,29,31
15,01031,1532,63,63,59,54
16,01033,1813,78,84,84,86
17,01035,547,6,6,3,4
18,01037,187,5,6,6,4
19,01039,1561,84,65,51,43
20,01041,566,18,16,13,11
21,01043,2047,80,79,70,56
22,01045,1548,37,32,27,22
23,01047,1830,21,20,11,11
24,01049,2838,204,213,206,206
25,01051,2952,105,111,110,105
26,01053,1684,25,26,17,15
27,01055,3791,117,106,92,75
28,01057,511,32,24,22,21
29,01059,1891,43,44,44,46
30,01061,792,45,40,42,43
31,01063,326,7,9,9,11
32,01065,699,23,22,22,24
33,01067,597,26,26,25,25
34,01069,3494,107,109,90,82
35,01071,1818,119,120,119,119
36,01073,21429,733,732,704,717
37,01075,420,24,20,20,20
38,01077,1918,93,101,99,104
39,01079,716,49,49,49,49
40,01081,6292,167,135,83,76
41,01083,2502,207,220,219,220
42,01085,681,14,15,15,16
43,01087,514,15,17,17,17
44,01089,8557,362,349,366,349
45,01091,882,47,48,47,62
46,01093,1019,20,21,16,13
47,01095,4147,98,106,103,104
48,01097,13954,230,222,237,246
49,01099,608,10,10,6,6
50,01101,9244,231,249,254,246
51,01103,3665,198,203,202,203
52,01105,571,13,11,12,13
53,01107,721,35,31,30,31
54,01109,1267,27,26,18,19
55,01111,739,32,35,34,34
56,01113,1854,42,40,39,40
57,01115,2582,103,107,101,90
58,01117,6673,264,265,234,204
59,01119,457,14,14,14,15
60,01121,2401,142,132,107,82
61,01123,1220,23,24,19,17
62,01125,9503,285,251,178,162
63,01127,2533,88,94,93,97
64,01129,605,22,20,20,20
65,01131,553,10,10,9,10
66,01133,826,49,47,44,46
67,02013,15,0,0,1,1
68,02016,96,0,0,0,0
69,02020,5637,717,731,756,791
70,02050,186,52,45,45,49
71,02060,0,0,0,0,0
72,02068,17,1,1,1,2
73,02070,34,0,1,1,1
74,02090,1605,234,242,248,264
75,02100,9,0,0,0,0
76,02105,0,0,0,0,0
77,02110,412,28,22,22,23
78,02122,701,56,53,55,58
79,02130,74,1,1,2,3
80,02150,85,7,8,9,10
81,02158,19,4,3,3,4
82,02164,96,0,0,0,0
83,02170,762,89,86,86,90
84,02180,106,12,15,15,16
85,02185,170,15,13,13,15
86,02188,182,44,37,37,38
87,02195,13,0,0,0,0
88,02198,32,0,0,0,0
89,02220,70,1,1,1,1
90,02230,0,0,0,0,0
