,County,347,353,360,367
0,01001,4305,237,198,155
1,01003,14064,1315,1474,1551
2,01005,1530,118,113,90
3,01007,1882,133,131,129
4,01009,4746,273,285,268
5,01011,900,103,116,131
6,01013,1546,83,95,100
7,01015,9731,545,544,517
8,01017,2402,159,186,189
9,01019,1438,81,80,81
10,01021,3032,189,220,228
11,01023,493,4,3,1
12,01025,2461,162,187,200
13,01027,1158,53,55,53
14,01029,1048,54,58,57
15,01031,3723,279,308,308
16,01033,4766,339,352,347
17,01035,866,37,51,50
18,01037,525,42,51,52
19,01039,2955,134,153,148
20,01041,968,71,75,82
21,01043,7258,518,541,511
22,01045,3423,240,279,290
23,01047,2837,133,154,152
24,01049,7022,301,300,271
25,01051,6671,668,761,785
26,01053,2719,202,240,262
27,01055,10324,697,694,648
28,01057,1460,82,79,74
29,01059,3336,174,190,191
30,01061,1732,137,156,160
31,01063,688,64,72,77
32,01065,1501,131,143,147
33,01067,1296,131,159,177
34,01069,7525,561,664,681
35,01071,5254,303,333,314
36,01073,54012,4063,4213,4127
37,01075,1074,63,65,63
38,01077,6682,585,614,610
39,01079,2115,191,200,197
40,01081,10560,718,820,870
41,01083,7037,550,574,560
42,01085,962,35,41,42
43,01087,1021,63,63,65
44,01089,23364,2248,2496,2522
45,01091,1830,115,112,115
46,01093,2152,158,175,177
47,01095,9314,479,482,444
48,01097,26677,1928,2175,2369
49,01099,1233,135,164,186
50,01101,16446,902,963,1002
51,01103,10974,827,838,792
52,01105,887,62,73,79
53,01107,1774,109,111,110
54,01109,2037,134,156,171
55,01111,1276,53,58,58
56,01113,2866,168,200,217
57,01115,6752,531,587,583
58,01117,16186,1194,1229,1216
59,01119,865,71,77,84
60,01121,5274,337,362,361
61,01123,2411,122,119,117
62,01125,19043,1306,1428,1429
63,01127,5374,346,370,363
64,01129,1224,70,81,86
65,01131,896,49,59,64
66,01133,2031,156,161,160
67,02013,39,0,0,0
68,02016,209,27,32,36
69,02020,23281,759,729,608
70,02050,2676,320,417,391
71,02060,0,0,0,0
72,02068,60,0,0,0
73,02070,126,,,NaN
74,02090,5048,253,273,264
75,02100,22,0,0,0
76,02105,0,0,0,0
77,02110,1059,37,37,34
78,02122,3658,89,74,63
79,02130,245,7,7,6
80,02150,931,,,NaN
81,02158,877,119,176,167
82,02164,160,,,NaN
83,02170,6527,381,411,413
84,02180,280,7,7,6
85,02185,824,35,31,30
86,02188,405,8,8,6
87,02195,31,,,NaN
88,02198,72,,,NaN
89,02220,270,6,6,5
90,02230,17,1,1,1
91,02240,407,,,NaN
92,02261,360,34,47,54
93,02275,25,0,1,0
94,02282,54,1,1,1
95,02290,209,,,NaN
96,04001,7758,403,389,297
97,04003,7873,925,879,867
98,04005,11691,770,764,707
99,04007,4684,320,326,308
100,04009,3414,317,329,311
101,04011,415,37,43,43
102,04012,1609,248,296,319
103,04013,342994,30605,33944,34226
104,04015,13590,1966,2212,2339
105,04017,11865,658,652,575
106,04019,74108,7622,8008,8218
107,04021,29093,2901,3170,3311
108,04023,6262,456,457,392
109,04025,12107,1455,1530,1603
110,04027,28921,2070,2091,1939
111,05001,1338,80,80,73
112,05003,1311,79,82,80
113,05005,2182,163,174,170
114,05007,18801,1367,1438,1412
115,05009,2647,145,148,133
116,05011,975,99,106,97
117,05013,244,31,40,44
118,05015,2123,111,119,111
119,05017,1432,38,41,39
120,05019,1419,120,130,130
121,05021,1343,66,60,51
122,05023,1326,186,227,238
123,05025,583,37,30,19
124,05027,1597,98,96,85
125,05029,1414,200,228,230
126,05031,10299,575,565,527
127,05033,4648,340,390,384
128,05035,4421,223,220,211
129,05037,1465,128,138,134
130,05039,495,38,40,41
131,05041,977,70,70,70
132,05043,1505,92,90,86
133,05045,7991,809,918,937
134,05047,1131,73,83,79
135,05049,911,78,77,75
136,05051,5984,523,560,566
137,05053,1117,153,162,173
138,05055,4523,211,188,165
139,05057,1269,79,77,77
140,05059,3709,209,214,205
141,05061,1124,54,55,54
142,05063,2857,177,186,171
143,05065,1352,141,177,191
144,05067,2839,68,56,45
145,05069,6846,347,366,362
146,05071,1927,190,232,247
147,05073,350,23,26,28
148,05075,1621,104,104,104
149,05077,1459,56,66,69
150,05079,2848,64,67,66
151,05081,840,71,68,53
152,05083,1499,131,153,152
153,05085,4342,368,395,375
154,05087,1058,86,95,96
155,05089,667,61,74,75
156,05091,2818,199,212,226
157,05093,4462,186,166,146
158,05095,510,60,71,74
159,05097,517,49,59,59
160,05099,605,24,21,20
161,05101,564,21,21,20
162,05103,1427,131,137,125
163,05105,468,70,84,91
164,05107,1296,54,53,51
165,05109,709,86,86,94
166,05111,2450,131,116,106
167,05113,1294,93,96,86
168,05115,5726,532,595,594
169,05117,564,58,62,66
170,05119,25760,2023,2183,2199
171,05121,1486,101,106,102
172,05123,2821,132,135,137
173,05125,7888,617,668,644
174,05127,619,88,115,125
175,05129,514,41,43,44
176,05131,9982,762,899,912
177,05133,2105,78,80,76
178,05135,1182,109,114,112
179,05137,780,58,53,57
180,05139,2569,309,355,368
181,05141,780,73,85,88
182,05143,22196,1470,1630,1568
183,05145,5033,619,752,781
184,05147,394,56,73,79
185,05149,2498,201,223,211
186,06001,54518,6661,7373,8347
187,06003,68,2,2,2
188,06005,2613,410,441,476
189,06007,7750,982,1114,1262
190,06009,1230,193,217,256
191,06011,1351,168,183,206
192,06013,41993,4755,5457,6078
193,06015,769,85,98,108
194,06017,5959,793,867,966
195,06019,68740,6387,5506,4516
196,06021,1546,148,162,172
197,06023,1815,243,278,326
198,06025,22867,1014,947,806
199,06027,635,94,97,111
200,06029,70358,7749,8250,9053
201,06031,16515,1170,1222,1231
202,06033,1925,289,299,333
203,06035,4691,513,526,490
204,06037,818639,109313,114606,114985
205,06039,11039,1232,1310,1428
206,06041,10012,609,669,765
207,06043,267,50,67,77
208,06045,2611,240,284,312
209,06047,19444,1350,1144,1002
210,06049,326,30,31,31
211,06051,911,92,93,103
212,06053,28991,3552,3863,4198
213,06055,5994,693,733,797
214,06057,2706,243,258,262
215,06059,168457,26507,29649,33054
216,06061,14182,1265,1022,812
217,06063,486,52,56,61
218,06065,192069,27216,28911,31253
219,06067,67810,6464,6196,6229
220,06069,3853,571,640,700
221,06071,206939,26779,27963,28645
222,06073,168020,19411,18899,19401
223,06075,24414,2277,2655,2906
224,06077,47310,5847,5792,5709
225,06079,11467,1651,1947,2193
226,06081,25483,2732,2980,3350
227,06083,18135,2189,2651,3114
228,06085,74359,10256,11184,11843
229,06087,9340,1408,1641,1820
230,06089,8154,704,787,818
231,06091,47,8,8,8
232,06093,1176,97,116,116
233,06095,19805,2383,2497,2852
234,06097,19761,1761,1835,2001
235,06099,35800,3043,3055,3055
236,06101,6621,588,585,586
237,06103,3344,383,421,429
238,06105,276,13,14,13
239,06107,34479,3054,3028,2838
240,06109,2962,442,432,466
241,06111,43397,6518,7253,8125
242,06113,8571,860,903,943
243,06115,3930,358,349,368
244,08001,40737,1587,1498,1282
245,08003,955,38,40,34
246,08005,38799,1705,1632,1441
247,08007,502,41,46,49
248,08009,198,25,32,36
249,08011,1141,161,155,128
250,08013,14889,603,566,519
251,08014,2859,128,119,107
252,08015,1105,46,34,19
253,08017,89,,,NaN
254,08019,291,20,22,22
255,08021,319,17,16,14
256,08023,163,6,6,5
257,08025,1660,40,30,24
258,08027,150,,,NaN
259,08029,1678,240,226,248
260,08031,48433,1719,1630,1399
261,08033,52,,,NaN
262,08035,15970,753,715,631
263,08037,3426,189,198,193
264,08039,1006,58,54,47
265,08041,42029,1973,1864,1591
266,08043,4751,355,322,309
267,08045,3991,269,260,249
268,08047,129,7,6,5
269,08049,679,55,66,66
270,08051,725,31,21,13
271,08053,14,1,1,0
272,08055,280,11,11,9
273,08057,35,,,NaN
274,08059,30122,1192,1090,949
275,08061,75,,,NaN
276,08063,438,,,NaN
277,08065,437,30,37,37
278,08067,2284,113,111,107
279,08069,15366,662,631,551
280,08071,684,148,207,206
281,08073,786,,,NaN
282,08075,3279,86,67,52
283,08077,9356,543,521,459
284,08079,44,3,2,2
285,08081,547,22,14,9
286,08083,1272,81,80,77
287,08085,2243,232,254,259
288,08087,2160,59,49,37
289,08089,1662,88,84,76
290,08091,155,6,5,5
291,08093,395,28,29,29
292,08095,288,,,NaN
293,08097,1148,144,142,152
294,08099,1017,44,41,37
295,08101,13425,461,393,300
296,08103,274,11,10,9
297,08105,395,23,28,27
298,08107,1075,69,74,72
299,08109,256,4,5,3
300,08111,27,0,0,0
301,08113,400,16,17,18
302,08115,136,,,NaN
303,08117,2166,112,105,97
304,08119,1000,47,48,47
305,08121,349,9,9,7
306,08123,20348,927,863,762
307,08125,559,35,33,33
308,09001,57467,3517,3720,3382
309,09003,47726,2245,2367,2024
310,09005,7645,593,617,588
311,09007,6737,777,837,849
312,09009,48507,2357,2547,2204
313,09011,10981,777,905,863
314,09013,5033,501,573,591
315,09015,5340,700,814,863
316,10001,9600,972,1038,1077
317,10003,34182,2750,2745,2735
318,10005,15563,1187,1293,1320
319,11001,NaN,1719,1782,1808
320,12001,16335,826,943,924
321,12003,2544,135,157,159
322,12005,12261,902,983,1006
323,12007,2235,253,261,298
324,12009,21640,1466,1634,1644
325,12011,141010,6364,6418,6217
326,12013,1278,128,147,152
327,12015,7727,684,774,801
328,12017,6903,480,509,498
329,12019,11798,1039,1155,1198
330,12021,23070,1231,1379,1396
331,12023,6168,416,472,513
332,12027,2946,122,128,124
333,12029,1154,79,109,122
334,12031,63743,4460,4613,4709
335,12033,23206,1399,1420,1402
336,12035,3931,383,467,507
337,12037,948,66,96,106
338,12039,4106,309,403,450
339,12041,1040,76,89,93
340,12043,781,20,19,21
341,12045,1359,98,116,129
342,12047,1299,116,134,153
343,12049,2156,110,130,140
344,12051,3392,205,220,233
345,12053,7677,644,744,751
346,12055,5135,279,300,287
347,12057,80035,4320,4237,4273
348,12059,1735,163,184,190
349,12061,7260,851,1074,1216
350,12063,4754,243,289,290
351,12065,1036,110,135,153
352,12067,1436,23,32,37
353,12069,16261,1684,2025,2238
354,12071,41916,2614,2827,2850
355,12073,20094,1398,1651,1711
356,12075,1938,148,178,183
357,12077,765,63,76,84
358,12079,1574,69,80,82
359,12081,22920,1476,1630,1663
360,12083,18611,1202,1236,1263
361,12085,8044,463,540,566
362,12086,305734,15055,14549,13931
363,12087,4350,172,191,168
364,12089,5041,559,662,709
365,12091,13212,894,932,902
366,12093,2503,157,203,225
367,12095,79165,4995,5238,5430
368,12097,26223,1408,1385,1320
369,12099,85479,3854,3792,3740
370,12101,22879,1492,1441,1449
371,12103,46860,2777,2777,2816
372,12105,38843,2598,2720,2830
373,12107,4149,383,466,509
374,12109,13756,1384,1595,1685
375,12111,14921,1163,1385,1461
376,12113,11656,1153,1344,1418
377,12115,19271,1304,1441,1434
378,12117,18726,1333,1533,1591
379,12119,5350,616,784,893
380,12121,4160,289,344,375
381,12123,2018,120,144,157
382,12125,1480,61,70,70
383,12127,23078,1720,1974,2078
384,12129,2194,172,212,222
385,12131,5072,374,438,449
386,12133,2030,148,168,178
387,13001,1730,140,168,176
388,13003,786,60,70,76
389,13005,1048,90,91,96
390,13007,168,16,20,23
391,13009,3279,233,286,324
392,13011,1268,89,94,91
393,13013,5565,604,686,723
394,13015,8234,785,850,850
395,13017,1515,118,136,145
396,13019,1168,145,168,182
397,13021,10491,933,1131,1258
398,13023,1024,117,128,133
399,13025,1083,95,112,122
400,13027,1006,79,93,102
401,13029,1992,155,177,197
402,13031,4520,275,336,393
403,13033,1604,104,123,133
404,13035,1784,195,221,224
405,13037,378,,,NaN
406,13039,2575,234,274,297
407,13043,712,,,NaN
408,13045,7799,504,544,538
409,13047,3529,324,354,360
410,13049,1048,69,71,78
411,13051,13905,884,1004,1073
