,State,221,227,234,241,248
0,Washington,74320,2438,1770,1240,884
1,Illinois,235058,12224,10596,8199,6111
2,California,705951,33124,24459,16796,11653
3,Arizona,201661,2853,2202,1653,1329
4,Massachusetts,120568,2452,2137,1659,1251
5,Wisconsin,75337,3847,3297,2613,2040
6,Texas,629570,29026,20764,13893,9525
7,Nebraska,34046,2203,2461,2431,2214
8,Utah,51854,1933,1601,1249,978
9,Oregon,26554,1329,1061,809,628
10,Florida,621586,15603,9968,6172,4067
11,New York,434100,2911,2263,1602,1132
12,Rhode Island,21683,1207,1444,1448,1280
13,Georgia,268973,12712,9184,6230,4205
14,New Hampshire,7254,158,158,148,133
15,North Carolina,171487,8770,7304,5627,4316
16,New Jersey,191611,1790,1471,1078,783
17,Colorado,57203,1744,1396,1022,736
18,Maryland,107791,4388,3769,2983,2265
19,Nevada,68908,2904,2099,1485,1069
20,Tennessee,153115,7228,5688,4092,2981
21,Hawaii,8339,1897,1815,1568,1345
22,Indiana,93313,6016,5027,3842,2834
23,Kentucky,48031,6808,6471,5377,4198
24,Minnesota,75189,4827,4753,4381,3821
25,Oklahoma,58119,3698,2977,2193,1619
26,Pennsylvania,138134,3856,2972,2096,1449
27,South Carolina,118324,4118,3101,2254,1688
28,District of Columbia,13959,447,414,363,310
29,Kansas,41761,3061,2819,2310,1796
30,Missouri,84474,6828,5557,4053,2892
31,Vermont,1616,41,35,30,26
32,Virginia,119729,7047,6209,5034,3962
33,Connecticut,52495,580,653,582,460
34,Iowa,64599,4939,4997,4405,3570
35,Louisiana,147867,6285,4247,2858,1852
36,Ohio,122260,5454,4303,3107,2213
37,Michigan,112526,3454,2612,1822,1245
38,South Dakota,13322,1577,1731,1703,1564
39,Arkansas,60856,3713,3345,2746,2277
40,Delaware,17343,552,501,426,341
41,Mississippi,82676,4328,3629,2787,2088
42,New Mexico,25283,892,784,661,537
43,North Dakota,11702,1564,1688,1662,1553
44,Wyoming,3829,231,216,193,172
45,Alaska,5226,465,378,308,261
46,Maine,4514,140,138,130,121
47,Alabama,125235,6892,5458,4100,3094
48,Idaho,31858,2355,1654,1129,779
49,Montana,7340,534,416,310,244
50,Puerto Rico,32848,NaN,NaN,NaN,NaN
51,Virgin Islands,1129,NaN,NaN,NaN,NaN
52,Guam,1287,NaN,NaN,NaN,NaN
53,West Virginia,10109,757,643,521,415
54,Northern Mariana Islands,56,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
