,State,410,416,423,430,437
0,Washington,344532,5655,5478,5429,5505
1,Illinois,1198257,10636,9627,8791,8091
2,California,3599250,28551,25161,22730,21016
3,Arizona,826454,6111,4429,3330,2616
4,Massachusetts,591356,9709,8489,7307,6202
5,Wisconsin,621654,3784,3145,2758,2564
6,Texas,2695558,40754,38838,38050,38189
7,Nebraska,203026,1801,1763,1770,1810
8,Utah,374850,4830,5360,5995,6682
9,Oregon,157285,2205,2073,2059,2156
10,Florida,1944995,34714,32070,30316,29427
11,New York,1694651,45251,38712,32673,27243
12,Rhode Island,128121,1706,1144,814,624
13,Georgia,1023487,16673,14269,12559,11464
14,New Hampshire,76861,2136,2053,2145,2372
15,North Carolina,872176,12608,10059,8611,7997
16,New Jersey,812609,19774,16710,13837,11279
17,Colorado,436612,7268,6516,6113,5996
18,Maryland,387319,4533,4020,3666,3443
19,Nevada,296190,1798,1259,952,790
20,Tennessee,783484,7567,4622,3138,2462
21,Hawaii,28107,297,260,249,259
22,Indiana,667262,4576,3630,2958,2508
23,Kentucky,410709,5848,5018,4503,4252
24,Minnesota,490011,5455,5259,5209,5283
25,Oklahoma,428997,4158,3900,3624,3353
26,Pennsylvania,950773,13889,11506,9801,8586
27,South Carolina,525865,10543,8954,7879,7197
28,District of Columbia,41419,724,570,471,414
29,Kansas,298188,2937,1904,1340,1077
30,Missouri,498008,3017,2762,2634,2616
31,Vermont,16083,840,929,1031,1144
32,Virginia,585700,10612,10444,10335,10293
33,Connecticut,285330,4590,3938,3445,3083
34,Iowa,339672,2761,2262,1931,1731
35,Louisiana,433785,3996,3380,2918,2580
36,Ohio,978471,14064,14829,15084,14721
37,Michigan,656072,9350,7767,6726,6129
38,South Dakota,113589,956,809,682,578
39,Arkansas,324818,4154,3458,3060,2882
40,Delaware,88354,1833,1835,1813,1751
41,Mississippi,297581,2314,1824,1508,1314
42,New Mexico,186922,1933,1685,1442,1218
43,North Dakota,100391,643,633,627,624
44,Wyoming,54764,388,345,326,327
45,Alaska,59285,802,823,862,918
46,Maine,45794,942,729,629,610
47,Alabama,499819,4231,3074,2355,1926
48,Idaho,172931,1823,1647,1555,1535
49,Montana,100914,823,601,480,422
50,Puerto Rico,101327,1255,1366,1526,1739
51,Virgin Islands,2714,NaN,NaN,NaN,NaN
52,Guam,7749,NaN,NaN,NaN,NaN
53,West Virginia,133445,1692,1081,762,612
54,Northern Mariana Islands,145,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
