,State,270,276,283,290,297,304,311
0,Washington,98201,5016,6613,9308,10946,11504,11614
1,Illinois,347631,25943,30581,36109,39284,40339,40864
2,California,875692,20480,19532,20464,21013,21243,21388
3,Arizona,231149,4956,5466,6292,6779,6930,7040
4,Massachusetts,143660,4412,4626,5182,5477,5545,5568
5,Wisconsin,166186,19924,20755,21778,22363,22452,22380
6,Texas,854006,34826,47355,67401,80201,84258,85244
7,Nebraska,58068,5446,6393,7421,8121,8251,8228
8,Utah,94394,7019,6922,6916,6931,6959,7022
9,Oregon,39532,2606,2816,3168,3351,3458,3462
10,Florida,755020,27746,38297,53782,63725,66805,67504
11,New York,484281,10478,11264,13092,14224,14639,14749
12,Rhode Island,27691,1324,1549,1878,2061,2150,2166
13,Georgia,340558,10262,11850,14616,16695,17076,17326
14,New Hampshire,9625,624,689,864,977,1015,1007
15,North Carolina,246028,15101,16466,18980,20435,21011,21208
16,New Jersey,219647,6400,7327,8740,9652,9903,9998
17,Colorado,85279,7339,9159,11590,12687,12150,11265
18,Maryland,135657,4411,4810,5502,5911,6041,6088
19,Nevada,90261,4701,6099,7999,9092,9436,9516
20,Tennessee,228744,13176,13586,14628,15312,15501,15514
21,Hawaii,14031,546,517,491,484,493,489
22,Indiana,147582,14352,17906,22548,25280,25972,25845
23,Kentucky,87607,7785,10223,13945,16274,16997,17132
24,Minnesota,122812,11206,13359,15790,17222,17785,17662
25,Oklahoma,107299,8097,8281,8816,9147,9260,9313
26,Pennsylvania,186754,10939,12346,14559,15899,16435,16590
27,South Carolina,163990,6913,8692,11525,13230,13826,14043
28,District of Columbia,16370,384,292,215,186,183,178
29,Kansas,70268,4668,5278,6177,6688,6778,6862
30,Missouri,158955,10910,12527,14718,15992,16583,16581
31,Vermont,1937,79,107,170,214,226,234
32,Virginia,166138,7447,8190,9665,10753,11055,11269
33,Connecticut,62830,3242,3897,4977,5594,5766,5780
34,Iowa,107334,7884,9040,10686,11500,11831,11953
35,Louisiana,175781,3576,4181,5301,5948,6153,6191
36,Ohio,181787,14726,19033,24973,28485,29523,29745
37,Michigan,161105,13441,17473,23493,26797,27933,28039
38,South Dakota,33269,4226,4636,4895,5022,4980,4982
39,Arkansas,99066,5923,6382,6951,7361,7485,7552
40,Delaware,23093,983,1111,1299,1417,1468,1468
41,Mississippi,110006,4968,6211,7812,8869,9184,9345
42,New Mexico,36788,3853,4780,6027,6694,6932,6939
43,North Dakota,31978,3810,4255,4650,4778,4809,4836
44,Wyoming,9025,1151,1402,1698,1831,1938,1936
45,Alaska,12038,1036,984,964,954,955,955
46,Maine,5937,206,248,337,394,423,430
47,Alabama,172626,7255,8612,10508,11393,11711,11880
48,Idaho,53092,4600,5303,6326,6737,6936,6852
49,Montana,22821,3189,3520,4054,4397,4467,4513
50,Puerto Rico,57293,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,1335,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,3538,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,20081,2076,2778,3848,4481,4657,4565
54,Northern Mariana Islands,86,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
