,State,410,416,423,430,437,444,451
0,Washington,344532,4380,3788,3686,3717,3697,3560
1,Illinois,1198257,10050,10696,11647,12339,12417,12144
2,California,3599250,25418,24607,26129,27445,27447,27127
3,Arizona,826454,5759,5362,5074,4985,4897,4814
4,Massachusetts,591356,9723,10148,10954,11451,11281,10840
5,Wisconsin,621654,3493,3261,3225,3230,3231,3211
6,Texas,2695558,39753,35523,35312,35595,35215,33993
7,Nebraska,203026,1471,1614,1835,1948,1997,1958
8,Utah,374850,2327,1840,1522,1390,1334,1306
9,Oregon,157285,1795,1566,1493,1435,1433,1421
10,Florida,1944995,32466,30330,29150,28668,27966,26995
11,New York,1694651,43694,40651,38084,36595,34976,32996
12,Rhode Island,128121,2239,2697,3324,3711,3732,3630
13,Georgia,1023487,16331,15815,15994,16101,15723,14762
14,New Hampshire,76861,1406,1145,1015,968,934,911
15,North Carolina,872176,12206,10500,9582,9311,9085,8936
16,New Jersey,812609,22584,24712,27005,27717,26933,24851
17,Colorado,436612,8077,9641,11623,12820,12814,12387
18,Maryland,387319,5541,6267,7123,7721,7696,7522
19,Nevada,296190,1879,1937,2077,2146,2157,2148
20,Tennessee,783484,5837,5034,4599,4445,4402,4365
21,Hawaii,28107,335,393,460,515,513,522
22,Indiana,667262,4244,3822,3682,3640,3614,3575
23,Kentucky,410709,4756,4072,3730,3582,3560,3490
24,Minnesota,490011,4424,4346,4414,4490,4506,4424
25,Oklahoma,428997,3207,3127,3347,3516,3555,3467
26,Pennsylvania,950773,15004,15503,16968,17819,17806,17254
27,South Carolina,525865,8056,5466,4006,3362,3174,3086
28,District of Columbia,41419,825,813,807,818,793,781
29,Kansas,298188,1544,1130,944,889,884,878
30,Missouri,498008,2204,2046,2080,2131,2130,2167
31,Vermont,16083,611,624,694,749,737,722
32,Virginia,585700,8267,7262,7082,6976,6907,6879
33,Connecticut,285330,5899,5382,5117,5035,4901,4706
34,Iowa,339672,2273,2187,2214,2250,2247,2226
35,Louisiana,433785,3782,5028,7289,8672,8694,8034
36,Ohio,978471,10430,10312,10888,11252,11148,10911
37,Michigan,656072,11991,15939,21427,24745,24912,24010
38,South Dakota,113589,264,216,184,176,186,196
39,Arkansas,324818,2176,1539,1190,1048,1014,1005
40,Delaware,88354,1818,1669,1561,1508,1468,1422
41,Mississippi,297581,1989,1807,1807,1840,1861,1822
42,New Mexico,186922,1476,1383,1359,1374,1366,1353
43,North Dakota,100391,203,172,146,132,138,145
44,Wyoming,54764,247,201,173,166,166,174
45,Alaska,59285,525,490,470,469,466,463
46,Maine,45794,1137,1352,1699,1852,1909,1881
47,Alabama,499819,3654,3679,3918,4061,4087,3974
48,Idaho,172931,1385,1460,1615,1710,1729,1708
49,Montana,100914,594,486,413,385,381,382
50,Puerto Rico,101327,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,2714,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,7749,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,133445,1177,1010,930,902,897,905
54,Northern Mariana Islands,145,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
