,State,390,395,402,409,416,423,430,437,444
0,Washington,328047,7081,6747,6196,5896,5569,5014,4408,3868
1,Illinois,1163574,8452,5618,3799,2613,1819,1293,933,683
2,California,3491392,50068,39224,32513,28439,25811,24137,22964,22075
3,Arizona,798608,10361,6977,4804,3374,2418,1761,1300,976
4,Massachusetts,559350,10212,7871,6352,5349,4596,3990,3427,2846
5,Wisconsin,607639,4949,3860,3059,2460,2003,1648,1367,1150
6,Texas,2568044,143935,86763,68695,61156,55553,50258,45421,40780
7,Nebraska,197328,1399,1026,823,699,604,517,438,366
8,Utah,361756,4066,2913,2109,1548,1145,856,644,488
9,Oregon,150464,3472,3643,3650,3282,2964,2750,2605,2491
10,Florida,1830988,40546,35471,31293,27897,24829,22138,19593,17379
11,New York,1546408,39166,32985,28222,24481,21351,18688,16365,14349
12,Rhode Island,121787,1367,932,667,502,391,314,257,214
13,Georgia,966807,19616,16913,15162,13986,13101,12221,11373,10389
14,New Hampshire,71017,1159,782,535,371,260,183,131,96
15,North Carolina,824352,34716,36095,37966,39430,39781,38758,36439,33256
16,New Jersey,747432,12683,9198,6739,4978,3694,2766,2079,1575
17,Colorado,414369,4828,3690,2837,2169,1671,1301,1032,831
18,Maryland,371705,4406,3099,2203,1578,1136,822,599,440
19,Nevada,288739,3547,3285,2863,2360,1987,1684,1409,1160
20,Tennessee,758561,10558,8927,7636,6564,5660,4896,4242,3686
21,Hawaii,27089,1136,1691,2485,3540,4841,6284,7614,8519
22,Indiana,649652,6474,4878,3748,2932,2324,1859,1506,1234
23,Kentucky,389521,12483,12415,12595,12745,12630,12223,11613,10709
24,Minnesota,474169,3350,2587,2064,1694,1426,1216,1037,874
25,Oklahoma,414272,10713,9811,8814,7861,7046,6302,5595,4910
26,Pennsylvania,898654,17441,14501,11551,8981,7063,5640,4530,3653
27,South Carolina,489018,15867,13590,11674,9935,8432,7110,5964,4997
28,District of Columbia,39001,778,681,596,521,454,394,341,294
29,Kansas,289828,4311,4349,4159,3960,3875,3825,3650,3267
30,Missouri,487775,4560,4044,3778,3687,3713,3799,3837,3799
31,Vermont,13862,1162,1555,2112,2788,3408,3770,3713,3226
32,Virginia,551538,12531,9768,7768,6317,5194,4295,3594,3016
33,Connecticut,270242,4150,2772,1848,1239,828,553,369,247
34,Iowa,329726,4508,4569,4800,5132,5471,5662,5654,5516
35,Louisiana,420394,7450,6233,5327,4618,4024,3505,3054,2652
36,Ohio,941265,14479,11933,10224,9022,8035,7122,6142,5083
37,Michigan,630408,5758,4584,3799,3287,2911,2567,2243,1963
38,South Dakota,110315,652,606,493,382,288,221,172,135
39,Arkansas,313348,8826,8457,8214,7855,7298,6578,5789,4978
40,Delaware,83239,965,593,367,227,141,88,55,34
41,Mississippi,287980,3075,2102,1463,1035,745,547,408,310
42,New Mexico,180761,2015,1561,1237,1008,833,699,595,513
43,North Dakota,98643,166,105,71,50,39,31,25,21
44,Wyoming,53136,572,697,735,608,523,491,476,458
45,Alaska,56405,1213,985,1056,1210,1245,1281,1371,1471
46,Maine,42677,982,757,604,497,420,365,325,294
47,Alabama,481605,8225,6907,5940,5193,4590,4072,3635,3246
48,Idaho,167483,1169,930,852,693,478,326,236,181
49,Montana,97539,1925,2327,2664,3064,3141,2904,2598,2352
50,Puerto Rico,97837,1333,1547,2286,2770,2305,1951,2075,2405
51,Virgin Islands,2542,27,20,15,12,9,6,5,3
52,Guam,7699,55,59,65,70,77,84,91,99
53,West Virginia,127889,2195,1847,1506,1125,817,607,471,378
54,Northern Mariana Islands,134,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0
