,State,397,402,409,416,423
0,Washington,334962,6378,5944,5573,5237
1,Illinois,1175568,9934,7900,6411,5311
2,California,3536946,25022,13564,7071,3668
3,Arizona,809474,10507,8410,6824,5551
4,Massachusetts,570546,10940,9464,8302,7335
5,Wisconsin,612712,3935,2972,2249,1705
6,Texas,2606513,33026,22228,15788,11966
7,Nebraska,199045,2009,1703,1456,1256
8,Utah,367073,5067,4563,4161,3823
9,Oregon,153135,2394,1980,1635,1349
10,Florida,1872923,38286,33772,30097,27033
11,New York,1597969,45849,40501,35987,32091
12,Rhode Island,123980,1938,1621,1374,1179
13,Georgia,987041,13656,9396,6337,4211
14,New Hampshire,73665,2059,1838,1598,1387
15,North Carolina,844770,20336,17054,14316,12038
16,New Jersey,769109,18610,16062,13843,11916
17,Colorado,421294,6216,5493,4884,4368
18,Maryland,376966,4346,3189,2331,1700
19,Nevada,291145,2004,1331,873,567
20,Tennessee,766089,7650,5967,4700,3747
21,Hawaii,27410,197,138,102,81
22,Indiana,656358,8137,7253,6577,6063
23,Kentucky,397526,7623,6240,5141,4264
24,Minnesota,479591,3797,3051,2438,1942
25,Oklahoma,419853,5680,4528,3843,3446
26,Pennsylvania,917565,18894,16943,15296,13854
27,South Carolina,505589,16319,14495,12938,11610
28,District of Columbia,39755,737,674,625,585
29,Kansas,294080,3649,3095,2656,2296
30,Missouri,491902,4613,4054,3614,3248
31,Vermont,14608,838,767,699,641
32,Virginia,565270,12257,9401,7222,5586
33,Connecticut,275334,4427,3388,2581,1959
34,Iowa,360193,7174,7025,6882,6742
35,Louisiana,424644,3060,1818,1082,669
36,Ohio,955378,10754,7995,5989,4546
37,Michigan,637928,6082,5199,4535,4036
38,South Dakota,111334,734,632,549,480
39,Arkansas,315759,3622,2757,2162,1741
40,Delaware,85090,1573,1294,1073,896
41,Mississippi,290874,3276,2728,2427,2265
42,New Mexico,183023,2474,2181,1936,1729
43,North Dakota,99312,416,359,312,272
44,Wyoming,53900,366,288,233,192
45,Alaska,57738,958,793,687,617
46,Maine,43594,601,377,237,153
47,Alabama,487520,5155,3619,2558,1865
48,Idaho,169584,1254,960,740,575
49,Montana,98810,1241,1079,942,825
50,Puerto Rico,99257,1144,887,699,563
51,Virgin Islands,2579,45,37,29,22
52,Guam,7727,33,28,25,21
53,West Virginia,129854,1838,1498,1254,1066
54,Northern Mariana Islands,143,7,5,2,1
55,American Samoa,0,0,0,0,0
