,State,235,241,248,255,262,269,276
0,Washington,79826,3317,3279,3218,3134,3027,2914
1,Illinois,263459,11010,10803,10448,9977,9409,8769
2,California,761728,23373,21927,20586,19331,18049,16665
3,Arizona,208512,2197,2048,1905,1777,1682,1603
4,Massachusetts,124826,2210,2259,2296,2316,2324,2304
5,Wisconsin,89185,5335,5088,4808,4500,4178,3854
6,Texas,681885,18193,16366,14673,13135,11736,10460
7,Nebraska,38188,1548,1488,1415,1320,1227,1130
8,Utah,57875,1755,1601,1460,1325,1195,1081
9,Oregon,29337,2469,2428,2371,2300,2225,2145
10,Florida,663994,14655,12906,11397,10080,8942,7934
11,New York,444365,6840,7238,7655,8036,8327,8506
12,Rhode Island,22905,964,1121,1221,1266,1261,1209
13,Georgia,294314,8106,7283,6507,5800,5144,4548
14,New Hampshire,7696,331,353,371,387,396,398
15,North Carolina,189768,7392,7775,8943,10249,11093,11190
16,New Jersey,196634,3525,4253,5792,8044,10516,12462
17,Colorado,61293,2381,2354,2306,2241,2166,2077
18,Maryland,116110,3352,3590,4310,5340,6374,7124
19,Nevada,73537,1433,1268,1143,1046,965,894
20,Tennessee,171824,6954,6342,5750,5173,4642,4146
21,Hawaii,10700,1306,1436,1542,1569,1526,1437
22,Indiana,105804,6178,6126,5979,5752,5459,5139
23,Kentucky,56945,3832,4245,4562,4703,4645,4421
24,Minnesota,84311,4042,3865,3660,3439,3211,2979
25,Oklahoma,69354,4956,4683,4379,4043,3718,3395
26,Pennsylvania,149184,6484,6691,6860,6955,6952,6818
27,South Carolina,131864,2263,1972,1738,1548,1378,1222
28,District of Columbia,14592,298,285,273,259,242,230
29,Kansas,48766,3170,3032,2858,2663,2458,2255
30,Missouri,103997,7002,6622,6193,5712,5231,4749
31,Vermont,1684,127,134,142,145,149,149
32,Virginia,133742,5974,5858,5656,5407,5102,4789
33,Connecticut,54326,1133,1164,1190,1197,1198,1187
34,Iowa,74676,2912,3086,3370,3588,3605,3444
35,Louisiana,157455,2517,2279,2067,1876,1691,1512
36,Ohio,137405,8489,8231,7918,7540,7125,6686
37,Michigan,123058,6873,6984,7005,6942,6785,6549
38,South Dakota,16638,400,363,328,297,268,239
39,Arkansas,70219,2551,2371,2190,2002,1822,1645
40,Delaware,18849,396,377,354,335,315,292
41,Mississippi,89874,2716,2427,2160,1918,1699,1503
42,New Mexico,26761,746,866,1080,1355,1640,1873
43,North Dakota,15577,817,751,680,608,541,480
44,Wyoming,4346,320,321,315,305,292,274
45,Alaska,6268,702,685,658,630,592,555
46,Maine,4863,283,306,326,344,355,363
47,Alabama,138755,4493,4036,3596,3198,2837,2515
48,Idaho,35279,1960,1848,1725,1589,1456,1320
49,Montana,9021,735,714,684,650,612,570
50,Puerto Rico,37380,1163,1168,1147,1103,1041,972
51,Virgin Islands,1220,16,15,15,16,17,18
52,Guam,1863,40,43,42,40,37,33
53,West Virginia,12705,1346,1391,1418,1408,1371,1316
54,Northern Mariana Islands,60,0,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
