,State,235,241,248,255,262,269,276,283,290,297,304,311,318,325,332
0,Washington,79476,3230,3303,3341,3349,3327,3277,3200,3099,2977,2837,2684,2521,2353,2182
1,Illinois,261999,13216,13623,13694,13426,12849,12013,10990,9854,8677,7520,6428,5429,4540,3765
2,California,758933,20864,17180,13757,11392,9165,7450,6044,4876,3950,3188,2574,2078,1675,1351
3,Arizona,208128,2380,1795,1334,985,725,532,390,285,209,153,111,81,59,43
4,Massachusetts,124540,1815,1746,1515,1360,1203,1065,941,830,731,644,566,497,437,383
5,Wisconsin,87603,10753,14889,19362,23201,25192,24551,21496,17105,12592,8745,5829,3779,2406,1514
6,Texas,677716,24007,23128,21813,20206,18420,16548,14673,12859,11155,9591,8183,6936,5847,4905
7,Nebraska,38120,2713,3155,3460,3760,3957,4057,4042,3913,3685,3381,3028,2653,2280,1928
8,Utah,57247,3177,3333,3441,3516,3538,3516,3447,3335,3186,3007,2805,2589,2366,2143
9,Oregon,29156,1254,1159,1053,978,891,817,748,682,623,568,517,471,428,389
10,Florida,661571,17560,16236,14883,13546,12206,10929,9718,8591,7556,6616,5769,5014,4344,3754
11,New York,443640,3907,2970,2230,1668,1245,928,691,514,382,284,211,157,117,87
12,Rhode Island,22905,336,319,263,228,193,164,139,118,100,84,71,60,50,43
13,Georgia,292905,10300,7934,5980,4446,3274,2395,1743,1264,914,660,475,342,246,177
14,New Hampshire,7652,315,416,546,711,916,1162,1449,1765,2093,2401,2653,2811,2850,2761
15,North Carolina,183738,7825,7218,6552,5868,5193,4549,3949,3401,2910,2474,2094,1765,1482,1241
16,New Jersey,196337,2971,3402,3855,4357,4884,5436,5999,6560,7101,7603,8045,8408,8673,8826
17,Colorado,60876,1606,1594,1475,1396,1305,1220,1138,1059,985,913,846,782,722,666
18,Maryland,115533,3310,2701,2179,1743,1387,1098,866,682,535,419,328,256,200,156
19,Nevada,73220,1532,1125,821,596,430,310,223,160,115,82,59,42,30,22
20,Tennessee,170891,7041,5562,4303,3281,2475,1853,1379,1021,754,556,409,300,220,161
21,Hawaii,10588,715,520,375,269,192,137,97,69,49,35,25,18,12,9
22,Indiana,104561,6440,7051,7534,7852,7976,7894,7612,7159,6575,5908,5205,4506,3842,3234
23,Kentucky,56415,5725,7366,9109,10745,11995,12585,12367,11389,9873,8116,6384,4849,3585,2599
24,Minnesota,83588,2801,1977,1413,1002,710,503,355,251,177,125,88,62,44,31
25,Oklahoma,68659,6344,6686,6911,6994,6921,6704,6358,5911,5394,4839,4275,3726,3209,2735
26,Pennsylvania,148635,5104,4828,4458,4135,3809,3502,3210,2935,2677,2437,2215,2009,1819,1645
27,South Carolina,129978,5285,4708,4059,3511,2993,2541,2143,1800,1505,1255,1043,865,716,592
28,District of Columbia,14493,196,143,104,75,54,39,28,20,15,11,8,5,4,3
29,Kansas,48658,2555,1997,1537,1171,885,665,497,371,276,205,152,112,83,61
30,Missouri,102290,11358,11577,12195,13540,13067,14169,14134,13775,14211,13237,12984,12356,11264,10729
31,Vermont,1677,30,28,25,23,20,18,17,15,14,12,11,10,9,8
32,Virginia,132868,6878,5626,4058,2683,1662,992,578,332,189,107,61,34,19,11
33,Connecticut,54326,1297,1898,2694,3684,5167,7000,9329,12149,15179,18150,20470,21545,21032,18966
34,Iowa,74205,5793,4952,4773,4835,4100,4088,3717,3279,3147,2732,2480,2257,1952,1773
35,Louisiana,156174,4320,3923,3586,3240,2901,2586,2287,2013,1764,1538,1337,1158,1001,863
36,Ohio,136568,7720,8203,8578,8832,8952,8932,8772,8482,8079,7585,7026,6427,5811,5200
37,Michigan,123058,5304,5192,4695,4334,3948,3589,3250,2933,2639,2369,2121,1895,1690,1504
38,South Dakota,16437,1568,1478,1339,1172,998,828,674,539,425,332,257,198,151,115
39,Arkansas,69710,6563,8097,9636,10934,11694,11780,11147,9942,8406,6790,5284,3994,2952,2147
40,Delaware,18726,874,956,1053,1133,1206,1262,1298,1312,1304,1272,1221,1152,1070,980
41,Mississippi,89620,3526,3560,3476,3291,3027,2712,2373,2033,1710,1418,1160,940,755,602
42,New Mexico,26661,824,988,1169,1365,1572,1781,1980,2157,2296,2386,2418,2389,2300,2161
43,North Dakota,15151,2172,2370,2400,2253,1969,1615,1257,938,679,480,334,230,157,107
44,Wyoming,4297,264,283,274,272,266,260,253,244,235,226,216,205,195,184
45,Alaska,6207,644,725,809,891,967,1035,1088,1125,1142,1138,1114,1071,1012,940
46,Maine,4834,241,327,439,587,777,1015,1307,1648,2025,2412,2765,3036,3178,3163
47,Alabama,137646,5102,3881,2874,2097,1515,1087,776,552,392,278,196,139,98,69
48,Idaho,35167,1594,1501,1338,1205,1068,944,828,723,629,545,470,405,348,298
49,Montana,8925,932,1051,1159,1250,1317,1352,1353,1318,1253,1161,1053,935,815,699
50,Puerto Rico,37092,2204,2228,2092,2001,1885,1768,1649,1529,1411,1296,1186,1081,981,888
51,"Virgin Islands, U.S.",1211,22,13,7,4,2,1,1,0,0,0,0,0,0,0
52,Guam,1863,223,190,153,125,100,80,64,51,40,32,25,20,16,12
53,West Virginia,12528,1351,1420,1467,1511,1537,1552,1551,1536,1508,1467,1414,1352,1282,1206
54,Northern Mariana Islands,60,1,1,1,1,1,0,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
