,State,284,290,297,304,311,318,325,332,339,346,353,360,367,374,381
0,Washington,107501,6073,6466,7391,7893,8664,9427,10003,10767,11310,11855,12321,12612,12854,12910
1,Illinois,408648,35569,32926,28502,23241,18036,13463,9759,6925,4840,3346,2297,1568,1067,724
2,California,932143,33767,35930,38596,40609,42241,43291,43719,43499,42639,41191,39233,36866,34204,31361
3,Arizona,245946,12423,16671,20822,23782,24507,22680,18967,14549,10430,7117,4694,3026,1922,1210
4,Massachusetts,158576,11252,13917,16666,18997,20600,21188,20652,19135,16943,14427,11893,9551,7514,5817
5,Wisconsin,225369,34564,34221,30566,24833,18624,13157,8899,5844,3764,2393,1510,947,593,370
6,Texas,932261,50749,54228,55579,54629,51524,46740,40928,34746,28733,23250,18484,14492,11237,8640
7,Nebraska,70732,8871,9840,9695,8810,7327,5681,4163,2926,1997,1335,881,576,374,242
8,Utah,114656,13174,13289,11856,9458,6886,4684,3039,1912,1180,719,435,262,157,94
9,Oregon,44921,4273,5493,6864,8272,9542,10462,10847,10608,9794,8570,7151,5733,4450,3368
10,Florida,802547,30856,33641,35811,37011,37182,36263,34366,31688,28487,25029,21550,18234,15201,12516
11,New York,507543,17944,22543,27459,32210,36145,38586,39041,37401,33986,29424,24418,19559,15225,11588
12,Rhode Island,32874,2035,1398,928,603,387,246,156,98,62,39,24,15,10,6
13,Georgia,360790,13561,15339,17000,18342,19228,19567,19309,18485,17188,15552,13727,11852,10041,8369
14,New Hampshire,11084,803,848,840,842,833,821,803,781,756,726,694,660,624,588
15,North Carolina,274635,20173,22997,24755,25054,23813,21309,18058,14604,11369,8589,6343,4605,3303,2348
16,New Jersey,237886,13138,15437,17345,18511,18692,17840,16127,13875,11434,9091,7024,5308,3943,2893
17,Colorado,107327,17372,20932,23076,23049,20832,17174,13105,9417,6477,4321,2825,1822,1165,740
18,Maryland,145281,6991,8249,9404,10307,10818,10847,10385,9510,8358,7083,5820,4660,3655,2820
19,Nevada,100761,7020,8012,8780,9397,9661,9571,9132,8378,7421,6360,5296,4304,3428,2685
20,Tennessee,260672,11374,7309,4564,2801,1701,1027,617,370,222,133,79,48,28,17
21,Hawaii,15071,474,425,380,338,299,263,231,203,177,154,134,116,101,87
22,Indiana,179358,24898,29305,30622,28217,23100,17124,11774,7678,4836,2978,1809,1090,653,390
23,Kentucky,107219,15017,17431,18285,17228,14643,11383,8244,5666,3756,2430,1547,975,611,381
24,Minnesota,148472,23694,30628,33907,31535,24824,17053,10633,6231,3518,1945,1063,577,312,168
25,Oklahoma,122762,6881,5844,4967,4131,3395,2762,2226,1783,1419,1125,889,700,550,431
26,Pennsylvania,212791,18028,20358,22184,23245,23369,22532,20860,18595,16023,13405,10940,8749,6883,5345
27,South Carolina,176612,7305,7453,7544,7496,7356,7120,6797,6406,5963,5486,4993,4499,4018,3560
28,District of Columbia,17266,763,1001,1265,1523,1731,1842,1826,1686,1457,1188,923,691,503,358
29,Kansas,82783,10507,13614,15380,14867,12317,8943,5882,3619,2135,1229,697,392,219,123
30,Missouri,185992,17875,19919,20587,20368,19054,16979,14468,11865,9427,7303,5547,4151,3071,2253
31,Vermont,2179,123,114,106,97,90,82,75,69,63,57,52,47,43,39
32,Virginia,181190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Connecticut,71207,5643,6275,6727,6904,6768,6340,5690,4913,4101,3328,2638,2054,1576,1196
34,Iowa,128510,21521,26412,23691,15800,8511,4054,1816,791,341,146,62,27,11,5
35,Louisiana,182270,1966,1189,716,430,257,154,92,55,33,20,12,7,4,2
36,Ohio,215697,24950,30277,35264,39399,41916,42350,40589,36970,32135,26808,21606,16933,12980,9782
37,Michigan,197406,30064,35543,49530,55727,66113,74401,71730,72593,61579,50174,39389,27133,19315,12760
38,South Dakota,45992,9093,6966,3767,1651,655,250,94,35,13,5,2,1,0,0
39,Arkansas,112190,7549,7718,7563,7318,6812,6198,5503,4768,4058,3392,2794,2275,1834,1466
40,Delaware,24951,1301,1488,1637,1724,1735,1668,1533,1352,1149,946,759,597,461,352
41,Mississippi,120160,6167,5881,5292,4512,3672,2877,2187,1624,1186,855,611,433,306,216
42,New Mexico,46490,5308,4799,4115,3374,2667,2047,1536,1133,826,596,427,305,217,154
43,North Dakota,43916,7272,5965,3861,2181,1121,552,265,126,60,28,13,6,3,1
44,Wyoming,13298,2977,3272,3325,3091,2652,2119,1598,1154,807,551,371,247,163,108
45,Alaska,16355,2918,4157,4634,5121,5928,5295,5218,4336,3280,2581,1700,1179,783,484
46,Maine,6662,851,1461,2468,4039,6298,9102,11800,13304,12830,10653,7821,5252,3325,2028
47,Alabama,192285,10416,10598,10530,10047,9273,8287,7196,6094,5051,4113,3300,2618,2057,1605
48,Idaho,64608,4691,3236,2117,1342,835,513,313,190,115,70,42,25,15,9
49,Montana,32801,6197,6449,6198,5620,4752,3792,2889,2113,1504,1048,719,489,329,221
50,Puerto Rico,66128,5056,5095,5177,5092,4933,4681,4362,3994,3600,3199,2806,2434,2091,1781
51,"Virgin Islands, U.S.",1376,99,339,1020,2139,2220,1042,302,74,17,4,1,0,0,0
52,Guam,4628,322,207,129,79,48,29,18,11,6,4,2,1,1,0
53,West Virginia,24460,3785,4938,6034,6808,7017,6579,5637,4465,3320,2354,1612,1079,710,463
54,Northern Mariana Islands,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
