,State,256,262,269,276,283,290,297,304,311,318,325,332,339,346,353
0,Washington,89419,3804,4195,4678,5068,5595,6156,6720,7389,8094,8848,9691,10586,11555,12608
1,Illinois,302782,14433,14708,14789,14907,14995,15067,15124,15162,15183,15187,15173,15141,15092,15026
2,California,829521,22803,22471,22123,21760,21383,20992,20588,20174,19750,19317,18878,18433,17984,17531
3,Arizona,220399,3425,3303,3181,3067,2954,2844,2738,2634,2533,2436,2341,2250,2161,2076
4,Massachusetts,134303,4669,5696,6974,8398,10215,12389,14945,18067,21764,26130,31313,37356,44367,52431
5,Wisconsin,130798,19063,21499,24076,26752,29469,32150,34709,37049,39070,40676,41786,42341,42308,41689
6,Texas,787425,32009,33122,34207,35249,36242,37177,38047,38844,39560,40189,40725,41161,41494,41720
7,Nebraska,47403,3675,4011,4361,4722,5090,5460,5825,6180,6517,6830,7110,7351,7546,7689
8,Utah,76225,7111,7539,7960,8367,8753,9111,9434,9715,9949,10130,10254,10318,10321,10262
9,Oregon,34511,2071,2239,2421,2614,2822,3044,3282,3535,3805,4091,4395,4716,5055,5412
10,Florida,714591,17379,16811,16222,15631,15041,14456,13877,13305,12743,12192,11653,11127,10615,10117
11,New York,463360,9549,11767,14487,17810,21856,26761,32679,39773,48212,58157,69740,83041,98047,114617
12,Rhode Island,25076,798,874,956,1044,1138,1238,1344,1456,1572,1694,1819,1948,2078,2209
13,Georgia,322169,7524,6674,5876,5189,4573,4031,3551,3128,2754,2425,2134,1878,1653,1454
14,New Hampshire,8597,357,440,541,665,817,1002,1228,1501,1832,2230,2706,3270,3934,4706
15,North Carolina,216886,9306,9495,9619,9639,9780,9836,9912,9991,10045,10108,10159,10203,10243,10275
16,New Jersey,207576,5539,6816,8375,10271,12568,15337,18651,22588,27219,32603,38769,45705,53339,61512
17,Colorado,72533,4335,4464,4586,4707,4829,4949,5068,5186,5301,5415,5525,5633,5737,5838
18,Maryland,126819,3628,3654,3602,3574,3536,3498,3458,3417,3375,3331,3286,3241,3194,3146
19,Nevada,81708,3524,3900,4308,4746,5214,5710,6231,6774,7334,7905,8478,9046,9599,10126
20,Tennessee,199595,8511,8077,7574,7161,6734,6336,5960,5598,5259,4936,4630,4342,4069,3813
21,Hawaii,12734,740,740,739,738,735,732,729,724,719,714,708,701,694,686
22,Indiana,124059,8460,9893,11535,13406,15521,17891,20519,23395,26496,29784,33195,36648,40039,43245
23,Kentucky,72001,6616,7452,8369,9368,10444,11594,12807,14070,15367,16675,17968,19215,20381,21433
24,Minnesota,102787,8097,9031,10041,11125,12281,13502,14778,16095,17436,18779,20100,21369,22557,23632
25,Oklahoma,90748,7121,6813,6499,6182,5865,5549,5238,4932,4634,4345,4066,3798,3542,3298
26,Pennsylvania,166238,7450,8258,9117,10066,11104,12236,13472,14815,16273,17851,19554,21385,23347,25441
27,South Carolina,150891,6477,6648,6810,6962,7099,7221,7327,7414,7483,7532,7562,7571,7560,7528
28,District of Columbia,15473,272,259,246,233,221,210,199,188,178,169,160,151,143,135
29,Kansas,60725,4359,4473,4648,4797,4954,5104,5250,5391,5525,5652,5771,5881,5981,6071
30,Missouri,132630,7113,6130,5258,4518,3876,3325,2851,2443,2094,1793,1536,1315,1125,963
31,Vermont,1778,51,69,95,130,177,242,331,451,614,834,1130,1525,2048,2732
32,Virginia,150583,5105,4761,4375,4032,3700,3391,3102,2832,2583,2351,2138,1942,1763,1598
