,State,214,220,227,234,241,248,255,262,269,276,283,290,297,304,311
0,Washington,70595,3872,3683,3498,3321,3150,2986,2828,2677,2533,2395,2263,2137,2018,1904
1,Illinois,219701,14595,15782,17020,18338,19728,21189,22720,24316,25974,27686,29446,31243,33066,34902
2,California,664435,42853,34967,28505,23216,18891,15360,12481,10136,8229,6678,5418,4394,3564,2890
3,Arizona,197895,4073,3118,2275,1690,1247,922,681,503,371,274,203,150,110,82
4,Massachusetts,125360,2265,2202,2140,2078,2017,1956,1897,1838,1781,1724,1669,1615,1561,1509
5,Wisconsin,70009,5882,6057,6224,6387,6545,6697,6842,6980,7110,7231,7342,7443,7532,7610
6,Texas,589349,42278,38995,35875,32934,30176,27599,25201,22976,20919,19022,17278,15678,14212,12872
7,Nebraska,31780,1538,1421,1312,1210,1115,1026,943,867,796,730,669,613,561,514
8,Utah,48814,2484,2498,2507,2512,2514,2512,2507,2498,2486,2470,2452,2430,2405,2377
9,Oregon,24710,1690,1604,1521,1442,1366,1293,1224,1158,1094,1034,977,922,871,821
10,Florida,597597,27137,21968,17738,14319,11553,9317,7512,6054,4879,3931,3166,2550,2054,1654
11,New York,429165,4477,4286,4100,3921,3748,3581,3421,3267,3119,2977,2841,2710,2584,2464
12,Rhode Island,21022,614,593,577,559,542,525,509,493,477,461,446,431,417,403
13,Georgia,252222,16580,14570,12792,11215,9820,8591,7509,6558,5724,4993,4353,3793,3304,2878
14,New Hampshire,7094,111,87,69,55,43,34,27,21,17,13,11,8,7,5
15,North Carolina,153640,9754,10046,10242,10470,10678,10883,11080,11269,11450,11621,11782,11932,12071,12197
16,New Jersey,189346,2268,2145,2069,1980,1901,1824,1749,1677,1608,1542,1478,1416,1357,1300
17,Colorado,54864,1879,1608,1376,1177,1006,860,735,628,536,458,391,334,285,243
18,Maryland,103523,3854,3479,3136,2824,2541,2285,2054,1844,1655,1485,1332,1194,1070,959
19,Nevada,65069,4548,4260,3984,3719,3466,3226,2999,2785,2583,2393,2215,2049,1894,1749
20,Tennessee,142083,9588,8685,7809,7033,6322,5679,5098,4574,4101,3675,3292,2947,2638,2360
21,Hawaii,6356,1724,1937,2171,2427,2705,3003,3321,3657,4007,4369,4735,5100,5457,5797
22,Indiana,85317,5852,5684,5510,5334,5157,4979,4801,4623,4447,4273,4100,3931,3764,3601
23,Kentucky,43066,4943,5416,5897,6420,6978,7572,8202,8869,9569,10303,11067,11857,12668,13497
24,Minnesota,68867,4500,4470,4431,4387,4337,4282,4222,4157,4088,4015,3938,3858,3775,3690
25,Oklahoma,52599,5195,5412,5626,5834,6033,6222,6398,6560,6707,6835,6944,7032,7099,7143
26,Pennsylvania,133160,4708,4397,4102,3824,3566,3323,3097,2886,2688,2504,2331,2171,2021,1881
27,South Carolina,111295,5680,5279,4893,4527,4182,3858,3554,3270,3006,2760,2532,2321,2125,1945
28,District of Columbia,13534,418,403,400,393,387,381,374,368,361,355,348,342,335,328
29,Kansas,37388,4201,4844,5562,6374,7291,8317,9461,10726,12114,13624,15248,16975,18783,20647
30,Missouri,74952,8280,8212,8145,8060,7972,7872,7766,7652,7530,7402,7268,7129,6984,6835
31,Vermont,1553,47,49,52,54,56,59,62,64,67,70,73,77,80,84
32,Virginia,112068,5962,5633,5288,4956,4632,4318,4016,3728,3453,3193,2947,2716,2499,2297
33,Connecticut,51519,295,227,175,134,103,79,61,46,36,27,21,16,12,9
34,Iowa,55996,4674,5354,6113,6953,7877,8881,9960,11103,12294,13514,14733,15920,17038,18048
35,Louisiana,141720,3523,2393,1589,1064,714,475,319,213,142,95,64,43,28,19
36,Ohio,114165,6466,6023,5605,5188,4827,4476,4153,3854,3574,3315,3073,2849,2641,2447
37,Michigan,106044,4574,4355,4246,4062,3911,3771,3620,3487,3352,3223,3100,2979,2864,2753
38,South Dakota,11135,1122,1429,1808,2284,2880,3618,4530,5643,6986,8583,10448,12574,14926,17428
39,Arkansas,56199,3856,3560,3254,2984,2730,2496,2280,2082,1900,1732,1579,1439,1310,1193
40,Delaware,16828,512,495,489,479,471,463,454,446,437,428,420,411,403,394
41,Mississippi,77268,5650,5715,5759,5784,5788,5772,5735,5679,5604,5512,5402,5277,5139,4988
42,New Mexico,24302,962,879,802,733,668,609,555,506,461,419,382,347,316,287
43,North Dakota,9736,1351,1532,1731,1949,2183,2432,2693,2963,3236,3506,3765,4007,4221,4401
44,Wyoming,3543,350,400,457,521,594,675,766,866,977,1099,1232,1375,1528,1690
45,Alaska,4677,553,566,578,590,601,612,621,630,639,646,652,657,662,665
46,Maine,4318,194,231,287,349,424,517,629,765,931,1131,1373,1664,2015,2435
47,Alabama,114532,6102,5286,4556,3937,3392,2923,2517,2167,1864,1604,1379,1186,1019,876
48,Idaho,29659,1989,1570,1238,975,768,604,475,373,293,230,181,142,111,87
49,Montana,6376,735,718,696,676,655,635,616,596,577,558,540,522,504,487
50,Puerto Rico,29577,3800,3646,3491,3336,3182,3030,2880,2734,2591,2452,2318,2188,2063,1942
51,"Virgin Islands, U.S.",932,244,303,377,465,569,689,823,968,1119,1266,1399,1506,1575,1599
52,Guam,767,367,644,1135,1971,3362,5552,8698,12548,16072,17658,16346,12852,8847,5541
53,West Virginia,9185,782,750,720,690,661,633,605,579,553,528,505,481,459,438
54,Northern Mariana Islands,54,1,1,1,1,1,1,1,1,0,0,0,0,0,0
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
