,State,235,241,248,255,262,269,276,283,290,297,304,311,318,325,332
0,Washington,79476,3165,3235,3302,3369,3434,3497,3559,3619,3676,3732,3785,3835,3882,3927
1,Illinois,261999,12642,12106,12081,11737,11412,11286,10916,10704,10477,10164,9969,9701,9447,9234
2,California,758933,22176,18681,15541,12973,10840,9033,7542,6290,5246,4376,3649,3043,2538,2116
3,Arizona,208128,2946,2827,2657,2496,2366,2222,2097,1976,1861,1754,1651,1555,1464,1378
4,Massachusetts,124540,2527,2774,3044,3338,3656,4001,4374,4775,5207,5671,6166,6693,7253,7844
5,Wisconsin,87603,7640,8775,10378,11574,13379,15375,17350,19893,22569,25481,28870,32431,36334,40596
6,Texas,677716,21261,18493,15950,13719,11829,10191,8777,7559,6509,5605,4825,4154,3576,3078
7,Nebraska,38120,2175,2192,2204,2212,2219,2222,2223,2221,2216,2209,2199,2186,2171,2153
8,Utah,57247,3152,3355,3561,3758,3987,4210,4447,4695,4947,5211,5481,5759,6043,6333
9,Oregon,29156,1309,1244,1163,1092,1027,962,904,848,796,747,701,657,617,578
10,Florida,661571,18235,17381,16483,15642,14827,14045,13296,12579,11894,11239,10615,10020,9454,8917
11,New York,443640,5323,5687,5837,6218,6520,6761,7199,7461,7855,8266,8587,9080,9464,9910
12,Rhode Island,22905,341,274,230,186,154,126,103,85,70,57,47,39,32,26
13,Georgia,292905,12311,11396,10452,9598,8826,8090,7426,6808,6239,5718,5237,4795,4389,4017
14,New Hampshire,7652,222,253,286,324,367,415,470,532,602,681,771,871,984,1112
15,North Carolina,183738,8096,7313,6575,5877,5293,4739,4251,3813,3416,3063,2744,2459,2203,1973
16,New Jersey,196337,2690,2951,3220,3499,3814,4153,4516,4912,5338,5798,6294,6827,7399,8013
17,Colorado,60876,1906,2086,2281,2493,2722,2970,3237,3525,3833,4164,4517,4893,5292,5714
18,Maryland,115533,4298,4456,4592,4734,4876,5020,5171,5319,5472,5626,5781,5938,6096,6256
19,Nevada,73220,1924,1626,1337,1121,932,775,646,537,447,372,309,257,214,178
20,Tennessee,170891,8785,8390,7898,7516,7125,6728,6377,6029,5694,5383,5081,4794,4524,4265
21,Hawaii,10588,870,650,486,363,271,202,151,113,84,63,47,35,26,19
22,Indiana,104561,5748,5565,5337,5118,4924,4716,4526,4339,4156,3982,3813,3649,3492,3340
23,Kentucky,56415,4078,3864,3636,3386,3193,2984,2796,2620,2450,2294,2145,2006,1875,1752
24,Minnesota,83588,3800,3229,2740,2324,1969,1668,1412,1195,1011,855,723,611,516,436
25,Oklahoma,68659,6006,6170,6319,6454,6572,6672,6754,6815,6855,6874,6872,6847,6802,6736
26,Pennsylvania,148635,5774,6304,6558,6943,7456,7768,8286,8777,9217,9810,10330,10901,11545,12143
27,South Carolina,129978,4292,3424,2728,2172,1728,1374,1092,868,690,548,435,345,274,218
28,District of Columbia,14493,250,219,191,167,146,128,112,97,85,74,65,57,50,43
29,Kansas,48658,2723,2152,1699,1341,1057,833,656,517,407,320,252,198,156,123
30,Missouri,102290,9320,9280,9217,9132,9024,8893,8742,8572,8384,8180,7962,7732,7492,7243
31,Vermont,1677,29,23,19,17,13,11,9,8,7,5,4,4,3,3
32,Virginia,132868,7200,7193,7133,7019,6856,6648,6400,6120,5814,5489,5151,4808,4465,4126
33,Connecticut,54326,520,399,307,236,181,140,107,83,63,49,38,29,22,17
34,Iowa,74205,4662,4155,3694,3278,2904,2569,2269,2002,1764,1553,1366,1201,1055,926
35,Louisiana,156174,4036,3977,3824,3586,3509,3326,3171,3063,2904,2783,2666,2536,2429,2318
36,Ohio,136568,6956,6402,5890,5414,4974,4566,4188,3840,3518,3222,2949,2698,2468,2256
37,Michigan,123058,6993,7488,8035,8612,9230,9885,10580,11318,12100,12926,13799,14719,15687,16704
38,South Dakota,16437,1679,1577,1476,1378,1283,1191,1103,1020,941,866,796,731,670,613
39,Arkansas,69710,4092,4032,3942,3822,3745,3637,3541,3445,3345,3249,3152,3057,2962,2868
40,Delaware,18726,987,1301,1713,2234,2910,3777,4872,6240,7922,9941,12298,14948,17787,20642
41,Mississippi,89620,3030,2523,2100,1727,1437,1187,982,814,672,557,460,381,315,260
42,New Mexico,26661,620,547,480,417,367,320,280,245,214,187,164,143,125,109
43,North Dakota,15151,2008,2076,2137,2191,2236,2272,2298,2314,2319,2313,2296,2269,2232,2186
44,Wyoming,4297,266,264,277,281,285,293,298,304,310,315,321,327,333,338
45,Alaska,6207,562,597,642,658,709,740,773,826,856,905,953,992,1049,1095
46,Maine,4834,174,185,198,198,217,221,231,248,251,269,279,290,309,317
47,Alabama,137646,6099,5479,4865,4372,3908,3489,3118,2783,2483,2215,1975,1761,1569,1398
48,Idaho,35167,1891,1894,1894,1891,1885,1877,1865,1850,1833,1813,1791,1766,1738,1709
49,Montana,8925,780,711,648,590,537,488,444,403,365,331,300,272,246,223
50,Puerto Rico,37092,2426,2564,2706,2851,2998,3147,3298,3450,3602,3753,3902,4047,4189,4325
51,"Virgin Islands, U.S.",1211,35,19,14,9,5,4,2,2,1,1,0,0,0,0
52,Guam,1863,186,131,93,66,46,33,23,16,11,8,6,4,3,2
53,West Virginia,12528,1359,1424,1491,1558,1627,1695,1764,1832,1899,1965,2029,2090,2150,2206
54,Northern Mariana Islands,60,4,6,10,17,28,47,78,130,215,355,581,939,1489,2289
55,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
