,State,242,248,255,262,269
0,Washington,82548,2780,2886,3003,3113
1,Illinois,276443,11494,10221,8851,8781
2,California,786168,23556,23958,25703,27378
3,Arizona,214021,7150,9158,11032,12628
4,Massachusetts,127540,964,1295,1790,1808
5,Wisconsin,101227,16280,20805,25126,28230
6,Texas,713007,27765,28805,29939,31534
7,Nebraska,41083,2223,2068,1925,1741
8,Utah,63772,7082,8080,8983,8958
9,Oregon,30801,1409,1461,1493,1510
10,Florida,683754,20222,23313,27102,29961
11,New York,449900,4938,4961,4945,4820
12,Rhode Island,23620,655,652,660,635
13,Georgia,306155,11340,11856,12239,12696
14,New Hampshire,7947,275,284,286,280
15,North Carolina,199085,8931,9156,9224,9419
16,New Jersey,199762,2840,2837,2677,2694
17,Colorado,64837,3098,3186,2922,2587
18,Maryland,120156,4646,4885,4986,5057
19,Nevada,75804,1992,2096,2401,2631
20,Tennessee,183514,9565,9972,9506,9766
21,Hawaii,11403,273,0,0,0
22,Indiana,111505,5630,5560,5319,4885
23,Kentucky,61542,4715,4850,4954,4997
24,Minnesota,90017,4535,3894,4094,3967
25,Oklahoma,76807,6897,7101,7261,7234
26,Pennsylvania,154867,5848,5702,5633,5532
27,South Carolina,137708,7065,6763,7143,6737
28,District of Columbia,14955,NaN,NaN,NaN,NaN
29,Kansas,52700,3978,4493,4805,4616
30,Missouri,114170,10345,10814,11199,11442
31,Vermont,1715,40,41,43,43
32,Virginia,140395,6473,6101,5934,5726
33,Connecticut,55527,897,827,855,803
34,Iowa,80410,5775,6210,6144,6014
35,Louisiana,161219,4846,5359,5968,6602
36,Ohio,144309,6678,6371,6431,6353
37,Michigan,128087,4329,4329,4329,4329
38,South Dakota,18696,2456,2114,2334,2762
39,Arkansas,75723,5475,5697,5396,5676
40,Delaware,19566,746,729,718,706
41,Mississippi,93364,3495,3674,3626,3911
42,New Mexico,27579,977,1090,1182,1247
43,North Dakota,17958,2898,3375,4048,4694
44,Wyoming,4872,404,340,382,449
45,Alaska,6822,532,531,529,533
46,Maine,5077,192,194,199,193
47,Alabama,144962,6236,6495,6783,6901
48,Idaho,37491,1950,2035,2074,2143
49,Montana,10299,1176,1193,1315,1370
50,Puerto Rico,41838,NaN,NaN,NaN,NaN
51,Virgin Islands,1269,NaN,NaN,NaN,NaN
52,Guam,2074,NaN,NaN,NaN,NaN
53,West Virginia,14062,1425,1439,1547,1564
54,Northern Mariana Islands,68,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
