,State,191,199,206,213,220
0,Washington,55803,5770,6039,5966,6071
1,Illinois,180115,11345,11667,11643,11173
2,California,500556,64778,71884,82308,91350
3,Arizona,174010,15173,17684,19715,22829
4,Massachusetts,111836,2197,2214,2204,2162
5,Wisconsin,52940,6308,6687,7158,7825
6,Texas,438293,11702,0,0,0
7,Nebraska,26211,1711,1630,1575,1499
8,Utah,40196,2375,643,0,0
9,Oregon,18492,2699,2850,3048,3225
10,Florida,470386,55233,36705,17593,0
11,New York,415014,4697,4663,4613,4600
12,Rhode Island,19022,709,741,733,705
13,Georgia,186352,24185,21291,18786,15715
14,New Hampshire,6583,252,268,293,296
15,North Carolina,125678,15794,16863,17710,18706
16,New Jersey,181660,2601,2360,2533,2458
17,Colorado,46791,3407,2687,2125,1429
18,Maryland,88346,6942,6816,6338,5567
19,Nevada,48088,7689,6249,4998,4056
20,Tennessee,105959,20735,25668,29438,34672
21,Hawaii,2111,698,944,1309,1754
22,Indiana,66154,4899,3898,2584,1597
23,Kentucky,30151,5081,6417,7658,9216
24,Minnesota,54463,3874,3346,2950,2777
25,Oklahoma,36487,9217,11355,14322,17365
26,Pennsylvania,116787,6561,6435,6214,5909
27,South Carolina,89016,8549,4169,1464,0
28,District of Columbia,12126,NaN,NaN,NaN,NaN
29,Kansas,27364,2377,1847,1515,1251
30,Missouri,50616,17953,27443,42010,65267
31,Vermont,1414,42,42,42,42
32,Virginia,89888,6407,5270,4480,4060
33,Connecticut,49810,878,895,923,931
34,Iowa,44753,2877,2614,2591,2576
35,Louisiana,116280,12725,10632,9559,7171
36,Ohio,91159,8449,7528,6785,6022
37,Michigan,90574,3834,3834,3834,3834
38,South Dakota,8764,453,470,476,468
39,Arkansas,42511,6117,6619,7084,7563
40,Delaware,14788,728,738,735,734
41,Mississippi,58747,10437,12254,14238,16219
42,New Mexico,20600,2384,2528,2695,2893
43,North Dakota,6469,621,456,244,76
44,Wyoming,2726,387,429,481,533
45,Alaska,2990,979,1315,1737,2292
46,Maine,3912,232,241,254,243
47,Alabama,87723,15594,17854,19973,21402
48,Idaho,20716,2963,1875,1050,0
49,Montana,3965,1066,1047,1075,1184
50,Puerto Rico,16781,NaN,NaN,NaN,NaN
51,Virgin Islands,406,NaN,NaN,NaN,NaN
52,Guam,356,NaN,NaN,NaN,NaN
53,West Virginia,6579,689,684,562,448
54,Northern Mariana Islands,42,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN
