,State,208,213,220,227,234,241,248,255,262
0,Washington,67721,4168,3698,3271,2872,2498,2164,1864,1598
1,Illinois,209185,12839,12849,12481,11771,10817,9698,8496,7309
2,California,629415,58530,59467,57540,53633,48225,42057,35715,29626
3,Arizona,194005,4472,2836,1797,1134,713,447,280,175
4,Massachusetts,116561,948,655,450,309,212,145,99,68
5,Wisconsin,66196,5617,5273,4882,4445,3982,3515,3068,2649
6,Texas,561110,48444,39967,31321,23465,17015,12050,8393,5788
7,Nebraska,30563,1749,1621,1474,1316,1158,1005,862,732
8,Utah,46894,2056,1876,1701,1525,1355,1193,1041,904
9,Oregon,23451,2074,1977,1878,1762,1645,1525,1402,1280
10,Florida,576094,35933,28543,21923,16389,12017,8685,6210,4407
11,New York,425916,5450,5663,5825,5921,5951,5923,5829,5664
12,Rhode Island,20572,615,610,596,576,548,516,479,439
13,Georgia,238861,16638,13721,10912,8480,6478,4876,3631,2690
14,New Hampshire,7004,152,140,129,118,108,99,91,83
15,North Carolina,150163,8224,6835,5658,4637,3768,3041,2440,1948
16,New Jersey,187767,3083,3101,3056,2953,2807,2618,2411,2189
17,Colorado,53351,2195,1849,1549,1290,1070,886,732,603
18,Maryland,100715,4268,3582,2965,2422,1958,1573,1254,993
19,Nevada,61967,4969,4075,3290,2599,2015,1542,1167,876
20,Tennessee,134744,10880,9311,7766,6320,5045,3963,3071,2358
21,Hawaii,5215,2050,2681,3299,3784,4012,3914,3526,2957
22,Indiana,81006,6137,5932,5606,5194,4729,4237,3742,3264
23,Kentucky,39691,3455,3295,3063,2807,2542,2276,2018,1775
24,Minnesota,65716,4826,4529,4216,3865,3493,3114,2742,2391
25,Oklahoma,48711,4986,4521,4033,3521,3015,2541,2114,1740
26,Pennsylvania,129647,5731,5677,5570,5411,5200,4950,4675,4378
27,South Carolina,106953,5189,3841,2803,2023,1449,1031,730,515
28,District of Columbia,13273,468,453,430,402,371,337,303,269
29,Kansas,34614,3101,3175,3171,3083,2928,2726,2479,2211
30,Missouri,69225,8956,9765,10343,10509,10256,9648,8739,7653
31,Vermont,1527,59,76,97,123,157,199,250,309
32,Virginia,107421,6573,5876,5173,4493,3862,3288,2777,2328
33,Connecticut,51267,511,438,375,321,274,233,198,169
34,Iowa,52829,4415,4778,5006,5019,4808,4423,3920,3358
35,Louisiana,138485,5328,3576,2353,1531,990,638,409,261
36,Ohio,109062,6066,5423,4765,4149,3586,3086,2640,2251
37,Michigan,102749,5009,5026,4998,4889,4745,4556,4318,4046
38,South Dakota,10360,911,1031,1141,1221,1257,1246,1189,1096
39,Arkansas,53077,4161,3569,2991,2455,1979,1575,1241,969
40,Delaware,16536,1023,1184,1328,1429,1474,1455,1374,1247
41,Mississippi,72412,3925,2838,2018,1416,986,680,469,321
42,New Mexico,23500,975,832,704,592,495,412,341,282
43,North Dakota,8647,1016,1042,1033,992,925,840,744,644
44,Wyoming,3331,415,478,558,636,706,762,798,810
45,Alaska,4309,776,859,936,988,1001,976,919,838
46,Maine,4197,168,192,220,252,287,326,368,414
47,Alabama,109004,4627,3172,2147,1444,964,642,426,283
48,Idaho,27937,2308,1880,1481,1148,878,666,501,374
49,Montana,5792,829,819,798,766,725,675,620,562
50,Puerto Rico,26760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,760,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,8641,990,1040,1081,1112,1130,1135,1127,1104
54,Northern Mariana Islands,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
