,State,383,388,395,402,409
0,Washington,323214,7743,8864,10876,11602
1,Illinois,1148088,16720,19634,25429,28982
2,California,3432088,66753,53490,55140,50545
3,Arizona,782887,17439,13923,12780,10444
4,Massachusetts,545303,13199,13498,14983,15155
5,Wisconsin,601391,8898,11415,15321,17651
6,Texas,2504578,94020,89504,92409,92047
7,Nebraska,193826,2544,2959,4018,4740
8,Utah,355122,6203,5988,6759,7371
9,Oregon,147419,3680,4402,5584,6039
10,Florida,1783720,47038,50781,58115,59196
11,New York,1489196,54653,56647,58651,55790
12,Rhode Island,119104,2707,2793,3059,3111
13,Georgia,943695,25031,25285,27560,27356
14,New Hampshire,68499,2339,2858,3402,3480
15,North Carolina,799279,29353,28997,30510,29338
16,New Jersey,724728,21697,22838,23424,22160
17,Colorado,406276,7329,8156,10455,11641
18,Maryland,364553,7225,8920,10918,11279
19,Nevada,284590,3955,3494,3659,3561
20,Tennessee,745826,12845,14018,17217,18766
21,Hawaii,26714,675,792,909,1102
22,Indiana,640744,9577,11567,15162,16619
23,Kentucky,378793,12094,12681,14243,14429
24,Minnesota,468682,5762,8003,11045,13489
25,Oklahoma,404994,11711,11321,12093,12198
26,Pennsylvania,876165,23216,27450,31665,31838
27,South Carolina,468403,17451,17086,17596,16587
28,District of Columbia,38136,1015,993,1087,1017
29,Kansas,285338,5300,5592,7079,8232
30,Missouri,482446,6841,9499,13901,16386
31,Vermont,13046,863,1193,1562,1741
32,Virginia,530825,18740,19802,20858,19390
33,Connecticut,263739,7220,8007,8910,8802
34,Iowa,325219,4775,6103,8282,9917
35,Louisiana,412989,9998,10841,12757,13558
36,Ohio,922143,21002,23996,29445,31069
37,Michigan,622813,8650,12816,18715,21584
38,South Dakota,109283,1008,1461,2238,2830
39,Arkansas,307373,8728,8758,9611,10025
40,Delaware,80931,1919,2122,2389,2300
41,Mississippi,282313,6024,6708,7786,8384
42,New Mexico,177867,2740,2489,2918,3192
43,North Dakota,98184,645,1094,1749,2279
44,Wyoming,52784,782,954,1298,1499
45,Alaska,55768,1013,1079,1320,1536
46,Maine,41419,1607,2179,2918,3196
47,Alabama,473348,12698,13250,14910,15545
48,Idaho,165658,2293,2754,3729,4214
49,Montana,95914,1923,2375,2950,3308
50,Puerto Rico,96161,1875,1756,1726,1662
51,Virgin Islands,2466,49,43,41,41
52,Guam,7664,30,27,24,22
53,West Virginia,125106,3153,3546,4219,4210
54,Northern Mariana Islands,133,2,4,5,9
55,American Samoa,0,0,0,0,0
