,State,354,360,367,374,381,388,395
0,Washington,271595,21145,20501,20564,21353,22338,23151
1,Illinois,1028750,57009,71001,88885,107655,122316,128696
2,California,2717862,355630,466821,611166,668302,572353,418032
3,Arizona,618546,95234,125235,134601,115289,81612,51114
4,Massachusetts,432791,52626,65823,75348,75331,66824,54422
5,Wisconsin,550260,26999,40754,63533,88150,97575,90344
6,Texas,1968189,177319,240240,314165,371455,396855,392817
7,Nebraska,176026,6566,6362,6391,6686,6787,6397
8,Utah,305999,15516,14584,13613,12663,11877,11102
9,Oregon,125683,9130,11032,13100,15306,17502,19474
10,Florida,1477010,138541,156916,174153,183631,178719,158915
11,New York,1135592,127446,142935,155805,161270,154929,137834
12,Rhode Island,97614,8268,12816,16611,16850,13746,9757
13,Georgia,757045,68990,80197,90355,96672,97482,92264
14,New Hampshire,51600,7631,9736,11837,13119,13065,11816
15,North Carolina,623188,66130,73306,78558,78777,72912,62856
16,New Jersey,584828,45040,59821,77220,89909,91713,81109
17,Colorado,361148,24156,34613,49337,63948,72006,69895
18,Maryland,306674,22265,23510,24305,24713,24578,23706
19,Nevada,248569,22190,33282,44325,48020,42966,33002
20,Tennessee,653869,41786,51702,63193,72280,75204,71178
21,Hawaii,23586,1386,1488,1622,1805,2094,2496
22,Indiana,563653,40199,49042,58473,65142,66734,62226
23,Kentucky,303624,30650,37234,44174,48415,47009,41233
24,Minnesota,436572,20245,29180,42292,59397,78488,95372
25,Oklahoma,331362,33578,43343,52835,57955,57289,51856
26,Pennsylvania,723865,64026,75807,88675,100478,107981,109589
27,South Carolina,354525,47407,62565,75258,80490,76248,64378
28,District of Columbia,31791,1993,2145,2248,2199,2084,1957
29,Kansas,243648,11633,10542,10045,9818,9511,8899
30,Missouri,434711,21800,26888,33598,41441,49177,55211
31,Vermont,8967,1367,1975,2921,4040,5057,5790
32,Virginia,398856,38145,44182,50566,54810,55454,52251
33,Connecticut,205994,20750,24097,29714,33113,30873,24815
34,Iowa,296682,12413,16381,21464,27647,33963,38578
35,Louisiana,346829,31279,38331,44787,48365,47830,43389
36,Ohio,777065,61461,68694,78540,85769,86293,80020
37,Michigan,562553,30702,41590,58936,80055,99814,109513
38,South Dakota,103318,2311,2564,2896,3266,3615,3786
39,Arkansas,255076,20610,22293,23293,23324,22226,20077
40,Delaware,65273,6457,8033,9282,9467,8536,7127
41,Mississippi,239082,16717,18935,20704,21756,21878,21133
42,New Mexico,156157,10078,12079,14207,16291,18186,19549
43,North Dakota,94716,1157,1291,1468,1768,2193,2673
44,Wyoming,46832,1542,2115,2821,3611,4331,4622
45,Alaska,50218,1186,1200,1191,1173,1147,1099
46,Maine,29298,3820,4210,4872,5789,6375,6219
47,Alabama,401900,31890,39418,46835,51563,51588,46914
48,Idaho,149667,7265,9921,13409,16687,18031,17202
49,Montana,86324,3514,5001,6873,8918,10500,11013
50,Puerto Rico,83119,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,2143,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,7399,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,101212,11479,12822,13793,13913,13209,11765
54,Northern Mariana Islands,125,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
