,State,323,332,339,346,353,360,367
0,Washington,192413,20980,24261,28280,32691,37060,23270
1,Illinois,823531,63387,65705,66362,64882,60786,31449
2,California,1482551,266728,351255,406217,410762,379375,193258
3,Arizona,387529,45116,50463,52330,51012,46223,23559
4,Massachusetts,274781,43044,53778,58222,54656,45778,21296
5,Wisconsin,456889,24766,25133,25738,25861,25138,13611
6,Texas,1374256,100415,111583,125691,138640,147115,84939
7,Nebraska,145774,9432,8149,7098,6236,5483,2855
8,Utah,225946,16382,17628,18570,19136,19371,10877
9,Oregon,89838,9939,9822,10185,10596,11086,6366
10,Florida,1094697,71866,77982,83236,86253,86568,48431
11,New York,743242,79355,84501,87079,87175,85049,46587
12,Rhode Island,69247,7111,7060,6487,5676,4756,2243
13,Georgia,525402,40734,48900,56871,63206,66472,37866
14,New Hampshire,28273,6676,7852,8794,9439,9632,5321
15,North Carolina,416083,45916,53783,60717,64925,65726,36589
16,New Jersey,386606,37792,40240,40790,39853,37116,19361
17,Colorado,276995,31607,34213,36023,36808,35959,19645
18,Maryland,225855,22843,26519,30328,33698,36075,20889
19,Nevada,178527,17759,18722,18701,17829,15737,7787
20,Tennessee,428973,34092,34281,33539,31902,29585,15654
21,Hawaii,19179,686,736,795,911,1045,684
22,Indiana,404935,44564,44335,41997,37887,33069,16394
23,Kentucky,213449,20744,19775,18320,16594,14928,7653
24,Minnesota,367218,31987,28466,25387,22780,20081,10544
25,Oklahoma,225453,19030,18315,17460,16475,15420,8378
26,Pennsylvania,462954,87873,102738,112129,111545,101482,50996
27,South Carolina,241686,23971,32499,40591,45628,46413,24999
28,District of Columbia,24098,2727,3332,3974,4502,4790,2731
29,Kansas,182845,17365,20195,23330,26193,27296,15263
30,Missouri,342418,22445,23603,24658,25789,26361,14892
31,Vermont,5413,1160,1525,2045,2693,3263,2139
32,Virginia,271043,30674,42897,57834,72473,81841,47774
33,Connecticut,142979,27831,35939,40337,39147,32663,14676
34,Iowa,252553,11157,11127,11845,12898,13878,8154
35,Louisiana,261329,17707,18930,20494,21559,21466,11718
36,Ohio,531850,65586,67167,67673,67563,66262,36636
37,Michigan,454720,37328,33297,29936,26507,23290,11873
38,South Dakota,88727,3527,2953,2465,2062,1768,886
39,Arkansas,178854,12915,13406,13330,12713,11696,6095
40,Delaware,43036,7317,8573,9238,9350,8673,4563
41,Mississippi,172955,11037,11351,11258,10727,9885,5144
42,New Mexico,114731,11354,11942,12222,12108,11325,5966
43,North Dakota,86707,2522,2083,1689,1463,1277,671
44,Wyoming,38223,2743,2308,1964,1701,1466,755
45,Alaska,39345,4671,5953,7001,7310,6958,3570
46,Maine,14861,2874,3811,5050,6500,7976,5051
47,Alabama,284922,24945,27720,30260,32202,32772,18325
48,Idaho,118028,10674,11246,11050,10044,8385,4007
49,Montana,70892,3664,3144,2730,2388,2091,1086
50,Puerto Rico,59458,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,1733,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,7052,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,59695,8824,9589,9966,9952,9618,5177
54,Northern Mariana Islands,113,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
