,State,403,409,416,423,430,437,444
0,Washington,339773,5466,6242,7851,8868,9100,9036
1,Illinois,1186613,11626,13649,17011,19009,19428,19306
2,California,3566914,31223,29419,32418,34770,35080,34393
3,Arizona,816782,8927,9522,10763,11512,11655,11516
4,Massachusetts,581148,10095,11423,13883,15448,15689,15181
5,Wisconsin,617367,4461,5062,6331,7247,7486,7374
6,Texas,2653013,20453,25890,38172,45757,45746,42627
7,Nebraska,200882,1739,2226,3104,3618,3667,3521
8,Utah,371235,3106,2791,2673,2649,2609,2613
9,Oregon,155597,2469,3164,4472,5290,5556,5456
10,Florida,1909221,37405,35907,36746,37718,37630,36543
11,New York,1643867,46107,41409,38514,37434,36747,35410
12,Rhode Island,125622,1849,1623,1535,1506,1495,1463
13,Georgia,1006521,20149,23745,29520,33044,32866,31286
14,New Hampshire,75424,1842,1682,1692,1677,1642,1632
15,North Carolina,858548,16470,17428,19710,21366,21412,21093
16,New Jersey,789356,21790,25087,29312,31671,31754,30311
17,Colorado,428303,7335,9415,13169,15334,15642,15122
18,Maryland,382099,5148,5942,7246,8022,8212,8118
19,Nevada,293754,2174,2413,2797,3063,3085,3172
20,Tennessee,775004,6972,5526,5100,4966,5032,4955
21,Hawaii,27759,418,824,1695,2251,2332,2155
22,Indiana,661673,5094,4703,4732,4890,4825,4796
23,Kentucky,404622,6168,6323,7000,7435,7520,7304
24,Minnesota,484594,5392,6270,7756,8673,8870,8737
25,Oklahoma,424508,4031,3942,4641,5099,5238,5103
26,Pennsylvania,933261,14714,13345,13052,13213,13080,12898
27,South Carolina,516823,11964,8850,7058,6288,6069,5897
28,District of Columbia,40598,918,1413,2161,2580,2664,2565
29,Kansas,295997,2541,1953,1815,1808,1796,1789
30,Missouri,495047,2794,2620,2723,2768,2877,2885
31,Vermont,15198,679,681,783,859,840,821
32,Virginia,576050,10350,9264,9563,9769,9693,9517
33,Connecticut,279946,9814,21698,43725,57758,56414,48685
34,Iowa,363636,3750,4451,5492,6174,6281,6151
35,Louisiana,430100,4711,7949,13596,17040,17336,16203
36,Ohio,967422,11978,12536,14145,15198,15409,15035
37,Michigan,645550,10069,14787,22520,27327,28235,27485
38,South Dakota,112427,977,1185,1558,1810,1834,1784
39,Arkansas,322415,1951,1787,2030,2196,2273,2264
40,Delaware,86799,2031,2278,2734,2909,2937,2910
41,Mississippi,294795,2386,2147,2169,2268,2246,2250
42,New Mexico,185132,1774,1867,2106,2268,2295,2277
43,North Dakota,99809,541,742,1255,1639,1681,1614
44,Wyoming,54394,341,368,437,487,505,499
45,Alaska,58263,576,545,541,547,548,547
46,Maine,44635,1013,1358,1849,2124,2157,2148
47,Alabama,493252,5227,6327,8315,9653,9841,9600
48,Idaho,171140,1656,2028,2689,3080,3139,3087
49,Montana,99954,863,791,795,817,807,808
50,Puerto Rico,100297,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,2646,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,7734,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,131855,1504,1439,1527,1587,1620,1602
54,Northern Mariana Islands,143,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN,NaN
